lamotrigine,adults with bipolar disorder,not fully elucidated,oral contraceptives,oral,NO SPECIFIC DATA AVAILABLE,"dizziness, tremor, headache, rash, blurred vision"
lamivudine + zidovudine + nevirapine,nevirapine 200 mg twice daily,amp,antiviral activity,stavudine may decrease antiviral activity; valproic acid,hypersensitivity,nevirapine
lamivudine + zidovudine,hiv-1 infection,intracellularly,intracellular phosphorylation of one another,zalcitabine,patients with low body weight,"chills, fever, pale skin; sore throat"
lamivudine [for hiv infection],lamivudine in combiNO SPECIFIC DATA AVAILABLEtion with other antiretroviral agents,phosphorylated intracellularly,use of lamivudine in combiNO SPECIFIC DATA AVAILABLEtion with zalcitabine,zalcitabine,hypersensitivity,blood and lymphatic systems disorders
lamivudine [for chronic hepatitis b],associated with evidence of hepatitis b viral replication and active liver inflammation,dNO SPECIFIC DATA AVAILABLE chain is termiNO SPECIFIC DATA AVAILABLEted,higher doses of trimethoprim /sulfamethoxazole,trimethoprim,patients hypersensitive to any of the components of the product,post treatment exacerbations
lactulose,lactulose is only to be taken when these measures prove insufficient,minimally absorbed,drug interactions,drug,suspected intestiNO SPECIFIC DATA AVAILABLEl obstruction,loss of electrolytes
lactobacillus rhamnosus gg,bowel problems (such asdiarrhea,NO SPECIFIC DATA AVAILABLE,without your doctor's approval,"do not start, stop, or change the dosage of any medicines",NO SPECIFIC DATA AVAILABLE,a very serious allergic reaction to this product is rare
lactitol monohydrate,acute and chronic portal systemic encephalopathy,it is absorbed only in minimal amounts,antacids,antacids,patients with known hypersensitivity,diminish or disappear
lactic acid + sodium pca,zinc oxide,keratolytic agent,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,no side effects
lactic acid + citric acid + potassium bitartrate,on-demand method of contraception,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"dysuria, and vulvovagiNO SPECIFIC DATA AVAILABLEl pain"
lactase,prevention of symptoms of lactose,hydrolysis and making dairy foods easier to digest,interactions,lactase,patients with known hypersensitivity,there are no major side effects reported
lacosamide,only in adult patients,inhibition of sodium channels,concomitant medications that prolong pr interval,beta-blockers and calcium channel blockers,none,"diplopia, headache, dizziness, NO SPECIFIC DATA AVAILABLEusea"
lacidipine,either alone or in combiNO SPECIFIC DATA AVAILABLEtion with other antihypertensive agents,competitive inhibition of voltage-dependent calcium 'l' channels,no specific pharmacodyNO SPECIFIC DATA AVAILABLEmic interaction problems,"digoxin, tolbutamide or warfarin",avoid within 1 month of myocardial infarction,"flushing, palpitation, edema, headache, dizziness"
labetalol hydrochloride (tablet),alone or in combiNO SPECIFIC DATA AVAILABLEtion with other antihypertensive agents,intravenous administration,calcium antagonists,nitroglycerin,NO SPECIFIC DATA AVAILABLE,mild and transient and occur early in the course of treatment
labetalol hydrochloride (injection),hypertension,b-blocking action,class i antiarrhythmic agents,cimetidine,second or third degree heart block,liver damage
l-ornithine l-aspartate + pancreatin,improvement,not frequently used as there are still some reservations about its benefits,increase your risk for side-effects or cause your drug not to work properly,drugs or over the counter products,gastrectomy hypersensitivity pancreatectomy pregNO SPECIFIC DATA AVAILABLEnt,NO SPECIFIC DATA AVAILABLEusea vomiting abdomiNO SPECIFIC DATA AVAILABLEl stomach pain bloating diarrhea
l-ornithine l-aspartate,adjunct to hepatotoxic drugs,endogenous amino acids,interactions,l-ornithine l-aspartate,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLEusea and vomiting occur
levodopa + benserazide,benserazide,peripheral decarboxylase inhibitor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,NO SPECIFIC DATA AVAILABLE
levocetirizine dihydrochloride,allergic conditions,rapid and long-acting action,interactions with other drugs,drugs,patients with severe reNO SPECIFIC DATA AVAILABLEl impairment,"headache, dry mouth, fatigue and skin rash"
levocarnitine,chronic fatigue syndrome heart diseases,delivering substrate for oxidation and subsequent energy production,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"transient NO SPECIFIC DATA AVAILABLEusea and vomiting, abdomiNO SPECIFIC DATA AVAILABLEl cramps, and diarrhoea"
levobupivacaine hydrochloride,for the production of local or regioNO SPECIFIC DATA AVAILABLEl anesthesia,infiltration aNO SPECIFIC DATA AVAILABLEesthesia and regioNO SPECIFIC DATA AVAILABLEl nerve blocks including epidural block,plasma levels may be reduced when used with enzyme-inducing drugs,enzyme-inducing drugs,obstetrics,"restlessness, anxiety, dizziness, confusion, respiratory depression"
levobunolol,patients with chronicopen-angle glaucomaorocularhypertension,nonselective -adrenergic blocking agent,additive hypotensive effect with catecholamine,catecholamine,individuals with bronchial asthma,reduced corneal sensitivity and tearing
levetiracetam,"adults, adolescents, children and infants",NO SPECIFIC DATA AVAILABLE,alcohol,alcohol,hypersensitivity,"somnolence, asthenia, infection and dizziness"
levamisole,usually within 24 hours,paralysing susceptible intestiNO SPECIFIC DATA AVAILABLEl worms,alcohol,alcohol,there is no absolute contra-indication,headache
leuprorelin acetate,prostate cancer,reduces pituitary goNO SPECIFIC DATA AVAILABLEdotrophin secretion,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,undiagnosed abnormal vagiNO SPECIFIC DATA AVAILABLEl bleeding,decreased testosterone
letrozole,in post-menopausal women,letrozole had no effect on plasma androgen concentrations,significant drug reactions,cimetidine,"pregNO SPECIFIC DATA AVAILABLEncy, lactation and in pre-menopausal women",mild to moderate and rarely severe enough to require discontinuation
lercanidipine hydrochloride,mild to moderate essential hypertension,direct relaxant effect on vascular smooth muscle,midazolam,midazolam,patients with left ventricular outflow tract obstruction,"flushing, peripheral edema, headache, dizziness and asthenia"
lenvatinib mesylate,everolimus,kiNO SPECIFIC DATA AVAILABLEse inhibitor,coadministration of lenvatinib with mediciNO SPECIFIC DATA AVAILABLEl products,mediciNO SPECIFIC DATA AVAILABLEl products,patients with known hypersensitivity,"impairment of thyroid stimulating hormone suppression/thyroid dysfunction, wound healing complications"
lenograstim,autologous or allogeneic bone marrow transplantation,accelerates neutrophil recovery significantly after chemotherapy,pulmoNO SPECIFIC DATA AVAILABLEry toxicity,bleomycin and cyclophosphamide,myeloid maligNO SPECIFIC DATA AVAILABLEncies,toxic epidermal necrolysis
leNO SPECIFIC DATA AVAILABLElidomide,controlled clinical trials,without regard to food intake,risk of thrombosis,r- and s-warfarin,patients who have demonstrated severe hypersensitivity,hypersensitivity
leflunomide,adults,anti-proliferative activity,risk of hepatotoxicity,charcoal,patients with known hypersensitivity to leflunomide,"diarrhea, NO SPECIFIC DATA AVAILABLEusea, vomiting"
ledipasvir + sofosbuvir,adults,hcv ns5a inhibitor,p-gp inducers,p-gp inducers,patients with known hypersensitivity,fatigue and headache
latanoprost + timolol,prostaglandins or other iop lowering agents,timolol is a non-selective adrenergic blocker,two topical -adrenergic blocking agents,epinephrine,patients with known hypersensitivity,irritation of the eye
latanoprost,patients with open-angle glaucoma or ocular hypertension,increased uveoscleral outflow,precipitation,eye drops containing thimerosal,hypersensitivity,"blurred vision, burning and stinging"
lasmiditan hemisucciNO SPECIFIC DATA AVAILABLEte,not indicated for the preventive treatment of migraine,unclear,drugs that are p-gp or bcrp substrates,drugs that are p-gp or bcrp substrates,NO SPECIFIC DATA AVAILABLE,"dizziness, sleepiness, numbness, feeling tired, tingling"
larotrectinib,adult and pediatric patients with solid tumors,binding is independent of drug concentrations,coadministration,grapefruit or grapefruit juice,patients with known hypersensitivity,"neurotoxicity, hepatotoxicity."
lapatinib,capecitabine,it blocks the phosphorylation and activation of downstream 2nd messengers,cyp3a4 inducers,cyp3a4 inducers,hypersensitivity,hypersensitivity reactions including aNO SPECIFIC DATA AVAILABLEphylaxis.
liNO SPECIFIC DATA AVAILABLEgliptin,type 2 diabetes mellitus,inhibitor of dpp-4,oral contraceptives,oral contraceptives,hypersensitivity,hypoglycaemia
light liquid paraffin + white soft paraffin + glycerine,moisturizing cream,occlusive film that reduces trans-epidermal water loss,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to any of the ingredients.,no remarkable adverse effects have been reported
lifitegrast,dry eye disease,not known,<,NO SPECIFIC DATA AVAILABLE,patients who are hypersensitive,"blurred vision, conjunctival hyperemia"
lidocaine hydrochloride (spray),during general anesthesia,inhibiting sodium influx through sodium specific ion channels,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"myasthenia gravis, epilepsy","increased sweating, numbness"
lidocaine hydrochloride (jelly),surface aNO SPECIFIC DATA AVAILABLEesthesia of the male and female urethra,inhibiting sodium influx through sodium specific ion channels,toxic effects,patients receiving antiarrhythmic drugs,hypersensitivity of local aNO SPECIFIC DATA AVAILABLEesthetics of the amide type,aNO SPECIFIC DATA AVAILABLEphylactic reactions
lidocaine hydrochloride (injection),infiltration blockade and intravenous regioNO SPECIFIC DATA AVAILABLEl aNO SPECIFIC DATA AVAILABLElgesia,inhibiting sodium influx through sodium specific ion channels,cimetidine,cimetidine,known hypersensitivity to aNO SPECIFIC DATA AVAILABLEesthetics,systemic effects occur involving the central nervous system and/or the cardiovascular system
lidocaine + prilocaine,normal intact skin,local aNO SPECIFIC DATA AVAILABLEesthetic agents of the amide type,toxic effects,cream,hypersensitivity,aNO SPECIFIC DATA AVAILABLEphylactoid reactions
lidocaine + epinephrine,only accepted procedures for these techniques as described in standard textbooks are recommended,stimulation of alpha and beta-1 adrenergic receptors,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known history of hypersensitivity,NO SPECIFIC DATA AVAILABLE
lidocaine + adreNO SPECIFIC DATA AVAILABLEline,local or regioNO SPECIFIC DATA AVAILABLEl anesthesia,combiNO SPECIFIC DATA AVAILABLEtion with epinephrine,potassium-depleting drugs,potassium-depleting drugs,aNO SPECIFIC DATA AVAILABLEesthetise digits,severe side effects :severe allergic reactions
levothyroxine sodium,lithium,synthetic levothyroxine,insulin requirements,insulin therapy may result in increased antidiabetic agent or insulin requirements,untreated subclinical or overt thyrotoxicosis,hyperthyroidism due to therapeutic overdose
levosalbutamol (oral),"adults, adolescents and children",unimpeded by (s)-salbutamol,deleterious cardiovascular effects,epinephrine,patients with a history of hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, burning substerNO SPECIFIC DATA AVAILABLEl or epigastric pain"
levosalbutamol,"adults, adolescents, and children",antagonist,deleterious cardiovascular effects,epinephrine,NO SPECIFIC DATA AVAILABLE,"palpitation, fine tremors of the skeletal muscle"
levonorgestrel,emergency contraception,levonorgestrel binds to progesterone and androgen receptors,emergency contraception,emergency contraception,hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea and vomiting dizziness, fatigue, headache abdomiNO SPECIFIC DATA AVAILABLEl pain"
levomilNO SPECIFIC DATA AVAILABLEcipran hydrochloride,limitation,unknown,strong cyp3a4 inhibitors,strong cyp3a4 inhibitors,a patient who is being treated with maois,elevated blood pressure
levomenthol + thymol + terpineol + chlorobutanol,amp; terpineol,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
levofloxacin hemihydrate,"mild, moderate and severe infections",inhibiting bacterial topoisomerase iv and dNO SPECIFIC DATA AVAILABLE gyrase,antacids,antacids,patients with a history of hypersensitivity to levofloxacin,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhea, abdomiNO SPECIFIC DATA AVAILABLEl pain"
levofloxacin (ophthalmic),bacterial conjunctivitis,sterile topical ophthalmic solution,drug interaction,eye drops,patients with a history of hypersensitivity,"transient blurred vision, fever, foreign body sensation, headache"
levodopa + carbidopa + entacapone,levodopa/dopa decarboxylase,inhibiting the decarboxylation of peripheral levodopa,high protein diet,high protein,non-selective maois,diarrhea and stomach pain
levodopa + carbidopa (fc tablet),before physiotherapy increases motor recovery after stroke.,NO SPECIFIC DATA AVAILABLE,loss of therapeutic response,ferrous sulphate or ferrous glucoNO SPECIFIC DATA AVAILABLEte,patients with hypersensitivity,carbidopa-levodopa
levodopa + carbidopa (cr tablet),levodopa alone,NO SPECIFIC DATA AVAILABLE,loss of therapeutic response,high protein,suspicious undiagnosed skin lesions or a history of melanoma,prolonged-release tablet
loteprednol etaboNO SPECIFIC DATA AVAILABLEte + tobramycin,ocular steroids,aminoglycoside,detected in plasma,plasma,viral diseases,headache
loteprednol etaboNO SPECIFIC DATA AVAILABLEte + gatifloxacin,ocular steroids,"aminoglycoside, macrolide, and tetracycline antibiotics",drug interaction,medicines,no steroidal inflammatory medicines,gatifloxacin
loteprednol etaboNO SPECIFIC DATA AVAILABLEte,post-operative inflammation,phospholipase a2 inhibitory proteins,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals with known or suspected hypersensitivity,perforation of the globe
losartan potassium + hydrochlorothiazide,hypertension,angiotensin ii,no significant drug-drug pharmacokinetic interactions,digoxin,patients who are hypersensitive,mild
losartan potassium,alone or in combiNO SPECIFIC DATA AVAILABLEtion with other antihypertensive agents,angiotensin ii receptor blocker,active metabolite,potassium supplements or salt substitutes,patients with diabetes,mild and transient
lornoxicam,rheumatoid arthritis,has not been fully determined,increased risk of hypoglycaemia,antacids,"asthma, rhinitis, angioedema or urticaria",NO SPECIFIC DATA AVAILABLE
lorlatinib,monotherapy,kiNO SPECIFIC DATA AVAILABLEse inhibitor,the concentration of these mediciNO SPECIFIC DATA AVAILABLEl products,tacrolimus,hypersensitivity,cognitive effects (28.8%)
lorazepam,lorazepam is not recommended in anxiety states in children,depressant action,monoamine oxidase inhibitors,alcohol,patients with a previous sensitivity to benzodiazepines,"sedation followed by dizziness, weakness and unsteadiness"
loratadine + pseudoephedrine,this tablet,no central sedative or anti-cholinergic effect,mao) inhibitors,decarboethoxyloratadine,hypersensitive,"increased sweating, thirst, back pain, chest pain"
loratadine,in children over 2 years,no central sedative or anticholinergic effect,alcohol,alcohol,hypersensitivity or idiosyncrasy to their components,sedation and anticholinergic effects
lopiNO SPECIFIC DATA AVAILABLEvir + ritoNO SPECIFIC DATA AVAILABLEvir,adults and pediatric patients,NO SPECIFIC DATA AVAILABLE,potent cyp3a inducers,potent cyp3a inducers,patients with previously demonstrated clinically significant hypersensitivity,hypercholesterolemia
loperamide hydrochloride,indicated in- acute diarrhea chronic diarrhea abdomiNO SPECIFIC DATA AVAILABLEl cramps,inhibits the peristaltic activity of the longitudiNO SPECIFIC DATA AVAILABLEl and circular smooth muscle,data available,data,acute dysentery,abdomiNO SPECIFIC DATA AVAILABLEl pain and other gastrointestiNO SPECIFIC DATA AVAILABLEl disturbances
lomefloxacin (oral),uncomplicated uriNO SPECIFIC DATA AVAILABLEry tract infections,topical ophthalmic application,caffeine,probenecid,"children, growing adolescents, and pregNO SPECIFIC DATA AVAILABLEnt women",common side effects areNO SPECIFIC DATA AVAILABLEusea
lomefloxacin (ophthalmic),bacterial infections,topical,"reduction of efficacy, no ophthalmic preparations containing heavy metals",heavy metals,hypersensitivity,"allergic reactions, asthma, dyspnoea"
lithium carboNO SPECIFIC DATA AVAILABLEte,"treatment and prophylaxis of mania, bipolar disorder and recurrent depression",unknown,iodine salts,iodine salts,"reNO SPECIFIC DATA AVAILABLEl insufficiency, cardiovascular insufficiency",increased thirst and consequently passing urine
lisinopril,alone or with other antihypertensive agents,competitively inhibits ace,nsaids. may increase serum levels and toxicity,k supplements,patients with diabetes or reNO SPECIFIC DATA AVAILABLEl impairment,increased bun and serum creatinine levels
liraglutide,in the presence of at least one weight-related comorbid condition,binds to and activates the glp-1 receptor,delay of gastric emptying,gastric,pregNO SPECIFIC DATA AVAILABLEncy,"NO SPECIFIC DATA AVAILABLEusea, diarrhea, constipation, vomiting"
liposome + perilla + sodium hyaluroNO SPECIFIC DATA AVAILABLEte,liposomes and sodium hyaluroNO SPECIFIC DATA AVAILABLEte,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
linezolid,combiNO SPECIFIC DATA AVAILABLEtion therapy,different from that of other antibacterial agents,interaction with adrenergic and serotonergic agents,serotonergic agents,uncontrolled hypertension,"diarrhea, headache and NO SPECIFIC DATA AVAILABLEusea"
liNO SPECIFIC DATA AVAILABLEgliptin + metformin hydrochloride,both,it does not produce hypoglycemia,metformin elimiNO SPECIFIC DATA AVAILABLEtion,cationic drugs,hypersensitivity,NO SPECIFIC DATA AVAILABLEsopharyngitis and diarrhea
mebeverine hydrochloride,symptomatic treatment of irritable bowel syndrome,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,"skin rash, urticaria and angioedema"
mebendazole,"threadworms, whipworms, roundworms and hookworms",inhibits the formation of the worms' microtubules,cimetidine,cimetidine,patients with known hypersensitivity to mebendazole,transient symptoms of abdomiNO SPECIFIC DATA AVAILABLEl pain and diarrhoea
measles and rubella,simultaneous immunization,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,allergic to any ingredient in the vaccine,pain and tenderness at the injection site
maprotiline hydrochloride,indicated for the treatment of depressive illness,not precisely known,electroshock therapy,guanethidine,patients with known or suspected seizure disorders,"heart block, and syncope"
mannitol,iv infusion,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pulmoNO SPECIFIC DATA AVAILABLEry edema or congestive heart failure,"NO SPECIFIC DATA AVAILABLEusea, vomiting, thirst, headache, dizziness"
magnesium sulfate heptahydrate,to prevent convulsion,anticonvulsant properties when administered parenterally,depressants,NO SPECIFIC DATA AVAILABLErcotics,patients with heart block or myocardial damage,"NO SPECIFIC DATA AVAILABLEusea, vomiting, flushing of the skin"
magnesium sulfate,pre-eclampsia and eclampsia,enzymatic reactions,reduction in blood pressure,barbiturates,defect of the heart's electrical message pathways,"NO SPECIFIC DATA AVAILABLEusea, vomiting, flushing of skin, thirst, hypotension"
magnesium oxide,relieving the symptoms of magnesium defciency,reNO SPECIFIC DATA AVAILABLEl filtration,kidney stones,medicines,hypersensitivity and severe reNO SPECIFIC DATA AVAILABLEl impairment,mild side effects
magnesium hydroxide + liquid paraffin,constipation associated with chronic cholecystitis hernia,laxative ingredient and a lubricant,irritation,"diuretics, famotidine and ranitidine",acute gl conditions like abdomiNO SPECIFIC DATA AVAILABLEl pain.,"rectal irritation, potassium loss"
magnesium hydroxide,"constipation, heart burn, gas and NO SPECIFIC DATA AVAILABLEusea",osmotic properties,absorption of other drugs,phosphate supplements,laxative is contraindicated,diarrhoea
magaldrate + simethicone,magaldrate may be given to children if necessary.,neutralizes gastric acid,tetracycline,tetracycline,patients with known hypersensitivity to magnesium and aluminium,gastrointestiNO SPECIFIC DATA AVAILABLEl side-effects are uncommon
magaldrate,hyperacidity associated with peptic ulcers,absorbed poorly and thus provide a sustained antacid effect,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity to magnesium and aluminium,constipation and diarrhea
macrogol [polypropylene glycol] + electrolytes,adults and children over 12 years of age,electrolytes,decreased efficacy,thisoral solution,hypersensitivity to the active substances,reduction
macitentan,2 years,endothelin receptor antagonist,strong cyp3a4 inhibitors,hiv drugs,NO SPECIFIC DATA AVAILABLE,"headache, influenza, and uriNO SPECIFIC DATA AVAILABLEry tract infection"
lyophilized bacterial lysate,prevention,NO SPECIFIC DATA AVAILABLE,drugs,drugs,hypersensivity to the active substance or auxiliary.,drug
lynestrenol,polymenorrhoea,various activities with the NO SPECIFIC DATA AVAILABLEtural hormone progesterone,decrease the effectiveness of insulins,activated charcoal,sex steroids,later on the frequency gradually decreases
lymecycline,acute sinusitis,binding to the 30s ribosome subunit,anticoagulants,fe preparations,pregNO SPECIFIC DATA AVAILABLEncy and lactation,lymecycline capsules
lurasidone hydrochloride,"schizophrenia, depressive episodes associated with bipolar i disorder",central dopamine d2 and serotonin 5ht2a receptor,grapefruit: grapefruit and grapefruit juice,grapefruit and grapefruit juice,dementia-related psychosis,"extrapyramidal symptoms, and NO SPECIFIC DATA AVAILABLEusea"
lulicoNO SPECIFIC DATA AVAILABLEzole,topical treatment,inhibiting the enzyme lanosterol demethylase,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,none,contact dermatitis and cellulitis may occur. application site reactions
lubiprostone,chronic idiopathic constipation (cic) in adults,protein kiNO SPECIFIC DATA AVAILABLEse a action independent fashion,diphenylheptane opioids,diphenylheptane opioids,patients with known or suspected mechanical gastrointestiNO SPECIFIC DATA AVAILABLEl obstruction,"NO SPECIFIC DATA AVAILABLEusea, stomach pain, swelling of abdomiNO SPECIFIC DATA AVAILABLEl or stomach area"
mercaptopurine,pediatric or adult,purine antagonist,anticoagulant action of warfarin,enhanced toxicity with myelosuppressive drugs,severe liver disease; severe bone marrow suppression,"hyperuricaemia, bone marrow toxicity"
mepyramine maleate,"insect bites, stings and nettle rash",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
menthol + thymol + eucalyptol + methyl salicylate,brighter,clinically proven antiseptic mouthwash,drug interactions,drug,hypersensitivity,diminish the effects of the mouthwash
menthol + pramoxine hydrochloride,may also be used for rashes,local anesthetic effects,drug interactions,drug,serious burns,"redness, irritation, swelling or pain"
meningococcal polysaccharide vaccine,travellers to countries where the disease is epidemic or highly endemic,freeze-dried,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,adverse reactions usually occur within 48 hours following vacciNO SPECIFIC DATA AVAILABLEtion
meningococcal conjugate vaccine,individuals from the age of 6 weeks,production of bactericidal antibodies,co-administered,tetanus or diphtheria antigens included in tdap,hypersensitivity,adverse reactions
meNO SPECIFIC DATA AVAILABLEquinone-7,rheumatoid arthritis,active trans-isomer of NO SPECIFIC DATA AVAILABLEtural vitamin k2,absorption,orlistat,patients with known hypersensitivity to meNO SPECIFIC DATA AVAILABLEquinone-7,no reports of side effects
memantine hydrochloride,dementia of the alzheimer's type,low to moderate affinity,amantadine,nicotine,patients with known hypersensitivity,bladder infections and increased sexual drive
memantine + donepezil,10 mg of donepezil hydrochloride once daily,different mechanism,interfere with anticholinergic medications,hydrochlorides,patients with known hypersensitivity,memantine hydrochloride
meloxicam,"osteoarthritis, rheumatoid arthritis",non-steroidal anti-inflammatory drug,impossible to avoid such combined prescription,oral anticoagulants,aspirin or nsaids,oedema of the lower limbs may occur during treatment
melatonin,numerous conditions,melatonin binds with its receptors,corticosteroids,"tobacco, and alcohol",patients who have autoimmune diseases,headache and depression. drowsiness
megestrol acetate,megestrol oral suspension,unknown,dosage adjustment,zidovudine or rifabutin,known or suspected pregNO SPECIFIC DATA AVAILABLEncy,weight gain
mefloquine,acute malaria infections,antimalarial agent,vacciNO SPECIFIC DATA AVAILABLEtions with attenuated live bacteria,vacciNO SPECIFIC DATA AVAILABLEtions with attenuated live bacteria,"patients with active depression, a recent history of depression","dizziness, myalgia, NO SPECIFIC DATA AVAILABLEusea, fever, headache, vomiting"
mefeNO SPECIFIC DATA AVAILABLEmic acid,fever toothache headache migraine,dual action on prostaglandins,increased adverse effects,warfarin,patients with known hypersensitivity,"vomiting, dizziness, abnormal reNO SPECIFIC DATA AVAILABLEl function, pruritus, rashes"
medroxyprogesterone acetate (tablet),nonhysterectomized postmenopausal women,orally or parenterally,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,undiagnosed abnormal genital bleeding,without concomitant estrogens treatment
medroxyprogesterone acetate (injection),adjunctive and/or pallivative treatment,intramuscular injection,decreases efficacy,decreases efficacy,known hypersensitivity,"headache, blurring of vision pain in the back of the leg"
mecobalamin,peripheral neuropathies,it is a cofactor in the enzyme methionine synthase,decreased gi tract absorption,oral contraceptives,hypersensitivity,gi discomfort
meclizine hydrochloride,"NO SPECIFIC DATA AVAILABLEusea, vomiting, motion sickness, vertigo",depending on dosage,toxicity,alcohol,hypersensitive,"drowsiness, dry mouth, and on rare occasions, blurred vision"
meclizine + pyridoxine,prevention and treatment,through nerve pathways to the vomiting center,gastrointestiNO SPECIFIC DATA AVAILABLEl motility,ethanol,patients who are hypersensitive,"drowsiness, dry mouth and, on rare occasions, blurred vision"
mebhydrolin NO SPECIFIC DATA AVAILABLEpadisylate,allergic disease,blocking of histamine receptors,mask the warning symptoms of damage caused by ototoxic drugs,anti-depressants,hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhoea or constipation"
metolazone,"hypertension, alone or in combiNO SPECIFIC DATA AVAILABLEtion with other antihypertensive drugs",it inhibits reabsorption of sodium in the distal tubules,lithium excretion,bile acid,pregNO SPECIFIC DATA AVAILABLEncy,bun
metoclopramide hydrochloride,adults and pediatric patients,blocks dopamine receptors,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a history of tardive dyskinesia,"dysgeusia, headache, and fatigue"
methylprednisolone sodium succciNO SPECIFIC DATA AVAILABLEte,methylprednisolone sodium succiNO SPECIFIC DATA AVAILABLEte im/iv,minimal mineralocorticoid properties,potassium-depleting agents,amphotericin b injection,systemic fungal infections,aNO SPECIFIC DATA AVAILABLEphylactic reaction with or without circulatory collapse
methylprednisolone acetate,"asthma, atopic dermatitis, contact dermatitis",binds to and activates intracellular glucocorticoid receptors,convulsions,hepatic enzymes such as phenobarbital,systemic fungal infections,"urticaria, hyperpigmentation or hypopigmentation"
methylprednisolone,enia,potent anti-inflammatory agent with the capacity to profoundly inhibit the immune system,blood thinners,blood thinners,systemic fungal infections,mild annoyances to serious irreversible bodily damage
methylphenidate hydrochloride,methylphenidate,norepinephrine and dopamine reuptake inhibitor,elimiNO SPECIFIC DATA AVAILABLEtion of phenytoin,methylphenidate,"alcoholics, emotioNO SPECIFIC DATA AVAILABLElly unstable patients, drug abusers",very rarely liver damage
methylergonovine maleate,"following delivery of the placenta, for routine maNO SPECIFIC DATA AVAILABLEgement of uterine atony","increases the tone, rate, and amplitude of rhythmic contractions",potent cyp 3a4 inhibitors,grapefruit juice,hypertension; toxemia; pregNO SPECIFIC DATA AVAILABLEncy; and hypersensitivity,"rash, and foul taste"
methyldopa,hypertension,centrally acting,ferrous sulfate or ferrous glucoNO SPECIFIC DATA AVAILABLEte,ferrous sulfate or ferrous glucoNO SPECIFIC DATA AVAILABLEte,"active hepatic disease, such as acute hepatitis and active cirrhosis","angiNO SPECIFIC DATA AVAILABLE pectoris, congestive heart failure"
methyl salicylate + menthol + camphor,cream,"methyl salicylate, menthol and camphor cream",drug interactions,drug,hypersensitivity,redness or irritation
methyl salicylate + menthol,this cream,menthol increases the penetration of drugs,warfarin from protein-binding sites,protein,application to broken skin or raw surfaces,mild to moderate local irritation
methoxy polyethylene glycol-epoetin beta,including patients on dialysis and patients not on dialysis,chemically synthesized continuous erythropoietin receptor activator,no indication of an effect of concomitant medications,mediciNO SPECIFIC DATA AVAILABLEl products,uncontrolled hypertension,adverse reactions
methoxsalen,biopsy,not known,photosensitising agents,coal tar,patient with melanoma or possessing a history of melanoma,NO SPECIFIC DATA AVAILABLEusea
methotrexate,alone or in combiNO SPECIFIC DATA AVAILABLEtion with other anticancer agents,inhibits dihydrofolic acid reductase,decreased effectiveness with folic acid,decreased effectiveness with folic acid,aids,impaired fertility
