,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
792,fluticasone propionate (topical),corticosteroid responsive eczema/dermatitis,anti-inflammatorypotency,no information is available,no information is available,"rosacea, acne vulgaris, perioral dermatitis",local burning and pruritus
793,fluticasone propionate (nebuliser suspension),high dose inhaled or oral corticosteroid therapy,unknown,drug interactions,drug,patients with a history of hypersensitivity to any component of the preparation,"cataract, glaucoma"
794,glibenclamide,ineffective in completely pancreatectomized patients,it stimulates the mobilization of endogenous insulin,hypoglycemic effect,alcohol,pregnancy,"nausea, vomiting, epigastric pain"
795,glecaprevir + pibrentasvir,not both,inhibits the assembly of proteins and production of mature hcv particles,coadministration of carbamazepine,st. johns wort,patients with severe hepatic impairment,headache and fatigue
796,gentian violet,topical antiseptic,free-radical mechanism,drug,drug,ulcerative lesion,"redness, irritation, swelling or pain"
797,gentamicin sulfate (topical),minor surgical wounds,bactericidal antibiotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pregnancy and myasthenia gravis,irritation
798,gentamicin sulfate (ophthalmic),mastoidectomy or tympanoplasty,eye drops,eye/ear drops,eye/ear drops,individuals with a history of sensitivity reaction to any of its components,eye/ear drop
799,gentamicin sulfate (injection),"septicaemia, meningitis, respiratory tract infections",cell death results,potentially nephrotoxic or ototoxic drug substances,potent diuretics,NO SPECIFIC DATA AVAILABLE,adverse renal effects
800,gentamicin + hydrocortisone acetate,surgery to infected mastoid cavities,corticosteroid,hyperglycaemia and hypokalaemia,ethanol,pregnancy; hepatic impairment,allergic
801,gemifloxacin,acute bacterial exacerbation of chronic bronchitis,inhibiting dna synthesis,aluminium or magnesium containing antacids and iron salts,sucralfate administration,children under 18 years of age,fungal overgrowth in body
802,gemfibrozil,hyperlipoproteinemia,anti-lipemic agent,risks,lovastatin,"alcoholism, hepatic impairment, gallstone, and pregnancy","pruritus, rash, headache, dizziness, blurred vision"
803,gemcitabine,previously treated with 5-fu,inhibiting dna polymerase and ribonucleotide reductase,anticoagulant effect of warfarin,warfarin,"pregnancy, lactation; hypersensitivity",mild gi effects
804,gefitinib,limitation of use: safety and efficacy,atp)-binding site of the enzyme,cyp3a4 inducers,cyp3a4 inducers,hypersensitivity. lactation,elevations in blood creatinine
805,gatifloxacin + dexamethasone,sterile eye drops,inhibits bacterial dna gyrase and topoisomerase iv,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE,individuals hypersensitive,"mild burning, chemosis, redness may occur."
806,gatifloxacin (oral),infections,inhibition of both dna gyrase,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity of gatifloxacin,mild
807,gatifloxacin (ophthalmic),bacterial conjunctivitis,fluoroquinolones,specific drug interaction studies,eye drops,hypersensitivity to gatifloxacin,conjunctival irritation
808,ganciclovir (ophthalmic),acute herpetic keratitis,phosphorylation,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,"blurred vision (60%), eye irritation"
809,gadoversetamide,intravenous,paramagnetic agent,contrast agents,contrast agents,prior hypersensitivity reactions,nausea and paresthesia
810,gadodiamide,mri,does not cross the intact blood-brain barrier,drug,drug,"chronic, severe kidney disease","nephrogenic systemic fibrosis, hypersensitivity reactions"
811,gabapentin,partial seizure and secondary generalized seizure,activity of parent compound,oral contraceptive preparations,oral contraceptive preparations,patients who have known hypersensitivity to the drug,"fatigue, dizziness, ataxia, weight gain, peripheral edema"
812,fusidic acid + hydrocortisone,seborrhoeic dermatitis,anti-inflammatory &amp; anti-pruritic effects,hazardous drug interactions,hydrocortisone acetate,patients with hypersensitivity,generally local
813,fusidic acid + betamethasone,eczema and dermatitis with secondary infections,inhibition of bacterial protein synthesis,corticosteroids,skin-applied) medications,viral tuberculosis and fungal skin infections,allergic reactions
814,glycopyrronium bromide (oral solution),3 to 16 years,competitive inhibitor of acetylcholine receptors,dose reduction,digoxin tablets,patients with medical conditions that preclude anticholinergic therapy,"increased viscosity of bronchial secretion, nasal congestion"
815,glycopyrronium bromide (injection),anesthesia,quaternary ammonium antimuscarinic with peripheral effects,failure to dissolve under the tongue owing to dry mouth,tricyclic antidepressants,NO SPECIFIC DATA AVAILABLE,rarely
816,glycopyrronium bromide (inhalation capsule),maintenance bronchodilator,inhibition of m3-receptors at the smooth muscle results in relaxation,without clinical evidence of drug interactions,inhaled steroids,hypersensitivity,"dehydration, dry mouth, constipation"
817,glycine,irrigating fluid of choice,amino acid and a non-electrolyte,do not store,"additives, use aseptic technique, mix thoroughly and do not store",patients with anuria,electrolyte loss
818,glycerol + liquid sugar,glycerol &amp; liquid sugar,osmosis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity or intolerance,allergic to the ingredients
819,glycerol + hypromellose + polyethylene glycol 400,keratoconjunctivitis sicca,greater muco-adhesive properties,an interval of at least 5 minutes between each application,medicines,patients with known hypersensitivity to any ingredient of the product,blurred vision after application
820,glycerol,latex condoms,NO SPECIFIC DATA AVAILABLE,drug,drug,persons with a known hypersensitivity,no common side effects have been reported
821,glycerin + hypromellose + polyethylene glycol + tetrahydrozoline + zinc sulfate,temporary relief of burning and irritation due to exposure to wind or sun,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,stop use and ask a doctor if you feel eye pain,"temporary stinging or burning; redness, itching and watering of the eye"
822,glycerin,occasional constipation,hyperosmotic laxative,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,constipated,rectal discomfort or a burning sensation
823,glucose 19% + vamin 18 novum + intralipid 20%,parenteral nutrition,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,contra-indications to infusion therapy,transient increases in liver enzymes during intravenous nutrition
824,glucose 11% + vamin 18 novum + intralipid 20%,parenteral nutrition,<NO SPECIFIC DATA AVAILABLE,soybean oil,soybean oil,contra-indications to infusion therapy,transient increases in liver enzymes during intravenous nutrition
825,glucosamine sulfate + diacerein,osteoarthritis rheumatoid arthritis,"analgesic, antipyretic and anti-inflammatory activity",decrease absorption,aluminium,hypersensitivity,no serious adverse effect has been reported
826,glucosamine sulfate + chondroitin + camphor + peppermint oil,topically,chemically manufactured from turpentine oil,not known to interact significantly with other medicines,this medicine,<NO SPECIFIC DATA AVAILABLE,there are no known systemic side effects
827,glucosamine sulfate + chondroitin,dietary supplement,synergistic effect,antibiotics,nitrates,allergic to shellfish or sulfur,amp
828,glucosamine hydrochloride,dietary supplement,prodrug for glucosamine,antibiotics,nitrates,proven hypersensitivity,rarely occurring side effects
829,glipizide + metformin hydrochloride,amp; metformin,sulfonylurea,alcohol,alcohol,"pregnancy, breast-feeding",amp; metformin
830,glipizide,certain patients who are receiving insulin,dependent upon functioning beta cells,hypoglycaemia,protein bound,patients who are hypersensitive,"dose related, transient, and responded to dose reduction or withdrawal of the medication"
831,glimepiride + metformin,replacement,metformin hydrochloride,alcohol and alcohol-containing medications iodinated contrast agents,alcohol and alcohol-containing medications iodinated contrast agents,patients with severe impairment of liver function and in dialysis patients,weight gain
832,glimepiride,concomitantly with metformin,stimulating the release of insulin from functioning pancreatic beta cells,attenuate the hypoglycaemic action,acute and chronic aicohol intake,patients hypersensitive to glimepiride,"hypoglycaemia, temporary visual impairment"
833,gliclazide,certain form of diabetes (type 2 diabetes mellitus) in adults,decreases hepatic glucose output,drinking alcohol,drinking alcohol,if you are allergic to gliclazide or to other medicines,"gliclazide can cause side effects, although not everybody gets them"
834,hepatitis b vaccine [rdna],all known subtypes of hepatitis b virus,<NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with previous hypersensitivity,generally well tolerated
835,hepatitis b immune globulin,in case of accidental exposure in non-immunised subjects,NO SPECIFIC DATA AVAILABLE,mixed with other medicinal products,hepatitis b immune globulin must not be mixed with other medicinal products,allergic reactions,"hypersensitivity, anaphylactic shock"
836,hepatitis a vaccine,12 months of age and older,the presence of antibodies to hav confers protection against hepatitis a infection,reduced response to vaccination,corticosteroids or antineoplastics,patients with hypersensitivity reactions to egg,"transient soreness, erythema, induration at inj site."
837,heparin sodium,patients undergoing major abdomino-thoracicsurgery,multiple sites in the normal coagulation system,increased risk of hyperkalaemia,activated protein c,elective surgical procedures,"increased serum concentrations of ast and alt, prolonged prothrombin time"
838,hartmann's solution,metabolic acidosis associated with dehydration,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with diabetes mellitus,"nausea, vomiting, headache"
839,halothane,all types of surgery and in patients of all ages,"anaesthetic agents, is unknown",muscle relaxants,ketamine,history of unexplained jaundice and pyrexia,"depression, hypotension, skeletal muscle relaxation, bradycardia"
840,haloperidol,"psychomotor agitation in mania, dementia, acute and chronic schizophrenia",12 hours after one single administration,slower excretion rate,methyldopa,dyskinesias,"headache, vertigo, insomnia"
841,halobetasol propionate + tazarotene,plaque psoriasis in adults,cosyntropin,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,pregnancy,rash
842,halobetasol propionate,"not recommended, and the total dosage should not exceed 50 gm/week","anti-inflammatory, antipruritic and vasoconstrictive",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to any of the components of the preparation,"burning, itching, dryness"
843,halcinonide,corticosteroid-responsive dermatoses,unclear,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a history of hypersensitivity,mild depigmentation;
844,halazone,solution 4 mg,disinfecting,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
845,haemophilus influenzae type b vaccine [conjugated],2 months of age,predominantly stimulates b-cells to produce antibodies,different injection sites,"hepatitis b, or live attenuated measles",in case of any known hypersensitivity,adverse reactions
846,guaifenesin + levomenthol + diphenhydramine,syrup,mild local anesthetic and decongestant properties,"alcohol, and other cns depressants",alcohol,individuals with known hypersensitivity to the product or any of its components,"this syrup may cause drowsiness, dizziness, nausea and vomiting"
847,guaifenesin + dextromethorphan + menthol,fast &amp,dextromethorphan hydrobromide is a cough suppressant,reactions,codeine,ask a doctor or pharmacist,"dizziness, drowsiness;"
848,griseofulvin [microsize],not justified in minor or trivial infections,inhibits the growth of dermatophytes is not clear,efficacy of oral contraceptives,barbiturates,hypersensitivity to griseofulvin,oftherapyand
849,granisetron,the prevention and treatment of post operative nausea and vomiting,highly selective 5-ht3 receptor antagonist,serotonin syndrome with other serotonergic agents,phenobarbital,patients with known hypersensitivity to granisetron,application site reactions
850,gramacidin + neomycin + polymixin b,superficial infections of the external eye,gramicidin,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,those persons who have shown hypersensitivity to any of its components,anti-infective components of this product
851,golimumab,moderately to severely active rheumatoid arthritis,unknown,live vaccines/therapeutic infectious agents,live vaccines/therapeutic infectious agents,NO SPECIFIC DATA AVAILABLE,"upper respiratory tract infection, nasopharyngitis, injection site reactions"
852,glycopyrronium bromide + formoterol fumarate,maintenance treatment of patients with chronic obstructive pulmonary,rapid onset of action,anticholinergics,anticholinergics,hypersensitivity,possible side efects are sudden breathing problems
853,glycopyrronium bromide (respirator solution),long-term maintenance treatment for patients with chronic obstructive pulmonary disease,inhibition of m3 receptor at the smooth muscle leading to bronchodilation,unnecessary co-administration,anticholinergics,patients with a hypersensitivity to glycopyrrolate,adverse reactions
854,hydrogen peroxide,"theskinto prevent infection of minor cuts, scrapes, and burns.",oxidising agent with antibacterial and antiviral activity,"donot start, stop, or change the dosage of any medicine","donot start, stop, or change the dosage of any medicine",instillation of hydrogen peroxide into closed body cavities,"gas embolism, rupture of the colon"
855,hydrocortisone butyrate,<NO SPECIFIC DATA AVAILABLE>,", - - - -",<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE>,","
856,hydrocortisone acetate + neomycin sulphate,amp,aminoglycoside antibiotic,enhance the effect of non-depolarising muscle relaxants,aminoglycosides,bacterial infections,burning
857,hydrocortisone acetate + benzyl benzoate + bismuth subgallate + bismuth oxide + balsam peru + zinc oxide,comprehensive symptomatic treatment of internal and external hemorrhoids,hydrocortisone acetate has anti-inflammatory action,increase the likelihood of systemic effects,orally may increase the likelihood of systemic effects,"tubercular, fungal and most viral lesions",systemic corticosteroid effects
858,hydrocortisone acetate,primary irritant dermatitis contact allergic dermatitis eczema,cytosolic glucocorticoid receptor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,infections,if signs of hypersensitivity
859,hydrocortisone + neomycin sulphate + polymixin b,amp; polymixin b,antibiotics,increased neuromuscular blockade and possibly respiratory depression,additive toxicity,allergic,"become red, scaly and itchy"
860,hydrocortisone + lidocaine,anti-inflammatory,amide type local anesthesia,drugs that inhibit the metabolism of lidocaine,?-blockers,patients with a history of hypersensitivity,"rectal bleeding, swelling of the skin, adrenal suppression"
861,hydrocortisone,primary or secondary adrenocortical insufficiency,inhibiting the enzyme phospholipase a2,steroid toxicity,corticosteroid,severe systemic fungal infections,hydrocortisone is generally well tolerated except in prolonged high doses
862,hydrochlorothiazide + triamterene,potassiumlevels,triamterene directly inhibits the exchange of NO SPECIFIC DATA AVAILABLE for k and hydrogen,platinum compounds,platinum compounds,k supplements,"rarely, sle and photosensitivity"
863,hydrochlorothiazide,hypertension,the mechanism is not fully understood,pressor amines such as adrenaline may show decreased arterial responsiveness,gastrointestinal tract,"anuria, hypersensitivity",moderate to severe
864,hyaluronic acid,indicated in- relieve symptoms of knee osteoarthritis,all-natural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no known side effects reported so far
865,human tetanus immunoglobulin,tetanus immunoglobulin should always be administered,interfering with the normal interaction of the toxoid with human tissue,may reduce the efficacy of live vaccines,may reduce the efficacy of live vaccines,deficiency or severe anaphylactic reactions to plasma products,rarely
866,"human papillomavirus quadrivalent (types 6, 11, 16, and 18)",genital warts,unknown,concomitantly,recombivax hb [hepatitis b vaccine,severe allergic reactions to yeast,1.0% and greater than aahs control or saline placebo
867,human papillomavirus bivalent (types 16 & 18),oncogenic,non-infectious vaccine produced by recombinant technology,vaccine,vaccine,patient suffering from an acute febrile illness,"injection site pain, erythema, and inflammation"
868,human milk based amino acid,parenteral nutrition,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
869,human menopausal gonadotrophin,hcg,gametotropic and steroidogenic effect,infertile males,hcg,tumors in the pituitary or in the hypothalamic glands,NO SPECIFIC DATA AVAILABLE
870,human immunoglobulin-g [igg],treatment of primary immunodeficiency for combined therapy with antibiotics,<NO SPECIFIC DATA AVAILABLE>,may interfere with the immune response,admin of the immunoglobulins,anaphylactic or severe systemic hypersensitivity reactions,renal failure
871,human chorionic gonadotrophin,cryptorchidism,lh activity,no interactions of clinical relevance,no interactions of clinical relevance,prostatic carcinoma or breast carcinoma in the male.,increased androgen production
872,human anti-d immunoglobulins,prevention of rhimmunizationin,antibodies to foetal rhesus-positive rbcs,live vaccines,live vaccines,splenectomised or rhesus-negative patients,"fever, chills, nausea, facial flushing, headache"
873,homatropine hydrobromide,sterile eye drops,tertiary amine antimuscarinic,antimuscarinic effect,maois or parasympathomimetics,patients with closed-angle glaucoma,hypersensitivity
874,ibuprofen,rheumatoid arthritis,both a peripheral and a central effect,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients who have shown the previous hypersensitivity to ibuprofen,"upset stomach, vomiting, heartburn, nausea"
875,ibrutinib,mantle cell lymphoma,small-molecule inhibitor of btk,if a moderate cyp3a inhibitor,cyp3a inducers,hypersensitivity,"diarrhea, visual disturbance"
876,ibandronic acid + calcium carbonate + vitamin d3,kit,vitamin-d aids in the absorption of calcium from gi tract,interfere with absorption of ibandronate,"spinach, cereals, milk","hypercalcemia, hyperparathyroidism",amp
877,ibandronic acid & calcium orotate,women (especially after menopause) &amp; men,NO SPECIFIC DATA AVAILABLE,aspirin,aspirin of nsnads,"kidney stone, kidney disease and lung disease",calcium orotate
878,ibandronic acid,postmenopausal osteoporosis,inhibition of bone resorption,unlikely to displace other drugs,calcium supplements,patients with known hypersensitivity,"dyspepsia, nausea, diarrhea, abdominal pain"
879,hypromellose + carbomer,substitute tear fluid,hypertonic tear fluid caused by dry eyes,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,"burning, stinging, allergic reactions or red eyes"
880,hypromellose,all patients with ocular discomfort,lubricant and artificial tear,compatibility study with lens material,no compatibility study,hypersensitivity,brief blurred vision or a slight stinging sensation
881,hyoscine hydrobromide,prevention and control of nausea and vomiting associated with motion sickness/travel sickness,antimuscarinic,reduced effects with acetylcholinesterase inhibitors,tacrine,glaucoma/blindness,"dry mouth, dizziness, blurred vision, difficulty with micturition."
882,hyoscine butylbromide,antispasmodic,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE>,giddiness)
883,hylan g-f 20,pain in osteoarthritis (oa) of the knee,helps to restore the shock-absorbing effect of the fluid within the knee,no information provided,no information provided,knee joint infections or skin diseases or infections in the area of the injection site,"pain in the injected knee, swelling in the injected knee"
884,hydroxyzine hydrochloride,4 months,h1 receptor antagonist,monoamine oxidase inhibitors,monoamine oxidase inhibitors,patients with a known hypersensitivity,mild and transitory in nature
885,hydroxyurea,resistantchronic myeloid leukemia,inactivating the enzyme,anticoagulants,oral anticoagulants,hypersensitivity,"pulmonary oedema, dermatological reactions, headache, dizziness"
886,hydroxypropyl methylcellulose,it maintains the depth of the anterior chamber during the whole surgical procedure,non pyrogenic viscoelastic solution that occupies space and protects tissue,drug interactions,drug,when used as recommended,extremely well tolerated
887,hydroxyprogesterone caproate,indicated,anti-inflammatory effect,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,undiagnosed abnormal vaginal bleeding unrelated to pregnancy,allergic reactions
888,hydroxyethyl starch + sodium chloride,children,NO SPECIFIC DATA AVAILABLE,mixed with other medicinal products,mixed with other medicinal products,suffer from severe generalized infection (sepsis) have a severe liver disease,does not cause pancreatitis
889,hydroxyethyl cellulose + glycerin,gloves and instruments,providing lubrication,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,people with prior history of sensitivity or allergic reaction,NO SPECIFIC DATA AVAILABLE
890,hydroxychloroquine sulphate,acute and chronic rheumatoid arthritis,it acts as an immunosuppressant,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"nausea, vomiting, stomach upset"
891,hydroxocobalamin,themouth,renally excreted,arsenic trioxide chloracol,hicon (sodium iodide-i-131) lodotope,hypersensitivity,pain after injection
892,hydroquinone + octyldimethyl + dioxybenzone + oxybenzone,cosmetics,octyldimethyl p-aminobenzoate,drug interactions,drug,sunburn or depilatory usage,hypersensitivity
893,hydroquinone,gradual bleaching,suppressing melanocyte metabolic processes,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity or allergic reaction,no systemic adverse reactions have been reported
894,inositol nicotinate,"hyperlipidemias, raynaud's disease",vasodilator and lipid-lowering agent,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,anyone is allergic to one or any of its ingredients,"headache, rash, paraesthesia"
895,infliximab,mission,unknown,increased risk of serious infections,anakinra or abatacept- increased risk of serious infections,previous severe hypersensitivity reaction,"headache, and abdominal pain"
896,indomethacin (rectal),"rheumatoid arthritis, ankylosing spondylitis",not related to the pituitary gland or the adrenals,anticoagulants,aspirin,previously hypersensitive patient,gastrointestinal reactions
897,indomethacin (oral),rheumatoid arthritis,"strong anti-inflammatory, analgesic, and antipyretic properties",antihypertensive drugs,sulfonylureas,"patients with ulcer, gastritis, active ulcerative colitis",minimize the frequency and the severity of these untoward effects
898,indapamide + perindopril arginine,essential hypertension,ace inhibitor,lithium toxicity,alcohol,pregnancy; lactation,"dry cough, dry mouth"
899,indapamide + amlodipine,concurrently at the same dose level,direct relaxant effect on vascular smooth muscle,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,severe renal failure,"somnolence, dizziness, headache, palpitations"
900,indapamide,patients with renal function impairment,extra-renal antihypertensive action,decrease arterial responsiveness to norepinephrine,norepinephrine,hypersensitivity to sulfonamides,"headache, anorexia, gastric irritation"
901,indacaterol maleate,airflow obstruction,NO SPECIFIC DATA AVAILABLE,monoamine oxidase inhibitors,monoamine oxidase inhibitors,hypersensitivity to indacaterol or to any of the ingredients,"cough, nasopharyngitis, headache, nausea"
902,indacaterol + glycopyrronium + mometasone furoate,inhaled corticosteroid,mometasone furoate,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,hypersensitive,<NO SPECIFIC DATA AVAILABLE>
903,indacaterol + glycopyrronium,airflow obstruction,antimuscarinic agent,potassium,p-gp,<NO SPECIFIC DATA AVAILABLE,amp
904,inactivated polio vaccine,oral polio vaccine is contraindicated,neutralizing antibodies against each type of virus,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,subjects with known hypersensitivity,mild erythematous reaction and induration
905,inactivated influenza vaccine,should be based on official recommendations,NO SPECIFIC DATA AVAILABLE>,adverse reactions,immunosuppressant treatment,patients with febrile illness or acute infection,NO SPECIFIC DATA AVAILABLE
906,inactivated hepatitis a vaccine,active immunization of adults and children from 12 months of age,antibodies to hav confers protection against hepatitis a infection,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,people who are allergic,fever
907,imiquimod,external genital and perianal warts in adults,both the innate and acquired immune response,immunosuppressive medication,cream,patients with hypersensitivity,localised hypopigmentation and hyperpigmentation
908,imipramine hydrochloride,children,inhibiting the neuronal reuptake,reducing the dosage of imipramine,alcohol,patients with convulsive disorders or glaucoma,"nausea, vomiting, loss of appetite"
909,imipenem + cilastatin,amp,hydrolyzed by dehydropeptidase-i,increased risk of generalised seizures,ganciclovir,patients who have demonstrated hypersensitivity to this product,penicillin
910,imatinib mesylate,adjuvant treatment of adult patients following complete gross resection of kit,protein-tyrosine kinase inhibitor,grapefruit juice,grapefruit juice,NO SPECIFIC DATA AVAILABLE,impairments related to driving and using machinery renal toxicity
911,iloperidone,schizophrenia in adults. when deciding among the alternative treatments,high affinity for adrenergic receptors,drug,drug,hypersensitivity,ejaculation failure
912,ifosfamide,in combination with certain other approved antineoplastic agents,hepatic microsomal enzymes,serum levels,cyp2a6 inducers,"pregnancy, lactation","confusion, alopoecia, nausea, vomiting"
913,idoxuridine,"skin infection, eyes infection, infection of reproduction organs",identical in chemical structure to thymidine,corticosteroids,corticosteroids,hypersensitivity,"eye irritation or pain, redness, itching, swelling of the eye"
914,irbesartan,treatment of renal disease in patients with hypertension,angiotensin ii receptor antagonist,hypotension,non-steroidal anti- inflammatory drugs,pregnancy,"nausea, vomiting"
915,ipratropium bromide (nebuliser solution),maintenance,antagonising the action of acetylcholine,<NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity to atropine,allergic-type reactions
916,ipratropium bromide (inhaler),asthma,inhibits serous and seromucous gland secretions by nasal application,adverse drug reactions,without any adverse drug reactions,patients with a history of hypersensitivity to soya lecithin,bronchial secretion
917,iopamidol,"digital subtraction angiography, venography, urography",iopamidol blocks x-rays as they pass through the body,iopamidol may interfere with thyroid function,metformin,waldenstrom's macroglobulinemia,arrhythmias
918,iohexol,adults and children,subarachnoid injection,all iodinated contrast media may interfere with tests on thyroid function,all iodinated contrast media,manifest thyrotoxicosis. history of serious reaction,"hyperthyroidism, thyroid storm thyrotoxicosis"
919,iodixanol,intra-arterial procedures,opacifies vessels in the path of flow of the contrast agent,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,not indicated for intrathecal use,"discomfort, warmth, pain"
920,intravenous fat emulsion,parenteral nutrition indications,isotonic,drugs,insulin,severe liver damage and acute shock,"shivering, chills and nausea/vomiting"
921,interferon alfa-2a [recombinant],in patients with chronic hepatitis c diagnosed by hcv antibody,it inhibits replication of a wide range of rna and dna viruses,increased risk of renal failure,renal failure,patients with severe pre-existing cardiac disease or with any history of cardiac illness,bone marrow depression
922,insulin lispro protamine + insulin lispro,25% insulin lispro injection,intermediate-acting glucose-lowering agent,lithium,lithium,during episodes of hypoglycemia,hypoglycaemia
923,insulin lispro,without a longer-acting insulin,"rapid-acting, parenteral blood glucose-lowering agent",alcohol,alcohol,hypersensitivity,allergic reactions
924,insulin human [rdna] + isophane insulin human,treatment of all patients with type 1 diabetes,recombinant dna technology,the dosage of insulin should be reduced,oral contraceptive drug,patients who have allergic reaction,allergic
925,insulin human [long-acting],treatment of all patients with type 1 diabetes,insulatard,alcohol,alcohol,hypersensitivity,hypoglycemia
926,insulin human [fast-acting],treatment of all patients with type 1 diabetes,"within 1 hours, reaches a maximum effect within 4-12 hours",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,low blood sugar
927,insulin glulisine,adults and children,regulation of glucose metabolism,decreased insulin resistance,octreotide and lanreotide,during episodes of hypoglycemia,rash all over your body shortness of breath
928,insulin glargine [rdna],adults and children,parenteral blood glucose lowering agent,thyroid hormones,oral anti-diabetic products,hypersensitivity,"hypoglycemia, allergic reactions"
929,insulin detemir,"use intravenous, rapid acting or short-acting insulin instead.",through binding to insulin receptors,decreased insulin resistance,octreotide and lanreotide,patients with hypersensitivity,"pain, itching, hives, swelling and inflammation"
930,insulin degludec + insulin aspart premixed,diabetes mellitus,human insulin receptor,drug interactions,drug,hypersensitivity,"hypoglycemia, allergic reactions"
931,insulin degludec,once-daily,delayed absorption,decreased insulin resistance,octreotide and lanreotide,"hypoglycaemia, hyperglycaemia, eye disorder",injection site reactions
932,insulin aspart + insulin aspart protamine,diabetes mellitus,amp,thyroid hormones,alcohol,hypersensitivity to this drug or one of its excipients,"hypoglycemia, hypersensitivity and allergic reactions"
933,insulin aspart,adults and children,inhibiting the output of glucose from the liver,oral anti-diabetic products,oral anti-diabetic products,during episodes of hypoglycemia,"hypoglycemia, allergic reactions"
934,isotretinoin (topical),mild to moderate inflammatory and non-inflammatory acne vulgaris,unknown mechanism,preparations containing a peeling agent,abrasive cleansers,patients with known hypersensitivity to isotretinoin,"stinging, burning or irritation; erythema andpeeling"
935,isotretinoin (oral),topical therapy,unknown mechanism,increased risk of local irritation,topical keratolytic or exfoliative anti-acne agents,pregnant or breastfeeding,overdose
936,isosorbide mononitrate,aborting an acute anginal episode,pharmacological,phosphodiesterase inhibitors,riociguat,patients who are allergic to it,"headache, feelings of dizziness, hypotension"
937,isopropyl alcohol + hydrogen peroxide + glycerol,only 70% solution,disinfecting action is not known,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,"burning, stinging, or a cold feeling"
938,isopropyl alcohol,pre-operative surgical hand disinfection,not known,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
