labetalol hydrochloride (tablet),no answer,no answer,no answer,no answer,no answer,no answer
labetalol hydrochloride (injection),hypertension,b-blocking action,class i antiarrhythmic agents,cimetidine,second or third degree heart block,liver damage
l-ornithine l-aspartate + pancreatin,improvement,not frequently used as there are still some reservations about its benefits,increase your risk for side-effects or cause your drug not to work properly,drugs or over the counter products,"gastrectomy 
 hypersensitivity 
 pancreatectomy 
 pregnant","nausea 
 vomiting 
 abdominal 
 stomach pain 
 bloating 
 diarrhea"
l-ornithine l-aspartate,no answer,no answer,no answer,no answer,no answer,no answer
levodopa + benserazide,no answer,no answer,no answer,no answer,no answer,no answer
levocetirizine dihydrochloride,allergic conditions,rapid and long-acting action,interactions with other drugs,drugs,patients with severe renal impairment,"headache, dry mouth, fatigue and skin rash"
levocarnitine,no answer,no answer,no answer,no answer,no answer,no answer
levobupivacaine hydrochloride,for the production of local or regional anesthesia,infiltration anaesthesia and regional nerve blocks including epidural block,plasma levels may be reduced when used with enzyme-inducing drugs,enzyme-inducing drugs,obstetrics,"restlessness, anxiety, dizziness, confusion, respiratory depression"
levobunolol,patients with chronicopen-angle glaucomaorocularhypertension,nonselective -adrenergic blocking agent,additive hypotensive effect with catecholamine,catecholamine,individuals with bronchial asthma,reduced corneal sensitivity and tearing
levetiracetam,no answer,no answer,no answer,no answer,no answer,no answer
levamisole,usually within 24 hours,paralysing susceptible intestinal worms,alcohol,alcohol,there is no absolute contra-indication,headache
leuprorelin acetate,no answer,no answer,no answer,no answer,no answer,no answer
letrozole,in post-menopausal women,letrozole had no effect on plasma androgen concentrations,significant drug reactions,cimetidine,"pregnancy, lactation and in pre-menopausal women",mild to moderate and rarely severe enough to require discontinuation
lercanidipine hydrochloride,mild to moderate essential hypertension,direct relaxant effect on vascular smooth muscle,midazolam,midazolam,patients with left ventricular outflow tract obstruction,"flushing, peripheral edema, headache, dizziness and asthenia"
lenvatinib mesylate,everolimus,kinase inhibitor,coadministration of lenvatinib with medicinal products,medicinal products,patients with known hypersensitivity,"impairment of thyroid stimulating hormone suppression/thyroid dysfunction, wound healing complications"
lenograstim,autologous or allogeneic bone marrow transplantation,accelerates neutrophil recovery significantly after chemotherapy,pulmonary toxicity,bleomycin and cyclophosphamide,myeloid malignancies,toxic epidermal necrolysis
lenalidomide,controlled clinical trials,without regard to food intake,risk of thrombosis,r- and s-warfarin,patients who have demonstrated severe hypersensitivity,hypersensitivity
leflunomide,adults,anti-proliferative activity,risk of hepatotoxicity,charcoal,patients with known hypersensitivity to leflunomide,"diarrhea, nausea, vomiting"
ledipasvir + sofosbuvir,adults,hcv ns5a inhibitor,p-gp inducers,p-gp inducers,patients with known hypersensitivity,fatigue and headache
latanoprost + timolol,prostaglandins or other iop lowering agents,timolol is a non-selective adrenergic blocker,two topical -adrenergic blocking agents,epinephrine,patients with known hypersensitivity,irritation of the eye
latanoprost,patients with open-angle glaucoma or ocular hypertension,increased uveoscleral outflow,precipitation,eye drops containing thimerosal,hypersensitivity,"blurred vision, burning and stinging"
lasmiditan hemisuccinate,no answer,no answer,no answer,no answer,no answer,no answer
larotrectinib,adult and pediatric patients with solid tumors,binding is independent of drug concentrations,coadministration,grapefruit or grapefruit juice,patients with known hypersensitivity,"neurotoxicity, hepatotoxicity."
lapatinib,capecitabine,it blocks the phosphorylation and activation of downstream 2nd messengers,cyp3a4 inducers,cyp3a4 inducers,hypersensitivity,hypersensitivity reactions including anaphylaxis.
linagliptin,type 2 diabetes mellitus,inhibitor of dpp-4,oral contraceptives,oral contraceptives,hypersensitivity,hypoglycaemia
light liquid paraffin + white soft paraffin + glycerine,no answer,no answer,no answer,no answer,no answer,no answer
lifitegrast,no answer,no answer,no answer,no answer,no answer,no answer
lidocaine hydrochloride (spray),no answer,no answer,no answer,no answer,no answer,no answer
lidocaine hydrochloride (jelly),surface anaesthesia of the male and female urethra,inhibiting sodium influx through sodium specific ion channels,toxic effects,patients receiving antiarrhythmic drugs,hypersensitivity of local anaesthetics of the amide type,anaphylactic reactions
lidocaine hydrochloride (injection),infiltration blockade and intravenous regional analgesia,inhibiting sodium influx through sodium specific ion channels,cimetidine,cimetidine,known hypersensitivity to anaesthetics,systemic effects occur involving the central nervous system and/or the cardiovascular system
lidocaine + prilocaine,normal intact skin,local anaesthetic agents of the amide type,toxic effects,cream,hypersensitivity,anaphylactoid reactions
lidocaine + epinephrine,no answer,no answer,no answer,no answer,no answer,no answer
lidocaine + adrenaline,local or regional anesthesia,combination with epinephrine,potassium-depleting drugs,potassium-depleting drugs,anaesthetise digits,severe side effects :severe allergic reactions
levothyroxine sodium,lithium,synthetic levothyroxine,insulin requirements,insulin therapy may result in increased antidiabetic agent or insulin requirements,untreated subclinical or overt thyrotoxicosis,hyperthyroidism due to therapeutic overdose
levosalbutamol (oral),"adults, adolescents and children",unimpeded by (s)-salbutamol,deleterious cardiovascular effects,epinephrine,patients with a history of hypersensitivity,"nausea, vomiting, burning substernal or epigastric pain"
levosalbutamol,no answer,no answer,no answer,no answer,no answer,no answer
levonorgestrel,emergency contraception,levonorgestrel binds to progesterone and androgen receptors,emergency contraception,emergency contraception,hypersensitivity,"nausea and vomiting 
 dizziness, fatigue, headache 
 abdominal pain"
levomilnacipran hydrochloride,limitation,unknown,strong cyp3a4 inhibitors,strong cyp3a4 inhibitors,a patient who is being treated with maois,elevated blood pressure
levomenthol + thymol + terpineol + chlorobutanol,no answer,no answer,no answer,no answer,no answer,no answer
levofloxacin hemihydrate,"mild, moderate and severe infections",inhibiting bacterial topoisomerase iv and dna gyrase,antacids,antacids,patients with a history of hypersensitivity to levofloxacin,"nausea, vomiting, diarrhea, abdominal pain"
levofloxacin (ophthalmic),bacterial conjunctivitis,sterile topical ophthalmic solution,drug interaction,eye drops,patients with a history of hypersensitivity,"transient blurred vision, fever, foreign body sensation, headache"
levodopa + carbidopa + entacapone,levodopa/dopa decarboxylase,inhibiting the decarboxylation of peripheral levodopa,high protein diet,high protein,non-selective maois,diarrhea and stomach pain
levodopa + carbidopa (fc tablet),no answer,no answer,no answer,no answer,no answer,no answer
levodopa + carbidopa (cr tablet),no answer,no answer,no answer,no answer,no answer,no answer
loteprednol etabonate + tobramycin,ocular steroids,aminoglycoside,detected in plasma,plasma,viral diseases,headache
loteprednol etabonate + gatifloxacin,ocular steroids,"aminoglycoside, macrolide, and tetracycline antibiotics",drug interaction,medicines,no steroidal inflammatory medicines,gatifloxacin
loteprednol etabonate,no answer,no answer,no answer,no answer,no answer,no answer
losartan potassium + hydrochlorothiazide,hypertension,angiotensin ii,no significant drug-drug pharmacokinetic interactions,digoxin,patients who are hypersensitive,mild
losartan potassium,alone or in combination with other antihypertensive agents,angiotensin ii receptor blocker,active metabolite,potassium supplements or salt substitutes,patients with diabetes,mild and transient
lornoxicam,no answer,no answer,no answer,no answer,no answer,no answer
lorlatinib,monotherapy,kinase inhibitor,the concentration of these medicinal products,tacrolimus,hypersensitivity,cognitive effects (28.8%)
lorazepam,lorazepam is not recommended in anxiety states in children,depressant action,monoamine oxidase inhibitors,alcohol,patients with a previous sensitivity to benzodiazepines,"sedation followed by dizziness, weakness and unsteadiness"
loratadine + pseudoephedrine,this tablet,no central sedative or anti-cholinergic effect,mao) inhibitors,decarboethoxyloratadine,hypersensitive,"increased sweating, thirst, back pain, chest pain"
loratadine,in children over 2 years,no central sedative or anticholinergic effect,alcohol,alcohol,hypersensitivity or idiosyncrasy to their components,sedation and anticholinergic effects
lopinavir + ritonavir,no answer,no answer,no answer,no answer,no answer,no answer
loperamide hydrochloride,"indicated in- 
 
 acute diarrhea 
 chronic diarrhea 
 abdominal cramps",inhibits the peristaltic activity of the longitudinal and circular smooth muscle,data available,data,acute dysentery,abdominal pain and other gastrointestinal disturbances
lomefloxacin (oral),uncomplicated urinary tract infections,topical ophthalmic application,caffeine,probenecid,"children, growing adolescents, and pregnant women",common side effects arenausea
lomefloxacin (ophthalmic),bacterial infections,topical,"reduction of efficacy, no ophthalmic preparations containing heavy metals",heavy metals,hypersensitivity,"allergic reactions, asthma, dyspnoea"
lithium carbonate,"treatment and prophylaxis of mania, bipolar disorder and recurrent depression",unknown,iodine salts,iodine salts,"renal insufficiency, cardiovascular insufficiency",increased thirst and consequently passing urine
lisinopril,alone or with other antihypertensive agents,competitively inhibits ace,nsaids. may increase serum levels and toxicity,k supplements,patients with diabetes or renal impairment,increased bun and serum creatinine levels
liraglutide,in the presence of at least one weight-related comorbid condition,binds to and activates the glp-1 receptor,delay of gastric emptying,gastric,pregnancy,"nausea, diarrhea, constipation, vomiting"
liposome + perilla + sodium hyaluronate,no answer,no answer,no answer,no answer,no answer,no answer
linezolid,combination therapy,different from that of other antibacterial agents,interaction with adrenergic and serotonergic agents,serotonergic agents,uncontrolled hypertension,"diarrhea, headache and nausea"
linagliptin + metformin hydrochloride,both,it does not produce hypoglycemia,metformin elimination,cationic drugs,hypersensitivity,nasopharyngitis and diarrhea
mebeverine hydrochloride,no answer,no answer,no answer,no answer,no answer,no answer
mebendazole,"threadworms, whipworms, roundworms and hookworms",inhibits the formation of the worms' microtubules,cimetidine,cimetidine,patients with known hypersensitivity to mebendazole,transient symptoms of abdominal pain and diarrhoea
measles and rubella,no answer,no answer,no answer,no answer,no answer,no answer
maprotiline hydrochloride,indicated for the treatment of depressive illness,not precisely known,electroshock therapy,guanethidine,patients with known or suspected seizure disorders,"heart block, and syncope"
mannitol,no answer,no answer,no answer,no answer,no answer,no answer
magnesium sulfate heptahydrate,to prevent convulsion,anticonvulsant properties when administered parenterally,depressants,narcotics,patients with heart block or myocardial damage,"nausea, vomiting, flushing of the skin"
magnesium sulfate,pre-eclampsia and eclampsia,enzymatic reactions,reduction in blood pressure,barbiturates,defect of the heart's electrical message pathways,"nausea, vomiting, flushing of skin, thirst, hypotension"
magnesium oxide,relieving the symptoms of magnesium defciency,renal filtration,kidney stones,medicines,hypersensitivity and severe renal impairment,mild side effects
magnesium hydroxide + liquid paraffin,"constipation associated with chronic cholecystitis 
 hernia",laxative ingredient and a lubricant,irritation,"diuretics, famotidine and ranitidine",acute gl conditions like abdominal pain.,"rectal irritation, potassium loss"
magnesium hydroxide,"constipation, heart burn, gas and nausea",osmotic properties,absorption of other drugs,phosphate supplements,laxative is contraindicated,diarrhoea
magaldrate + simethicone,magaldrate may be given to children if necessary.,neutralizes gastric acid,tetracycline,tetracycline,patients with known hypersensitivity to magnesium and aluminium,gastrointestinal side-effects are uncommon
magaldrate,no answer,no answer,no answer,no answer,no answer,no answer
macrogol [polypropylene glycol] + electrolytes,adults and children over 12 years of age,electrolytes,decreased efficacy,thisoral solution,hypersensitivity to the active substances,reduction
macitentan,no answer,no answer,no answer,no answer,no answer,no answer
lyophilized bacterial lysate,no answer,no answer,no answer,no answer,no answer,no answer
lynestrenol,polymenorrhoea,various activities with the natural hormone progesterone,decrease the effectiveness of insulins,activated charcoal,sex steroids,later on the frequency gradually decreases
lymecycline,acute sinusitis,binding to the 30s ribosome subunit,anticoagulants,fe preparations,pregnancy and lactation,lymecycline capsules
lurasidone hydrochloride,"schizophrenia, depressive episodes associated with bipolar i disorder",central dopamine d2 and serotonin 5ht2a receptor,grapefruit: grapefruit and grapefruit juice,grapefruit and grapefruit juice,dementia-related psychosis,"extrapyramidal symptoms, and nausea"
luliconazole,no answer,no answer,no answer,no answer,no answer,no answer
lubiprostone,chronic idiopathic constipation (cic) in adults,protein kinase a action independent fashion,diphenylheptane opioids,diphenylheptane opioids,patients with known or suspected mechanical gastrointestinal obstruction,"nausea, stomach pain, swelling of abdominal or stomach area"
mercaptopurine,pediatric or adult,purine antagonist,anticoagulant action of warfarin,enhanced toxicity with myelosuppressive drugs,severe liver disease; severe bone marrow suppression,"hyperuricaemia, bone marrow toxicity"
mepyramine maleate,no answer,no answer,no answer,no answer,no answer,no answer
menthol + thymol + eucalyptol  + methyl salicylate,brighter,clinically proven antiseptic mouthwash,drug interactions,drug,hypersensitivity,diminish the effects of the mouthwash
menthol + pramoxine hydrochloride,may also be used for rashes,local anesthetic effects,drug interactions,drug,serious burns,"redness, irritation, swelling or pain"
meningococcal polysaccharide vaccine,no answer,no answer,no answer,no answer,no answer,no answer
meningococcal conjugate vaccine,individuals from the age of 6 weeks,production of bactericidal antibodies,co-administered,tetanus or diphtheria antigens included in tdap,hypersensitivity,adverse reactions
menaquinone-7,rheumatoid arthritis,active trans-isomer of natural vitamin k2,absorption,orlistat,patients with known hypersensitivity to menaquinone-7,no reports of side effects
memantine hydrochloride,dementia of the alzheimer's type,low to moderate affinity,amantadine,nicotine,patients with known hypersensitivity,bladder infections and increased sexual drive
memantine + donepezil,10 mg of donepezil hydrochloride once daily,different mechanism,interfere with anticholinergic medications,hydrochlorides,patients with known hypersensitivity,memantine hydrochloride
meloxicam,"osteoarthritis, 
 rheumatoid arthritis",non-steroidal anti-inflammatory drug,impossible to avoid such combined prescription,oral anticoagulants,aspirin or nsaids,oedema of the lower limbs may occur during treatment
melatonin,numerous conditions,melatonin binds with its receptors,corticosteroids,"tobacco, and alcohol",patients who have autoimmune diseases,headache and depression. drowsiness
megestrol acetate,megestrol oral suspension,unknown,dosage adjustment,zidovudine or rifabutin,known or suspected pregnancy,weight gain
mefloquine,acute malaria infections,antimalarial agent,vaccinations with attenuated live bacteria,vaccinations with attenuated live bacteria,"patients with active depression, a recent history of depression","dizziness, myalgia, nausea, fever, headache, vomiting"
mefenamic acid,"fever 
 toothache 
 headache 
 migraine",dual action on prostaglandins,increased adverse effects,warfarin,patients with known hypersensitivity,"vomiting, dizziness, abnormal renal function, pruritus, rashes"
medroxyprogesterone acetate (tablet),no answer,no answer,no answer,no answer,no answer,no answer
medroxyprogesterone acetate (injection),adjunctive and/or pallivative treatment,intramuscular injection,decreases efficacy,decreases efficacy,known hypersensitivity,"headache, blurring of vision 
 pain in the back of the leg"
mecobalamin,peripheral neuropathies,it is a cofactor in the enzyme methionine synthase,decreased gi tract absorption,oral contraceptives,hypersensitivity,gi discomfort
meclizine hydrochloride,"nausea, vomiting, motion sickness, vertigo",depending on dosage,toxicity,alcohol,hypersensitive,"drowsiness, dry mouth, and on rare occasions, blurred vision"
meclizine + pyridoxine,prevention and treatment,through nerve pathways to the vomiting center,gastrointestinal motility,ethanol,patients who are hypersensitive,"drowsiness, dry mouth and, on rare occasions, blurred vision"
mebhydrolin napadisylate,allergic disease,blocking of histamine receptors,mask the warning symptoms of damage caused by ototoxic drugs,anti-depressants,hypersensitivity,"nausea, vomiting, diarrhoea or constipation"
metolazone,"hypertension, alone or in combination with other antihypertensive drugs",it inhibits reabsorption of sodium in the distal tubules,lithium excretion,bile acid,pregnancy,bun
metoclopramide hydrochloride,no answer,no answer,no answer,no answer,no answer,no answer
methylprednisolone sodium succcinate,methylprednisolone sodium succinate im/iv,minimal mineralocorticoid properties,potassium-depleting agents,amphotericin b injection,systemic fungal infections,anaphylactic reaction with or without circulatory collapse
methylprednisolone acetate,"asthma, atopic dermatitis, contact dermatitis",binds to and activates intracellular glucocorticoid receptors,convulsions,hepatic enzymes such as phenobarbital,systemic fungal infections,"urticaria, hyperpigmentation or hypopigmentation"
methylprednisolone,enia,potent anti-inflammatory agent with the capacity to profoundly inhibit the immune system,blood thinners,blood thinners,systemic fungal infections,mild annoyances to serious irreversible bodily damage
methylphenidate hydrochloride,methylphenidate,norepinephrine and dopamine reuptake inhibitor,elimination of phenytoin,methylphenidate,"alcoholics, emotionally unstable patients, drug abusers",very rarely liver damage
methylergonovine maleate,"following delivery of the placenta, for routine management of uterine atony","increases the tone, rate, and amplitude of rhythmic contractions",potent cyp 3a4 inhibitors,grapefruit juice,hypertension; toxemia; pregnancy; and hypersensitivity,"rash, and foul taste"
methyldopa,hypertension,centrally acting,ferrous sulfate or ferrous gluconate,ferrous sulfate or ferrous gluconate,"active hepatic disease, such as acute hepatitis and active cirrhosis","angina pectoris, congestive heart failure"
methyl salicylate + menthol + camphor,cream,"methyl salicylate, menthol and camphor cream",drug interactions,drug,hypersensitivity,redness or irritation
methyl salicylate + menthol,this cream,menthol increases the penetration of drugs,warfarin from protein-binding sites,protein,application to broken skin or raw surfaces,mild to moderate local irritation
methoxy polyethylene glycol-epoetin beta,including patients on dialysis and patients not on dialysis,chemically synthesized continuous erythropoietin receptor activator,no indication of an effect of concomitant medications,medicinal products,uncontrolled hypertension,adverse reactions
methoxsalen,biopsy,not known,photosensitising agents,coal tar,patient with melanoma or possessing a history of melanoma,nausea
methotrexate,alone or in combination with other anticancer agents,inhibits dihydrofolic acid reductase,decreased effectiveness with folic acid,decreased effectiveness with folic acid,aids,impaired fertility
methocarbamol,man,not been established,anticholinesterase agents,anticholinesterase agents,hypersensitive,headache
methimazole,in patients with graves' disease with hyperthyroidism,inhibits the synthesis of thyroid hormones,vitamin k activity,meals,hypersensitivity to the drug or any of the other product components,"periarteritis, and hypoprothrombinemia."
methenamine hippurate,no answer,no answer,no answer,no answer,no answer,no answer
metformin hydrochloride,in children from 10 years of age and adolescents,it does not produce hypoglycemia,alcohol,alcohol,"alcohol intoxication, alcoholism",improve gastrointestinal tolerability
mesna,no answer,no answer,no answer,no answer,no answer,no answer
mesalazine [5-aminosalicylic acid],mild to moderately active ulcerative colitis,appears to be topical rather than systemic,risk of renal reactions,nsaids and azathioprine,hypersensitivity,"headache, nausea, dizziness, asthenia"
meropenem trihydrate,"pneumonia and nosocomial pneumonia 
 urinary tract infections",bactericidal action by interfering with bacterial cell wall synthesis,reduce serum valproic acid levels,elimination half-life,patients who have demonstrated hypersensitivity to this product,"nausea, vomiting, diarrhea, headache"
mitomycin c,indicated in diabetic foot infections;,enzymatically reduced to its active metabolite within susceptible cells,increased incidence of cardiotoxicity,increased incidence of cardiotoxicity with doxorubicin,pregnancy and lactation,haemolytic-uraemic syndrome
misoprostol,nsaid users at high risk of complications from gastric ulcer,mucosal protective properties,high doses of antacid,antacid,pregnancy,"diarrhea, abdominal pain"
mirtazapine,tablets,unknown,alcohol &amp; diazepam,alcohol,patients with a known hypersensitivity,"dizziness, drowsiness, dry mouth, increased appetite, weight gain"
mirabegron,overactive bladder (oab) syndrome,dual mechanism,dose-adjustment,food,patients with hypersensitivity to the active substance,tachycardia and urinary tract infections
minoxidil,males and females,widening blood vessels and inhibiting androgen hormone,alter the stratum corneum barrier,tretinoin or dithranol,"patients with red, inflamed infection, or irritated or painful scalp",minor dermatological reactions
minocycline hydrochloride,no answer,no answer,no answer,no answer,no answer,no answer
miltefosine,no answer,no answer,no answer,no answer,no answer,no answer
milnacipran hydrochloride,not approved for use in pediatric patients,it inhibits norepinephrine uptake,increased risk of bleeding,antipsychotic agents,concomitant use with maoi or within 2 wk after withdrawal,migraine
miglitol,adults with type 2diabetes mellitus,inhibits membrane-bound intestinal -glucosidase enzymes,insulin increases the risk of hypoglycaemia,charcoal,patient with diabetic ketoacidosis,"diarrhoea, flatulence, skin rash."
mifepristone + misoprostol,this kit,misoprostol,aspirin,misoprostol,history of allergy or known hypersensitivity,misoprostol
mifepristone,medical alternative to surgical termination of intra-uterine pregnancy,binding to the intracellular progesterone receptor,termination of pregnancy,grapefruit juice,patients with chronic adrenal failure,"skin rashes, urticaria, hot flashes and dizziness"
midazolam,short-term treatment of insomnia,inhibitory neurotransmitter gamma-aminobutyric acid,antihistamines,midazolam,"severe respiratory insufficiency, severe hepatic insufficiency",fluctuations in vital signs have been noted
micronised diosmin + hesperidin,acute hemorrhoidal attacks,inhibiting the release of inflammatory mediators,drug incompatibility,drug,anyone having a hypersensitivity to any ingredient in the product,discontinuation of treatment is not required
miconazole nitrate + hydrocortisone,pathogenic yeasts,miconazole is imidazole antifungal agents,amphotericin,amphotericin,pregnant mother and lactating mother,decrease in the production of natural hormones
miconazole nitrate (topical),no answer,no answer,no answer,no answer,no answer,no answer
miconazole nitrate (oral gel),for the treatment of oral and gastrointestinal candidiasis,metabolized,miconazole may inhibit their metabolism,astemizole and cisapride,patients with known hypersensitivity to the active ingredient,"nausea and vomiting, diarrhea with long term use and rarely allergic reactions"
metronidazole + neomycin sulphate + polymyxin b + nystatin,no answer,no answer,no answer,no answer,no answer,no answer
metronidazole + miconazole nitrate,candidiasis,miconazole inhibits ergosterol synthesis,reduced carbamazepine metabolism,pimozide,porphyria,"local irritation and sensitisation, contact dermatitis"
metronidazole,all forms of amoebiasis,bactericidal action,alcohol,alcohol,patients with a history of hypersensitivity,"metallic taste, nausea, vomiting, diarrhoea, drowsiness"
metoprolol tartrate,patients with acute myocardial infarction,catecholamines,cardioselectivity,drugs that inhibit cyp2d6,severe heart failure,alsobeenreported
multivitamin [injection],intravenous,intravenous,folic acid may lower the serum concentration of phenytoin,folic acid,known hypersensitivity to any of the components,allergic reactions
multivitamin [adult preparation],no answer,no answer,no answer,no answer,no answer,no answer
mucopolysaccharide polysulphate + salicylic acid,mild to moderate anti-inflammatory,topical/localised only,contraceptive failure,drugs or herbal products,"first trimester, during late pregnancy or on the breast area during lactation","redness, burning sensation and rash"
moxonidine,high blood pressure,low affinity for central alpha-2-adrenoceptors,drink alcohol,alcohol,"if you: 
 
 are allergic (hypersensitive)","dry mouth, drowsiness"
moxifloxacin hydrochloride + xanthan gum,no answer,no answer,no answer,no answer,no answer,no answer
moxifloxacin hydrochloride + dexamethasone,no answer,no answer,no answer,no answer,no answer,no answer
moxifloxacin hydrochloride (tablet),acute bacterial sinusitis,inhibiting topoisomerase ii (dna gyrase),nsaids,nsaids,patients with a history of hypersensitivity,"nausea, vomiting, diarrhea, headache and dizziness"
moxifloxacin hydrochloride (ophthalmic),bacterial conjunctivitis,antimicrobial,drug-drug interaction,solution,patients with a history of hypersensitivity,"decreased visual acuity, dry eye"
moxifloxacin hydrochloride (injection),no answer,no answer,no answer,no answer,no answer,no answer
morphine sulfate,morphinebelongs,mu-1 receptors,delay the absorption of mexiletine,mexiletine,concurrent admin with maois or within 2 wk after treatment,nausea
montelukast sodium,prophylaxis and chronic treatment of asthma,selective and orally active leukotriene receptor antagonist,no dose adjustment,bioavailability and other conditions were not significantly observed with food &amp,patients who are hypersensitive,"suicidal tendencies, tremor"
monosulfiram,parasiticide,ectoparasiticide,drug interactions,drug,alcohol,few side-effects
monosemicarbazone adrenochrome,prevention and treatment of surgical and non-surgical capillary bleedings,rapid onset of action,drug interaction,drug,there are no known contraindications,no adverse reactions have been reported at the recommended dosages
monobasic sodium phosphate + dibasic sodium phosphate,no answer,no answer,no answer,no answer,no answer,no answer
mometasone furoate + formoterol fumarate,this inhaler contains formoterol,long-acting beta-2 agonist- laba,caution,xanthine derivatives,patients with known hypersensitivity,hypokalemia
mometasone furoate (topical),no answer,no answer,no answer,no answer,no answer,no answer
mometasone furoate (nasal spray),adults and pediatric patients 2 years of age and older,not known,drug interactions,drug,hypersensitivity,"nosebleeds, and coughing"
mometasone furoate (inhalation capsule),4 years of age and older,not known,ketoconazole,ketoconazole,primary treatment of status asthmaticus or other acute episodes of asthma,mild
molnupiravir,emergency use,inhibits viral reproduction,medications,n-hydroxycytidine,patients with known hypersensitivity to molnupiravir,"diarrhoea, nausea, feeling dizzy, headache"
mizolastine,urticaria,blocks histamine h1-receptors,alcohol,alcohol,patients who are hypersensitive to the drug,"dry mouth, diarrhoea, abdominal pain"
mycophenolic acid,adult patients receiving a kidney transplant,immunosuppressive agent,medicines may decrease mycophenolic acid concentration,antacids,physician supervision,"anemia, leukopenia, constipation"
mycophenolate mofetil,class iii-v lupus nephritis,non-competitive,acid concentration,hormonal contraceptives,women who are breastfeeding,"diarrhea, leukopenia, sepsis"
mupirocin,impetigo,mupirocin inhibits bacterial protein synthesis,drug interaction,drug interaction has been identified with mupirocin ointment,hypersensitivity reactions,"burning, stinging or pain, itching"
multivitamins & multiminerals [a-z prenatal preparation],no answer,no answer,no answer,no answer,no answer,no answer
multivitamin with l-lysine,no answer,no answer,no answer,no answer,no answer,no answer
multivitamin & normal saline,intravenous,intravenous administration,folic acid may lower the serum concentration of phenytoin,folic acid,known hypersensitivity to any of the components,hypersensitive to any component of the preparation
multivitamin & multimineral essentials [for nursing mother],no answer,no answer,no answer,no answer,no answer,no answer
multivitamin & multimineral [for nursing mother],no answer,no answer,no answer,no answer,no answer,no answer
multivitamin & multimineral [a-z teen girls preparation],no answer,no answer,no answer,no answer,no answer,no answer
multivitamin & multimineral [a-z teen boys preparation],no answer,no answer,no answer,no answer,no answer,no answer
multivitamin & multimineral [a-z syrup preparation],children,antioxidant vitamins,no interactions have been observed,no interactions have been observed,patients with a known hypersensitivity to any of the ingredients,well tolerated
multivitamin & multimineral [a-z silver preparation],vitamin and mineral deficiencies for adults over 45 years of age,scientifically adjusted,drug interactions,drug,do not take this product if taking other vitamin a supplements,folic acid
multivitamin & multimineral [a-z juniors syrup preparation],the treatment and prevention of vitamin and minerals deficiencies,"balanced amounts of all the important vitamins, essential minerals and trace elements",interactions,interactions,patients who are hypersensitive to any of its components,generally well tolerated
multivitamin & multimineral [a-z junior infusion preparation],no answer,no answer,no answer,no answer,no answer,no answer
multivitamin & multimineral [a-z gold preparation],vitamins &amp; minerals deficiencies. as a complete daily nutritional supplement,"film coated tablet, which combines 32 high potency vitamins and minerals",drug interactions,drug,patients with known hypersensitivity to any of the ingredients,diarrhoea may occasionally occur during treatment with beta carotene
multivitamin & multimineral [a-z for infanrs & childrens],no answer,no answer,no answer,no answer,no answer,no answer
multivitamin & multimineral,no answer,no answer,no answer,no answer,no answer,no answer
multivitamin & cod liver oil,multivitamin syrup with cod-liver oil is indicated for growing children,hormones,drug,drug,patients with a known hypersensitivity to any of the ingredients,allergic reactions may be seen
multivitamin & 5% dextrose,intravenous,intravenous administration,folic acid may lower the serum concentration of phenytoin,folic acid,known hypersensitivity to any of the components,hypersensitive to any component of the preparation
multivitamin [pediatric preparation],no answer,no answer,no answer,no answer,no answer,no answer
nelfinavir,hiv infection,"selective, competitive, reversible hiv protease inhibitor",increased serum levels/effects with azole antifungal agents,"omeprazole, nevirapine",patients with clinically significant hypersensitivity to any of its components,mild intensity
nefopam hydrochloride,no answer,no answer,no answer,no answer,no answer,no answer
nebivolol hydrochloride,elderly patients,anticoagulant,nebivolol should not be combined with other -blockers,nebivolol should not be combined with other -blockers,"severe bradycardia, heart block greater than first degree","headache, nausea and bradycardia"
nebivolol + hydrochlorothiazide,essential hypertension,diuretic action,"calcium level 
 non-steroidal anti-inflammatory drugs","calcium level 
 non-steroidal anti-inflammatory drugs","bradycardia, hypotension",hydrochlorothiazide
nateglinide,adults with type 2 diabetes mellitus.,the amount of existing glucose levels,corticosteroids,"thiazide diuretics, thyroid hormones",diabetic ketoacidosis.,"accidental trauma, bronchitis, cough"
natamycin,natamycin sterile ophthalmic suspension,binding to sterols in the fungal cell membrane,may increase spread of fungal eye infection,topical corticosteroid,individuals with a history of hypersensitivity to any of its component,hyperemia
naproxen sodium + esomeprazole magnesium,amp,amp,high-fat food,high-fat food,coronary artery bypass graft (cabg) surgery,the most common adverse reactions
naproxen sodium,acute gout,non steroidal anti-inflammatory drug,antacids &amp; sucralfate,antacids &amp; sucralfate,"patients who have experienced asthma, urticaria, or allergic-type reactions","visual disturbances, hearing disturbances"
naphazoline + zinc sulfate,bacterial and viral conjunctivitis,zinc ions,mao-blockers,mao-blockers,infants,does not affect the success of the treatment
naphazoline + pheniramine,allergic conjunctivitis,antihistamine,increased pressor effects,tca,angle closure glaucoma,increased or decreased intraocular pressure
nandrolone phenylpropionate,selected cases of disseminated mammary carcinoma,one week after injection,insulin,insulin,pregnancy,inhibition of spermatogenesis
nandrolone decanoate,no answer,no answer,no answer,no answer,no answer,no answer
