drugName,condition,rating,usefulCount
polyethylene glycol 3350,constipation,10,104
lamotrigine,bipolar disorde,6,4
azithromycin,sinusitis,8,17
levonorgestrel,emergency contraception,9,9
azithromycin,sinusitis,5,4
ciprofloxacin,urinary tract infection,8,51
apri,birth control,2,0
dapsone,acne,1,7
gabapentin,reflex sympathetic dystrophy syndrome,9,0
propranolol,mance anxiety,10,11
tramadol,pain,9,9
alfuzosin,benign prostatic hyperplasia,8,60
tapentadol,pain,8,31
esomeprazole,gerd,8,1
ceftriaxone,urinary tract infection,10,10
carbamazepine,epilepsy,9,16
amlodipine,high blood pressure,1,37
venlafaxine,depression,9,60
propranolol,benign essential trem,10,69
levonorgestrel,birth control,10,2
tramadol,pain,1,14
metronidazole,bacterial vaginitis,5,3
metronidazole,dental abscess,8,9
desvenlafaxine,anxiety,3,15
desloratadine,allergic rhinitis,1,2
tadalafil,erectile dysfunction,5,24
escitalopram,anxiety,10,42
levonorgestrel,abnormal uterine bleeding,9,70
naproxen,tendonitis,10,36
citalopram,depression,8,32
azithromycin,chlamydia infection,10,24
copper,birth control,9,10
hydrochlorothiazide,high blood pressure,10,11
oxymetazoline,nasal congestion,1,3
sertraline,anxiety and stress,1,24
varenicline,smoking cessation,10,6
liraglutide,"diabetes, type 2",10,51
bisacodyl,constipation,3,5
diphenhydramine,allergic rhinitis,4,5
fluoxetine,depression,2,18
norethindrone,birth control,10,16
adalimumab,crohn's disease,2,12
melatonin,insomnia,10,42
naproxen,back pain,1,10
paroxetine,anxiety,7,30
cephalexin,bladder infection,10,78
fluconazole,vaginal yeast infection,9,85
bisacodyl,constipation,5,43
tioconazole,vaginal yeast infection,1,3
terbinafine,"onychomycosis, fingernail",10,23
topiramate,ibromyalgia,6,54
levonorgestrel,emergency contraception,10,6
medroxyprogesterone,birth control,9,1
epinephrine,"copd, acute",8,13
tioconazole,vaginal yeast infection,1,3
misoprostol,not listed / othe,8,9
levonorgestrel,emergency contraception,10,11
sertraline,depression,5,15
adapalene,acne,9,6
methylphenidate,adhd,8,44
tioconazole,vaginal yeast infection,10,4
venlafaxine,bipolar disorde,10,30
tamsulosin,urinary tract stones,9,19
liraglutide,obesity,9,96
levonorgestrel,emergency contraception,10,8
paliperidone,schizophrenia,9,28
fluvoxamine,obsessive compulsive disorde,9,22
doxepin,insomnia,10,93
ketorolac,pain,5,1
escitalopram,anxiety,10,12
rivaroxaban,deep vein thrombosis,1,3
tramadol,pain,7,17
methylprednisolone,inflammatory conditions,4,45
dapsone,acne,1,10
bupropion,depression,10,126
levofloxacin,urinary tract infection,1,11
atorvastatin,high cholesterol,10,126
zoledronic acid,prevention of osteoporosis,7,2
pyridostigmine,dysautonomia,8,6
leflunomide,rheumatoid arthritis,7,110
estradiol,postmenopausal symptoms,10,41
clonazepam,panic disorde,10,28
methylprednisolone,inflammatory conditions,10,38
tretinoin,acne,5,30
testosterone,"hypogonadism, male",1,13
cefdinir,sinusitis,9,25
tadalafil,erectile dysfunction,9,33
lansoprazole,gerd,10,32
norethindrone,birth control,10,12
spironolactone,acne,8,35
meloxicam,rheumatoid arthritis,1,51
celecoxib,pain,9,65
hydroxyzine,anxiety,10,60
cyclobenzaprine,migraine,9,41
hydroxyzine,anxiety,10,9
carbamazepine,epilepsy,9,15
pregabalin,ibromyalgia,8,20
levonorgestrel,birth control,9,7
levonorgestrel,emergency contraception,10,48
varenicline,smoking cessation,9,12
metronidazole,dental abscess,9,40
armodafinil,narcolepsy,6,10
tamsulosin,benign prostatic hyperplasia,10,27
levetiracetam,epilepsy,10,17
metronidazole,bacterial vaginitis,6,2
acetazolamide,pseudotumor cerebri,9,15
levonorgestrel,emergency contraception,10,1
oxcarbazepine,bipolar disorde,10,8
isotretinoin,acne,10,2
duloxetine,depression,10,50
clonazepam,panic disorde,10,5
copper,birth control,4,2
venlafaxine,depression,7,4
levonorgestrel,emergency contraception,10,11
azithromycin,tonsillitis/pharyngitis,6,8
olanzapine,bipolar disorde,9,91
miconazole,vaginal yeast infection,1,1
fenofibrate,hypertriglyceridemia,1,58
clarithromycin,helicobacter pylori infection,5,6
levonorgestrel,birth control,1,0
medroxyprogesterone,nan,2,5
gabapentin,anxiety,10,20
levonorgestrel,emergency contraception,10,31
paroxetine,hot flashes,9,114
temozolomide,"melanoma, metastatic",1,9
alli,obesity,10,26
alprazolam,dysautonomia,8,2
clonazepam,anxiety,10,116
levonorgestrel,birth control,9,2
levonorgestrel,emergency contraception,10,11
sumatriptan,migraine,3,0
meloxicam,osteoarthritis,10,74
duloxetine,depression,10,25
alprazolam,anxiety,10,88
doxycycline,"lyme disease, neurologic",8,11
clindamycin,skin or soft tissue infection,1,15
modafinil,obstructive sleep apnea/hypopnea syndrome,4,0
levonorgestrel,birth control,4,1
sumatriptan,migraine,9,0
miconazole,vaginal yeast infection,2,9
risperidone,schizoaffective disorde,10,15
tioconazole,vaginal yeast infection,4,5
lurasidone,borderline personality disorde,10,42
melatonin,insomnia,2,14
escitalopram,generalized anxiety disorde,8,86
escitalopram,anxiety,9,8
lorazepam,anxiety,10,40
diphenhydramine,insomnia,7,7
lisinopril,high blood pressure,1,53
brexpiprazole,major depressive disorde,8,19
aprepitant,"nausea/vomiting, postoperative",10,3
isotretinoin,acne,10,9
spironolactone,hirsutism,7,38
sertraline,depression,10,191
levonorgestrel,emergency contraception,10,28
tioconazole,vaginal yeast infection,2,3
miconazole,vaginal yeast infection,3,9
lurasidone,schizophrenia,10,15
citalopram,generalized anxiety disorde,5,17
dapsone,acne,10,28
levonorgestrel,birth control,10,1
cipro,bladder infection,1,7
cipro,bladder infection,10,82
warfarin,prevention of thromboembolism in atrial fibrillation,10,16
linezolid,bacterial infection,6,1
roflumilast,copd,10,27
duloxetine,pain,9,31
varenicline,smoking cessation,10,51
zolpidem,insomnia,7,8
valacyclovir,"herpes simplex, suppression",1,8
etanercept,psoriasis,10,4
liraglutide,"diabetes, type 2",10,81
methimazole,hyperthyroidism,8,58
lisinopril,high blood pressure,1,26
ciprofloxacin,urinary tract infection,1,4
risperidone,post traumatic stress disorde,1,18
clonazepam,anxiety,9,42
sulfasalazine,rheumatoid arthritis,10,7
miconazole,vaginal yeast infection,1,1
olmesartan,high blood pressure,9,36
levonorgestrel,emergency contraception,10,9
levonorgestrel,birth control,5,2
clonazepam,anxiety,9,21
dapsone,acne,9,2
chlordiazepoxide,alcohol withdrawal,10,28
levonorgestrel,emergency contraception,10,8
primidone,benign essential trem,10,50
metronidazole,bacterial infection,9,6
fluoxetine,depression,9,16
clindamycin,peritonitis,10,45
propofol,anesthesia,10,8
fluorouracil,keratosis,10,121
verapamil,cluster headaches,4,12
propranolol,anxiety,6,10
carbamazepine,bipolar disorde,10,8
tizanidine,muscle spasm,8,12
levonorgestrel,emergency contraception,10,8
nitrofurantoin,bladder infection,1,7
diazepam,anxiety,9,32
amoxicillin,otitis media,8,16
copper,birth control,9,0
acyclovir,herpes simplex,10,3
nortriptyline,pain,1,130
zolpidem,insomnia,9,9
aripiprazole,schizoaffective disorde,8,3
azithromycin,upper respiratory tract infection,10,43
nabumetone,osteoarthritis,5,17
diclofenac,back pain,9,68
meclizine,vertig,5,20
varenicline,smoking cessation,8,5
copper,birth control,9,10
lurasidone,nan,2,3
tioconazole,vaginal yeast infection,2,3
fentanyl,pain,10,27
doxycycline,bronchitis,10,43
miconazole,vaginal yeast infection,6,17
losartan,high blood pressure,1,48
tioconazole,vaginal yeast infection,1,5
clindamycin,bacterial infection,6,35
xylometazoline,nasal congestion,9,15
levonorgestrel,emergency contraception,1,1
metoprolol,high blood pressure,7,45
alprazolam,panic disorde,9,54
cipro,kidney infections,4,37
escitalopram,generalized anxiety disorde,9,67
miconazole,vaginal yeast infection,1,2
lifitegrast,dry eye disease,2,15
isotretinoin,acne,10,11
dabigatran,deep vein thrombosis,7,27
aripiprazole,obsessive compulsive disorde,6,9
mirtazapine,insomnia,4,31
crisaborole,atopic dermatitis,5,15
ketorolac,pain,10,6
fluoxetine,anxiety and stress,5,3
levonorgestrel,birth control,10,9
levonorgestrel,emergency contraception,1,4
lamotrigine,seizure prevention,9,44
escitalopram,generalized anxiety disorde,9,7
quetiapine,depression,7,41
paroxetine,post traumatic stress disorde,10,50
montelukast,allergic rhinitis,3,2
omeprazole,gerd,9,14
glimepiride,"diabetes, type 2",10,22
ketoconazole,tinea corporis,10,42
alprazolam,not listed / othe,10,2
hydroxyzine,anxiety,8,19
linaclotide,irritable bowel syndrome,10,50
pregabalin,neuropathic pain,9,110
ciprofloxacin,prostatitis,1,29
epinastine,"conjunctivitis, allergic",8,0
levonorgestrel,birth control,9,10
fluconazole,vaginal yeast infection,1,6
levofloxacin,bronchitis,1,16
amitriptyline,interstitial cystitis,10,34
lurasidone,schizophrenia,5,4
rituximab,rheumatoid arthritis,7,2
levofloxacin,sinusitis,9,81
carvedilol,heart failure,10,56
pentosan polysulfate sodium,interstitial cystitis,1,38
escitalopram,major depressive disorde,4,20
adalimumab,hidradenitis suppurativa,1,24
linaclotide,irritable bowel syndrome,8,27
levonorgestrel,birth control,6,1
levonorgestrel,emergency contraception,1,7
methotrexate,psoriasis,10,68
clonazepam,anxiety,7,17
medroxyprogesterone,birth control,10,6
diphenhydramine,cough,9,26
amitriptyline,migraine prevention,10,22
polyethylene glycol 3350,constipation,9,55
medroxyprogesterone,birth control,8,6
varenicline,smoking cessation,10,24
chlorpromazine,schizophrenia,10,5
estradiol,postmenopausal symptoms,6,6
ropinirole,restless legs syndrome,1,38
mirtazapine,anxiety,5,35
desvenlafaxine,depression,10,37
paroxetine,generalized anxiety disorde,9,71
levonorgestrel,emergency contraception,10,9
lactulose,"constipation, chronic",10,68
pioglitazone,"diabetes, type 2",2,15
bupropion,anxiety,1,20
hydroxychloroquine,undifferentiated connective tissue disease,10,21
sofosbuvir,hepatitis c,5,17
escitalopram,depression,8,25
celecoxib,osteoarthritis,8,64
paroxetine,depression,1,4
brexpiprazole,major depressive disorde,6,13
clonazepam,panic disorde,9,9
amlodipine,high blood pressure,1,66
azithromycin,bronchitis,10,82
apri,birth control,1,6
sertraline,panic disorde,10,127
liraglutide,"diabetes, type 2",9,77
lamotrigine,bipolar disorde,9,40
allopurinol,gout,9,53
clonidine,tourette's syndrome,2,3
tapentadol,pain,9,49
cholecalciferol,vitamin d deficiency,10,13
risperidone,bipolar disorde,1,7
solifenacin,overactive bladde,10,89
isotretinoin,acne,9,29
silodosin,benign prostatic hyperplasia,8,28
adalimumab,psoriasis,7,23
modafinil,obstructive sleep apnea/hypopnea syndrome,9,40
duloxetine,depression,2,5
clonazepam,insomnia,5,30
fluticasone,nasal polyps,10,42
doxylamine,insomnia,9,52
diclofenac,osteoarthritis,1,1
levonorgestrel,birth control,1,4
indomethacin,"gout, acute",6,33
varenicline,smoking cessation,10,45
zolpidem,insomnia,8,24
liraglutide,obesity,9,36
infliximab,"crohn's disease, maintenance",7,34
metoclopramide,migraine,9,4
amitriptyline,migraine prevention,9,49
silver sulfadiazine,"burns, external",10,6
duloxetine,ibromyalgia,8,14
alfuzosin,benign prostatic hyperplasia,10,62
canagliflozin,"diabetes, type 2",9,22
medroxyprogesterone,abnormal uterine bleeding,2,4
metronidazole,bacterial vaginitis,9,2
escitalopram,anxiety,8,71
clarithromycin,bronchitis,8,21
indomethacin,"gout, acute",10,35
miconazole,vaginal yeast infection,1,6
medroxyprogesterone,endometriosis,1,23
apri,birth control,4,4
levonorgestrel,birth control,9,14
eflornithine,hirsutism,8,131
duloxetine,depression,1,1
varenicline,smoking cessation,9,15
polyethylene glycol 3350,constipation,3,17
doxycycline,acne,9,13
chlordiazepoxide,anxiety,10,45
apri,birth control,4,4
carisoprodol,muscle spasm,10,38
lifitegrast,dry eye disease,10,10
bisacodyl,constipation,5,31
etanercept,ankylosing spondylitis,9,38
dapsone,acne,1,8
modafinil,narcolepsy,9,23
bupropion,smoking cessation,10,75
doxepin,insomnia,10,71
ciprofloxacin,diverticulitis,8,53
azithromycin,chlamydia infection,10,11
nebivolol,high blood pressure,1,11
amoxicillin,urinary tract infection,8,178
doxepin,depression,1,31
testosterone,"hypogonadism, male",8,23
eflornithine,hirsutism,9,0
escitalopram,generalized anxiety disorde,10,51
amlodipine,high blood pressure,2,46
citalopram,anxiety and stress,10,141
sumatriptan,migraine,2,22
simvastatin,high cholesterol,8,36
modafinil,chronic fatigue syndrome,1,20
olmesartan,high blood pressure,10,65
meloxicam,osteoarthritis,10,33
fluoxetine,obsessive compulsive disorde,4,4
minoxidil,alopecia,8,14
epinephrine,av heart block,1,0
ciprofloxacin,bladder infection,6,19
cetirizine,urticaria,6,43
bisacodyl,constipation,6,34
desvenlafaxine,bipolar disorde,10,36
levetiracetam,seizures,5,69
medroxyprogesterone,abnormal uterine bleeding,4,5
carisoprodol,muscle spasm,10,5
milnacipran,ibromyalgia,6,118
methotrexate,psoriasis,10,42
clonazepam,anxiety,9,8
ciprofloxacin,bladder infection,2,49
mirtazapine,depression,8,40
dextromethorphan,cough,1,3
pazopanib,renal cell carcinoma,10,55
clonidine,perimenopausal symptoms,8,24
itraconazole,histoplasmosis,8,4
medroxyprogesterone,birth control,4,3
liraglutide,"diabetes, type 2",1,29
solifenacin,overactive bladde,2,63
levonorgestrel,birth control,8,5
chlorpromazine,light sedation,10,16
pregabalin,postherpetic neuralgia,8,20
erlotinib,non-small cell lung cance,10,137
mometasone,psoriasis,10,35
methylphenidate,adhd,10,43
levonorgestrel,emergency contraception,1,13
alprazolam,anxiety,10,142
exemestane,breast cance,1,30
zolpidem,insomnia,10,4
dapsone,acne,10,10
olanzapine,bipolar disorde,5,8
dexlansoprazole,gerd,10,13
lithium,bipolar disorde,10,65
miconazole,vaginal yeast infection,1,2
apremilast,plaque psoriasis,5,74
alli,obesity,2,40
rizatriptan,migraine,10,20
sertraline,bipolar disorde,7,8
risperidone,post traumatic stress disorde,9,32
nortriptyline,pain,8,140
spironolactone,alopecia,6,43
paroxetine,anxiety,6,61
metronidazole,bacterial vaginitis,4,5
adalimumab,ankylosing spondylitis,9,40
methylphenidate,adhd,9,4
guaifenesin,ibromyalgia,10,64
metformin,"diabetes, type 2",3,68
nitrofurantoin,urinary tract infection,1,12
nitrofurantoin,urinary tract infection,1,7
levonorgestrel,emergency contraception,10,31
meloxicam,ibromyalgia,2,72
fluoxetine,depression,8,162
adalimumab,"crohn's disease, maintenance",4,6
propranolol,anxiety,10,76
guaifenesin,ibromyalgia,10,117
vardenafil,erectile dysfunction,8,15
tramadol,back pain,8,25
hydroxyzine,anxiety,9,180
loteprednol,postoperative ocular inflammation,10,8
carisoprodol,muscle spasm,10,122
zolpidem,insomnia,10,6
triamcinolone,allergic rhinitis,1,2
gabapentin,restless legs syndrome,10,81
metronidazole,trichomoniasis,6,12
tizanidine,muscle spasm,6,26
propranolol,pe,3,44
risedronate,osteoporosis,8,27
doxycycline,acne,1,20
miconazole,vaginal yeast infection,1,0
prochlorperazine,nausea/vomiting,1,23
tramadol,back pain,3,10
topiramate,seizure prevention,10,2
levonorgestrel,birth control,9,6
acetazolamide,pseudotumor cerebri,10,15
methylprednisolone,allergic rhinitis,8,74
mometasone,psoriasis,9,13
dulaglutide,"diabetes, type 2",9,29
betamethasone,dermatological disorders,10,16
levothyroxine,underactive thyroid,1,45
primidone,benign essential trem,5,14
clonazepam,insomnia,10,54
adapalene,acne,9,13
bupropion,depression,9,60
varenicline,smoking cessation,10,10
methylprednisolone,inflammatory conditions,8,42
metronidazole,bacterial vaginitis,8,11
citalopram,generalized anxiety disorde,10,117
carisoprodol,muscle spasm,10,7
fluoxetine,anxiety and stress,8,163
metoprolol tartrate,high blood pressure,8,17
alprazolam,anxiety,10,526
gabapentin,hot flashes,10,53
aripiprazole,depression,3,61
dapsone,acne,10,5
loratadine,allergic rhinitis,3,8
lorazepam,anxiety,10,22
levonorgestrel,birth control,3,1
ceftriaxone,intraabdominal infection,10,10
desloratadine,allergic rhinitis,6,1
valacyclovir,cold sores,10,3
gabapentin,anxiety,8,24
ramipril,high blood pressure,10,18
oseltamivir,influenza,2,10
flavoxate,overactive bladde,3,4
polyethylene glycol 3350,bowel preparation,5,10
sertraline,anxiety and stress,6,16
ciprofloxacin,"conjunctivitis, bacterial",10,0
amlodipine,migraine prevention,1,10
ropinirole,restless legs syndrome,7,27
venlafaxine,generalized anxiety disorde,10,86
nitrofurantoin,urinary tract infection,9,13
amitriptyline,pain,10,100
naproxen,"gout, acute",10,0
adalimumab,psoriasis,5,8
celecoxib,not listed / othe,8,0
temazepam,insomnia,6,54
copper,birth control,9,4
tioconazole,vaginal yeast infection,8,6
calcitriol,hypoparathyroidism,5,5
tinidazole,bacterial vaginitis,4,16
estradiol,atrophic vaginitis,1,13
cipro,diverticulitis,8,53
medroxyprogesterone,amenorrhea,9,13
levothyroxine,"hypothyroidism, after thyroid removal",9,128
paroxetine,anxiety,8,6
pregabalin,diabetic peripheral neuropathy,1,82
methylphenidate,adhd,1,3
olmesartan,high blood pressure,10,83
venlafaxine,depression,5,13
venlafaxine,depression,2,29
gabapentin,anxiety,8,38
estradiol,oophorectomy,1,3
paroxetine,generalized anxiety disorde,6,9
erlotinib,non-small cell lung cance,10,18
guaifenesin,bronchitis,10,30
bupropion,depression,1,2
quetiapine,generalized anxiety disorde,6,21
capecitabine,colorectal cance,8,61
anastrozole,"breast cancer, metastatic",3,63
levonorgestrel,birth control,2,0
sitagliptin,"diabetes, type 2",5,46
armodafinil,chronic fatigue syndrome,9,43
levetiracetam,epilepsy,9,4
clonazepam,panic disorde,10,26
citalopram,anxiety and stress,10,44
budesonide,inflammatory bowel disease,1,12
sertraline,anxiety and stress,10,31
venlafaxine,anxiety,1,5
escitalopram,depression,1,3
tamsulosin,benign prostatic hyperplasia,10,27
escitalopram,generalized anxiety disorde,9,47
adalimumab,crohn's disease,1,7
haloperidol,psychosis,7,0
varenicline,smoking cessation,10,11
soma,muscle spasm,10,120
eluxadoline,irritable bowel syndrome,10,28
dexlansoprazole,barrett's esophagus,10,11
desvenlafaxine,depression,4,9
copper,birth control,9,0
medroxyprogesterone,abnormal uterine bleeding,1,17
copper,birth control,9,11
levonorgestrel,emergency contraception,10,3
azithromycin,sinusitis,3,0
levonorgestrel,emergency contraception,10,7
quetiapine,bipolar disorde,8,47
clindamycin,bacterial infection,1,0
eszopiclone,insomnia,8,22
vardenafil,erectile dysfunction,8,38
sertraline,anxiety and stress,10,65
apri,birth control,7,6
fluoxetine,anxiety and stress,10,76
levonorgestrel,birth control,4,1
escitalopram,anxiety,8,8
venlafaxine,migraine,5,1
paroxetine,anxiety,9,100
citalopram,panic disorde,9,17
fluconazole,"onychomycosis, toenail",10,2
fluphenazine,psychosis,1,0
indomethacin,"gout, acute",9,32
sertraline,post traumatic stress disorde,10,12
azithromycin,bacterial infection,1,5
citalopram,depression,10,15
vilazodone,depression,6,9
canagliflozin,"diabetes, type 2",2,9
bisoprolol,heart failure,9,20
levonorgestrel,birth control,7,11
liraglutide,weight loss,10,8
oseltamivir,influenza,10,2
sertraline,generalized anxiety disorde,8,48
medroxyprogesterone,abnormal uterine bleeding,8,5
desvenlafaxine,depression,10,123
quetiapine,insomnia,10,26
hydroxyzine,anxiety,5,37
liraglutide,obesity,10,51
moxifloxacin,pneumonia,9,9
varenicline,smoking cessation,10,13
nitrofurantoin,bladder infection,1,14
cetirizine,allergic rhinitis,10,58
diclofenac,back pain,10,25
levonorgestrel,emergency contraception,10,19
rifaximin,irritable bowel syndrome,10,112
miconazole,vaginal yeast infection,9,8
pregabalin,ibromyalgia,1,35
pimecrolimus,eczema,9,25
clonazepam,panic disorde,10,57
tramadol,ibromyalgia,10,30
sumatriptan,migraine,9,2
guaifenesin,ibromyalgia,10,0
clonazepam,bipolar disorde,1,31
citalopram,anxiety and stress,7,39
nabumetone,osteoarthritis,1,10
paroxetine,depression,9,54
venlafaxine,anxiety,6,23
levonorgestrel,emergency contraception,10,30
metronidazole,diverticulitis,2,29
pramipexole,restless legs syndrome,8,23
linaclotide,"constipation, chronic",10,17
temazepam,insomnia,6,47
levetiracetam,neuralgia,8,16
eflornithine,hirsutism,10,69
senna,constipation,10,5
levonorgestrel,birth control,5,1
bupropion,major depressive disorde,1,15
clonazepam,anxiety,10,12
allopurinol,gout,10,58
pramipexole,restless legs syndrome,10,44
apri,birth control,8,14
ciprofloxacin,prostatitis,2,22
nitrofurantoin,prevention of bladder infection,10,33
modafinil,depression,10,38
duloxetine,depression,6,6
sulfasalazine,psoriatic arthritis,2,26
maprotiline,major depressive disorde,10,13
isotretinoin,acne,9,9
citalopram,anxiety and stress,7,60
ziprasidone,bipolar disorde,8,15
lorazepam,anxiety,6,89
linaclotide,"constipation, chronic",10,96
liraglutide,obesity,9,22
olanzapine,depression,10,47
clarithromycin,sinusitis,1,26
mometasone,allergic rhinitis,10,2
sertraline,social anxiety disorde,7,31
gabapentin,trigeminal neuralgia,9,119
metronidazole,bacterial vaginitis,10,5
citalopram,post traumatic stress disorde,10,22
olanzapine,depression,9,31
levonorgestrel,birth control,7,1
fluoxetine,anxiety and stress,9,49
promethazine,opiate adjunct,1,44
aripiprazole,bipolar disorde,1,10
dulaglutide,"diabetes, type 2",2,8
nitrofurantoin,urinary tract infection,10,52
montelukast,"asthma, maintenance",10,33
cefdinir,strep throat,1,5
clonazepam,panic disorde,10,11
pregabalin,reflex sympathetic dystrophy syndrome,7,7
doxycycline,acne,9,35
roflumilast,copd,10,5
cephalexin,bladder infection,9,42
citalopram,anxiety and stress,8,51
granisetron,"nausea/vomiting, postoperative",10,0
venlafaxine,depression,9,67
gabapentin,neuropathic pain,8,22
clonidine,opiate withdrawal,7,12
pregabalin,generalized anxiety disorde,8,66
metformin,"diabetes, type 2",10,74
diclofenac,osteoarthritis,8,9
tiotropium,"copd, maintenance",10,15
propranolol,mance anxiety,8,20
cyanocobalamin,vitamin b12 deficiency,6,18
citalopram,anxiety and stress,1,29
levonorgestrel,birth control,10,6
olanzapine,borderline personality disorde,6,5
isotretinoin,acne,10,69
amitriptyline,irritable bowel syndrome,7,27
metronidazole,bacterial infection,2,3
tizanidine,muscle spasm,9,25
topiramate,seizure prevention,8,41
prochlorperazine,nausea/vomiting,1,6
epoetin alfa,anemia,9,1
sertraline,obsessive compulsive disorde,10,41
irbesartan,high blood pressure,1,56
isosorbide mononitrate,angina,1,8
hydroxyzine,sedation,7,17
pregabalin,neuropathic pain,1,43
metoclopramide,migraine,1,31
simvastatin,high cholesterol,1,31
baclofen,chronic spasticity,9,22
lansoprazole,gastritis/duodenitis,10,0
luvox,obsessive compulsive disorde,6,24
tadalafil,erectile dysfunction,10,226
vilazodone,major depressive disorde,10,94
escitalopram,depression,10,89
venlafaxine,panic disorde,9,9
ticagrelor,acute coronary syndrome,7,4
zolpidem,insomnia,10,23
escitalopram,bipolar disorde,10,40
sitagliptin,"diabetes, type 2",7,47
paliperidone,schizoaffective disorde,7,18
clonazepam,anxiety,10,42
mirtazapine,depression,5,19
fluocinolone,dermatitis,8,7
mirtazapine,depression,9,24
escitalopram,anxiety,10,6
levomilnacipran,major depressive disorde,3,19
cyclobenzaprine,muscle spasm,8,91
propranolol,anxiety,1,19
beclomethasone,bronchitis,4,0
gabapentin,anxiety,9,98
tramadol,pain,9,7
levonorgestrel,birth control,10,12
hydroxyzine,sedation,3,49
topiramate,obesity,10,47
levonorgestrel,emergency contraception,9,1
metoclopramide,migraine,4,7
zolpidem,insomnia,10,23
ciprofloxacin,urinary tract infection,7,8
quetiapine,bipolar disorde,9,4
alprazolam,panic disorde,10,40
permethrin,scabies,3,6
amlodipine,high blood pressure,1,91
lurasidone,bipolar disorde,5,45
dexlansoprazole,gerd,10,49
pantoprazole,gerd,10,59
doxycycline,acne,9,17
doxepin,insomnia,10,42
varenicline,smoking cessation,10,3
metronidazole,intraabdominal infection,2,1
phenytoin,epilepsy,10,21
tramadol,chronic pain,5,18
atomoxetine,adhd,9,35
brexpiprazole,major depressive disorde,8,77
linaclotide,"constipation, chronic",6,56
ciprofloxacin,urinary tract infection,1,60
venlafaxine,depression,9,1
hylan g-f 20,osteoarthritis,1,0
medroxyprogesterone,birth control,9,5
moxifloxacin,sinusitis,5,12
sertraline,depression,10,365
linaclotide,"constipation, chronic",10,70
luvox,anxiety and stress,10,23
captopril,high blood pressure,10,12
gabapentin,insomnia,10,66
hydroxychloroquine,systemic lupus erythematosus,10,108
clonazepam,insomnia,10,69
irbesartan,high blood pressure,1,3
doxycycline,bacterial infection,10,9
lubiprostone,"constipation, chronic",10,50
medroxyprogesterone,birth control,8,7
levonorgestrel,birth control,10,3
multivitamin,dietary supplementation,10,58
quetiapine,major depressive disorde,2,13
sertraline,anxiety and stress,1,15
insulin glargine,"diabetes, type 2",3,11
desloratadine,allergic rhinitis,8,2
fluconazole,vaginal yeast infection,8,68
amlodipine,high blood pressure,8,107
brimonidine,rosacea,1,16
levonorgestrel,abnormal uterine bleeding,4,19
pregabalin,ibromyalgia,3,7
quetiapine,bipolar disorde,1,46
gabapentin,neuropathic pain,1,8
azithromycin,bronchitis,1,14
lubiprostone,irritable bowel syndrome,8,20
propranolol,anxiety,5,6
cyclobenzaprine,sciatica,10,47
atomoxetine,adhd,3,4
tamsulosin,benign prostatic hyperplasia,2,212
tramadol,chronic pain,9,35
amitriptyline,insomnia,9,109
hydroxychloroquine,dermatomyositis,9,55
naproxen,osteoarthritis,8,22
lamotrigine,epilepsy,10,1
meloxicam,inflammatory conditions,10,48
lubiprostone,"constipation, chronic",9,47
gabapentin,pain,8,47
orlistat,nonalcoholic fatty liver disease,1,5
doxycycline,prostatitis,5,33
quetiapine,bipolar disorde,10,17
ziprasidone,body dysmorphic disorde,7,0
citalopram,depression,10,20
prochlorperazine,nausea/vomiting,1,1
clomipramine,obsessive compulsive disorde,10,142
liraglutide,"diabetes, type 2",8,11
olanzapine,obsessive compulsive disorde,9,31
dextromethorphan,cough,1,9
tolterodine,overactive bladde,9,42
medroxyprogesterone,abnormal uterine bleeding,1,5
levonorgestrel,birth control,10,2
lamotrigine,bipolar disorde,10,31
clindamycin,bacterial infection,1,53
amitriptyline,insomnia,8,94
levocetirizine,allergies,10,8
midazolam,light anesthesia,5,1
norethindrone,birth control,4,9
mirtazapine,anxiety,7,110
citalopram,depression,8,15
zaleplon,insomnia,1,13
cefdinir,sinusitis,6,6
norethindrone,birth control,4,9
dextromethorphan,cough,5,3
diclofenac,osteoarthritis,10,2
tapentadol,pain,9,51
nystatin,oral thrush,7,0
furosemide,edema,1,106
metronidazole,diverticulitis,10,51
varenicline,smoking cessation,1,6
ella,emergency contraception,10,18
fentanyl,chronic pain,8,8
escitalopram,anxiety,10,121
insulin glargine,"diabetes, type 2",4,2
spironolactone,high blood pressure,8,21
isotretinoin,acne,8,3
lansoprazole,gerd,5,59
alprazolam,panic disorde,10,71
dimenhydrinate,motion sickness,9,5
dimenhydrinate,motion sickness,10,4
testosterone,"hypogonadism, male",10,101
aripiprazole,schizoaffective disorde,9,7
doxycycline,chlamydia infection,6,2
valsartan,high blood pressure,5,62
lurasidone,bipolar disorde,4,29
ciprofloxacin,kidney infections,10,26
clonazepam,not listed / othe,6,1
bupropion,depression,8,64
vilazodone,major depressive disorde,2,20
gabapentin,trigeminal neuralgia,10,28
testosterone,"hypogonadism, male",9,61
risperidone,bipolar disorde,7,5
carisoprodol,muscle spasm,10,16
denosumab,osteoporosis,10,15
copper,birth control,10,17
levonorgestrel,emergency contraception,10,4
sodium hyaluronate,osteoarthritis,8,26
enalapril,hypertensive emergency,9,14
quetiapine,insomnia,9,25
cephalexin,bacterial infection,9,48
duloxetine,hot flashes,7,29
isotretinoin,acne,7,20
brexpiprazole,major depressive disorde,9,62
venlafaxine,anxiety and stress,9,5
