group,indication,score,contraindications_description,generic_name,contraindication_result
contradicted drug,ritonavi,0.94117874,"lopinavir and ritonavir is contraindicated in patients with previously demonstrated clinically significant hypersensitivity (e.g., toxic epidermal necrolysis, stevens-johnson syndrome, erythema multiforme, urticaria, angioedema) to any of its ingredients, including lopinavir and ritonavir. co-administration of lopinavir and ritonavir is contraindicated with drugs that are highly dependent on cyp3a for clearance and for which elevated plasma concentrations are associated with serious and/or life-threatening reactions.",lopinavir + ritonavir,previously demonstrated clinically significant hypersensitivity
contradicted drug,quinolone,0.83690923,"lomefloxacin is contraindicated in patients with a history of hypersensitivity to lomefloxacin or to other quinolones. lomefloxacin like other drugs in its class, cause arthropathy in juvenile animals. therefore, its use in children, growing adolescents, and pregnant women is not recommended.",lomefloxacin (oral),lomefloxacin or to other quinolones
contradicted disease,arthropathy,0.79498494,"lomefloxacin is contraindicated in patients with a history of hypersensitivity to lomefloxacin or to other quinolones. lomefloxacin like other drugs in its class, cause arthropathy in juvenile animals. therefore, its use in children, growing adolescents, and pregnant women is not recommended.",lomefloxacin (oral),lomefloxacin or to other quinolones
contradicted subject,pregnant women,0.8361702,"lomefloxacin is contraindicated in patients with a history of hypersensitivity to lomefloxacin or to other quinolones. lomefloxacin like other drugs in its class, cause arthropathy in juvenile animals. therefore, its use in children, growing adolescents, and pregnant women is not recommended.",lomefloxacin (oral),lomefloxacin or to other quinolones
contradicted drug,quino,0.7049089,"hypersensitivity to the active ingredient, to excipients, or to quinolones. long term treatment with antibiotics may enhance development of secondary fungal infections or may support growth of non susceptible bacteria.",lomefloxacin (ophthalmic),hypersensitivity
contradicted drug,antibiotics,0.99974126,"hypersensitivity to the active ingredient, to excipients, or to quinolones. long term treatment with antibiotics may enhance development of secondary fungal infections or may support growth of non susceptible bacteria.",lomefloxacin (ophthalmic),hypersensitivity
contradicted disease,infections,0.85563743,"hypersensitivity to the active ingredient, to excipients, or to quinolones. long term treatment with antibiotics may enhance development of secondary fungal infections or may support growth of non susceptible bacteria.",lomefloxacin (ophthalmic),hypersensitivity
contradicted disease,renal,0.42571542,"renal insufficiency, cardiovascular insufficiency, addison's disease and untreated hypothyroidism are all contraindications to lithium therapy.",lithium carbonate,"renal insufficiency, cardiovascular insufficiency"
contradicted disease,addison ' s disease,0.9004717,"renal insufficiency, cardiovascular insufficiency, addison's disease and untreated hypothyroidism are all contraindications to lithium therapy.",lithium carbonate,"renal insufficiency, cardiovascular insufficiency"
contradicted patient history,untreated,0.8323038,"renal insufficiency, cardiovascular insufficiency, addison's disease and untreated hypothyroidism are all contraindications to lithium therapy.",lithium carbonate,"renal insufficiency, cardiovascular insufficiency"
contradicted drug,lithium,0.8742524,"renal insufficiency, cardiovascular insufficiency, addison's disease and untreated hypothyroidism are all contraindications to lithium therapy.",lithium carbonate,"renal insufficiency, cardiovascular insufficiency"
contradicted disease,angioedema,0.86239165,"history of angioedema related to previous ace inhibitor treatment, hereditary or idiopathic angioedema. concomitant use with aliskiren in patients with diabetes or renal impairment. pregnancy. children with gfr &lt;30 ml/min/1.73 m 2 .",lisinopril,diabetes or renal impairment. pregnancy
contradicted drug,ace inhibitor,0.9993605,"history of angioedema related to previous ace inhibitor treatment, hereditary or idiopathic angioedema. concomitant use with aliskiren in patients with diabetes or renal impairment. pregnancy. children with gfr &lt;30 ml/min/1.73 m 2 .",lisinopril,diabetes or renal impairment. pregnancy
contradicted disease,diabetes,0.7532417,"history of angioedema related to previous ace inhibitor treatment, hereditary or idiopathic angioedema. concomitant use with aliskiren in patients with diabetes or renal impairment. pregnancy. children with gfr &lt;30 ml/min/1.73 m 2 .",lisinopril,diabetes or renal impairment. pregnancy
contradicted patient history,medullary,0.6999398,personal or family history of medullary thyroid carcinoma or multiple endocrine neoplasia syndrome type-2. hypersensitivity to liraglutide or any excipients in liraglutide. pregnancy,liraglutide,pregnancy
contradicted disease,thyroid,0.50799346,personal or family history of medullary thyroid carcinoma or multiple endocrine neoplasia syndrome type-2. hypersensitivity to liraglutide or any excipients in liraglutide. pregnancy,liraglutide,pregnancy
contradicted patient history,carcinoma,0.72633743,personal or family history of medullary thyroid carcinoma or multiple endocrine neoplasia syndrome type-2. hypersensitivity to liraglutide or any excipients in liraglutide. pregnancy,liraglutide,pregnancy
contradicted patient history,multiple endoc,0.6872607,personal or family history of medullary thyroid carcinoma or multiple endocrine neoplasia syndrome type-2. hypersensitivity to liraglutide or any excipients in liraglutide. pregnancy,liraglutide,pregnancy
contradicted drug,liraglutide,0.9797802,personal or family history of medullary thyroid carcinoma or multiple endocrine neoplasia syndrome type-2. hypersensitivity to liraglutide or any excipients in liraglutide. pregnancy,liraglutide,pregnancy
contradicted drug,liragluti,0.8206669,personal or family history of medullary thyroid carcinoma or multiple endocrine neoplasia syndrome type-2. hypersensitivity to liraglutide or any excipients in liraglutide. pregnancy,liraglutide,pregnancy
contradicted patient history,pregnancy,0.97983265,personal or family history of medullary thyroid carcinoma or multiple endocrine neoplasia syndrome type-2. hypersensitivity to liraglutide or any excipients in liraglutide. pregnancy,liraglutide,pregnancy
contradicted drug,linezolid,0.96585894,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,linezolid,0.9655466,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,linezolid,0.9815543,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,linezolid,0.97605246,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted disease,carcinoid syndrome,0.9803959,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,agents,0.88400835,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,vasopressive agents,0.92580605,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,dopaminergic agents,0.9744103,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,anti,0.56621236,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,serotonin,0.7889499,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,- ht1 receptor,0.74796903,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,trip,0.99324304,"linezolid formulations are contraindicated for using in patients who have known hypersensitivity to linezolid or any of the other product components. linezolid should not be used in patients taking any medicinal product which inhibits monoamine oxidases a or b (e.g. phenelzine, isocarboxazid) or within two weeks of taking any such medicinal product. linezolid should not be administered to patients with uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome and/or patients taking directly and indirectly acting sympathomimetic agents (e.g. pseudoephedrine), vasopressive agents (e.g. epinephrine, norepinephrine), dopaminergic agents (e.g. dopamine, dobutamine), serotonin re-uptake inhibitors, tricyclic antidepressants, serotonin 5-ht1 receptor agonists (triptans), meperidine or buspirone.",linezolid,hypersensitivity to linezolid or any of the other product components
contradicted drug,linagliptin,0.9444743,"although linagliptin undergoes minimal renal excretion, metformin hydrochloride is known to be substantially excreted by the kidney. the risk of metformin hydrochloride accumulation and lactic acidosis increases with the degree of renal impairment. therefore, this combination is contraindicated in patients with renal impairment. it is also contraindicated in acute or chronic metabolic acidosis (diabetic ketoacidosis) and in hypersensitivity to linagliptin or metformin hydrochloride.",linagliptin + metformin hydrochloride,acute or chronic metabolic acidosis
contradicted drug,metform,0.8214979,"although linagliptin undergoes minimal renal excretion, metformin hydrochloride is known to be substantially excreted by the kidney. the risk of metformin hydrochloride accumulation and lactic acidosis increases with the degree of renal impairment. therefore, this combination is contraindicated in patients with renal impairment. it is also contraindicated in acute or chronic metabolic acidosis (diabetic ketoacidosis) and in hypersensitivity to linagliptin or metformin hydrochloride.",linagliptin + metformin hydrochloride,acute or chronic metabolic acidosis
contradicted disease,metabolic acidosis,0.9996287,"although linagliptin undergoes minimal renal excretion, metformin hydrochloride is known to be substantially excreted by the kidney. the risk of metformin hydrochloride accumulation and lactic acidosis increases with the degree of renal impairment. therefore, this combination is contraindicated in patients with renal impairment. it is also contraindicated in acute or chronic metabolic acidosis (diabetic ketoacidosis) and in hypersensitivity to linagliptin or metformin hydrochloride.",linagliptin + metformin hydrochloride,acute or chronic metabolic acidosis
contradicted drug,linaglipt,0.98078793,"although linagliptin undergoes minimal renal excretion, metformin hydrochloride is known to be substantially excreted by the kidney. the risk of metformin hydrochloride accumulation and lactic acidosis increases with the degree of renal impairment. therefore, this combination is contraindicated in patients with renal impairment. it is also contraindicated in acute or chronic metabolic acidosis (diabetic ketoacidosis) and in hypersensitivity to linagliptin or metformin hydrochloride.",linagliptin + metformin hydrochloride,acute or chronic metabolic acidosis
contradicted drug,metform,0.980567,"although linagliptin undergoes minimal renal excretion, metformin hydrochloride is known to be substantially excreted by the kidney. the risk of metformin hydrochloride accumulation and lactic acidosis increases with the degree of renal impairment. therefore, this combination is contraindicated in patients with renal impairment. it is also contraindicated in acute or chronic metabolic acidosis (diabetic ketoacidosis) and in hypersensitivity to linagliptin or metformin hydrochloride.",linagliptin + metformin hydrochloride,acute or chronic metabolic acidosis
contradicted disease,diseases,0.41482058,"allergic to any ingredient in the vaccine. suffering from acute diseases, severe chronic diseases, acute exacerbation of chronic diseases and fever. pregnant women. immune deficiency, immune dysfunction or receiving immunosuppressive therapy. suffering from encephalopathy, uncontrolled epilepsy and other progressive neurological diseases.",measles and rubella,"immune deficiency, immune dysfunction or receiving immunosuppressive therapy"
contradicted disease,immune,0.8136541,"allergic to any ingredient in the vaccine. suffering from acute diseases, severe chronic diseases, acute exacerbation of chronic diseases and fever. pregnant women. immune deficiency, immune dysfunction or receiving immunosuppressive therapy. suffering from encephalopathy, uncontrolled epilepsy and other progressive neurological diseases.",measles and rubella,"immune deficiency, immune dysfunction or receiving immunosuppressive therapy"
contradicted disease,epilepsy,0.6732654,"allergic to any ingredient in the vaccine. suffering from acute diseases, severe chronic diseases, acute exacerbation of chronic diseases and fever. pregnant women. immune deficiency, immune dysfunction or receiving immunosuppressive therapy. suffering from encephalopathy, uncontrolled epilepsy and other progressive neurological diseases.",measles and rubella,"immune deficiency, immune dysfunction or receiving immunosuppressive therapy"
contradicted drug,maprotili,0.98903686,maprotiline hydrochloride tab lets are contraindicated in patients hypersensitive to maprotiline and in patients with known or suspected seizure disorders. it should not be given concomitantly with monoamine oxidase (mao) inhibitors. a minimum of 14 days should be allowed to elapse after discontinuation of mao inhibitors before treatment with maprotiline is initiated. effects should be monitored with gradual increase in dosage until optimum response is achieved. the drug is not recommended for use during the acute phase of myocardial infarction.,maprotiline hydrochloride,known or suspected seizure disorders
contradicted drug,hydrochloride tab lets,0.8832121,maprotiline hydrochloride tab lets are contraindicated in patients hypersensitive to maprotiline and in patients with known or suspected seizure disorders. it should not be given concomitantly with monoamine oxidase (mao) inhibitors. a minimum of 14 days should be allowed to elapse after discontinuation of mao inhibitors before treatment with maprotiline is initiated. effects should be monitored with gradual increase in dosage until optimum response is achieved. the drug is not recommended for use during the acute phase of myocardial infarction.,maprotiline hydrochloride,known or suspected seizure disorders
contradicted drug,maprotili,0.961456,maprotiline hydrochloride tab lets are contraindicated in patients hypersensitive to maprotiline and in patients with known or suspected seizure disorders. it should not be given concomitantly with monoamine oxidase (mao) inhibitors. a minimum of 14 days should be allowed to elapse after discontinuation of mao inhibitors before treatment with maprotiline is initiated. effects should be monitored with gradual increase in dosage until optimum response is achieved. the drug is not recommended for use during the acute phase of myocardial infarction.,maprotiline hydrochloride,known or suspected seizure disorders
contradicted drug,maprotili,0.9780977,maprotiline hydrochloride tab lets are contraindicated in patients hypersensitive to maprotiline and in patients with known or suspected seizure disorders. it should not be given concomitantly with monoamine oxidase (mao) inhibitors. a minimum of 14 days should be allowed to elapse after discontinuation of mao inhibitors before treatment with maprotiline is initiated. effects should be monitored with gradual increase in dosage until optimum response is achieved. the drug is not recommended for use during the acute phase of myocardial infarction.,maprotiline hydrochloride,known or suspected seizure disorders
contradicted drug,mannitol,0.99934405,"mannitol intravenous infusion is contraindicated in patients with pulmonary edema or congestive heart failure. it is also contraindicated during inadequate urine flow, dehydration or acidosis, intracranial bleeding and in patients with renal failure unless a test dose has produced a diuretic response.",mannitol,"inadequate urine flow, dehydration or acidosis"
contradicted disease,renal failure,0.999625,"mannitol intravenous infusion is contraindicated in patients with pulmonary edema or congestive heart failure. it is also contraindicated during inadequate urine flow, dehydration or acidosis, intracranial bleeding and in patients with renal failure unless a test dose has produced a diuretic response.",mannitol,"inadequate urine flow, dehydration or acidosis"
contradicted disease,heart block,0.77532446,it is contraindicated in patients with heart block or myocardial damage.,magnesium sulfate heptahydrate,heart block or myocardial damage
contradicted drug,magnesium sulfate,0.9979148,"magnesium sulfate contra-indicated in the case of defect of the heart's electrical message pathways resulting in decreased function of the heart (heart block), severe damage to the muscular wall of the heart (myocardium) and significantly decreased kidney function.",magnesium sulfate,defect of the heart's electrical message pathways
contradicted drug,magnesium hydroxide,0.9990196,magnesium hydroxide should not be administered where use of laxative is contraindicated. long term treatment of magnesium hydroxide is contraindicated in patients with renal failure.,magnesium hydroxide,patients with renal failure
contradicted drug,magnesium hydroxide,0.99886876,magnesium hydroxide should not be administered where use of laxative is contraindicated. long term treatment of magnesium hydroxide is contraindicated in patients with renal failure.,magnesium hydroxide,patients with renal failure
contradicted drug,magaldrate,0.9985804,magaldrate is contraindicated in patients with known hypersensitivity to magnesium and aluminium. it is also contraindicated in patients with impaired renal functions.,magaldrate + simethicone,patients with known hypersensitivity to magnesium and aluminium
contradicted drug,magaldrate,0.9985792,magaldrate is contraindicated in patients with known hypersensitivity to magnesium and aluminium. it is also contraindicated in patients with impaired renal function,magaldrate,patients with known hypersensitivity to magnesium and aluminium
contradicted disease,inflammatory,0.6520663,"intestinal perforation or obstruction due to structural or functional disorder of the gut wall, ileus, severe inflammatory conditions of the intestinal tract, such ascrohn's disease and ulcerative colitis and toxic megacolon. hypersensitivity to the active substances.",macrogol [polypropylene glycol] + electrolytes,hypersensitivity to the active substances
contradicted disease,ulcerative colitis,0.99125063,"intestinal perforation or obstruction due to structural or functional disorder of the gut wall, ileus, severe inflammatory conditions of the intestinal tract, such ascrohn's disease and ulcerative colitis and toxic megacolon. hypersensitivity to the active substances.",macrogol [polypropylene glycol] + electrolytes,hypersensitivity to the active substances
contradicted patient history,pregnancy,0.90376824,"pregnancy or suspected pregnancy. severe liver disease such as cholestatic jaundice or hepatitis (or a history of severe liver disease if the results of liver function tests have failed to return to normal), hepatic cell tumours,rotor syndrome and dubin-johnson syndrome. undiagnosed vaginal bleeding. conditions of rare occurrence known to be affected by sex steroids, or a history of these conditions (the condition may have occurred first or worsened during pregnancy or use of sex steroids); i.e. herpes gestationis, jaundice of pregnancy otosclerosis, severe pruritus or porphyria.",lynestrenol,conditions of rare occurrence known to be affected by sex steroids
contradicted disease,liver disease,0.9680922,"pregnancy or suspected pregnancy. severe liver disease such as cholestatic jaundice or hepatitis (or a history of severe liver disease if the results of liver function tests have failed to return to normal), hepatic cell tumours,rotor syndrome and dubin-johnson syndrome. undiagnosed vaginal bleeding. conditions of rare occurrence known to be affected by sex steroids, or a history of these conditions (the condition may have occurred first or worsened during pregnancy or use of sex steroids); i.e. herpes gestationis, jaundice of pregnancy otosclerosis, severe pruritus or porphyria.",lynestrenol,conditions of rare occurrence known to be affected by sex steroids
contradicted disease,hepatitis,0.99821484,"pregnancy or suspected pregnancy. severe liver disease such as cholestatic jaundice or hepatitis (or a history of severe liver disease if the results of liver function tests have failed to return to normal), hepatic cell tumours,rotor syndrome and dubin-johnson syndrome. undiagnosed vaginal bleeding. conditions of rare occurrence known to be affected by sex steroids, or a history of these conditions (the condition may have occurred first or worsened during pregnancy or use of sex steroids); i.e. herpes gestationis, jaundice of pregnancy otosclerosis, severe pruritus or porphyria.",lynestrenol,conditions of rare occurrence known to be affected by sex steroids
contradicted disease,liver disease,0.9599074,"pregnancy or suspected pregnancy. severe liver disease such as cholestatic jaundice or hepatitis (or a history of severe liver disease if the results of liver function tests have failed to return to normal), hepatic cell tumours,rotor syndrome and dubin-johnson syndrome. undiagnosed vaginal bleeding. conditions of rare occurrence known to be affected by sex steroids, or a history of these conditions (the condition may have occurred first or worsened during pregnancy or use of sex steroids); i.e. herpes gestationis, jaundice of pregnancy otosclerosis, severe pruritus or porphyria.",lynestrenol,conditions of rare occurrence known to be affected by sex steroids
contradicted disease,rotor,0.9607137,"pregnancy or suspected pregnancy. severe liver disease such as cholestatic jaundice or hepatitis (or a history of severe liver disease if the results of liver function tests have failed to return to normal), hepatic cell tumours,rotor syndrome and dubin-johnson syndrome. undiagnosed vaginal bleeding. conditions of rare occurrence known to be affected by sex steroids, or a history of these conditions (the condition may have occurred first or worsened during pregnancy or use of sex steroids); i.e. herpes gestationis, jaundice of pregnancy otosclerosis, severe pruritus or porphyria.",lynestrenol,conditions of rare occurrence known to be affected by sex steroids
contradicted patient history,johnson,0.6892852,"pregnancy or suspected pregnancy. severe liver disease such as cholestatic jaundice or hepatitis (or a history of severe liver disease if the results of liver function tests have failed to return to normal), hepatic cell tumours,rotor syndrome and dubin-johnson syndrome. undiagnosed vaginal bleeding. conditions of rare occurrence known to be affected by sex steroids, or a history of these conditions (the condition may have occurred first or worsened during pregnancy or use of sex steroids); i.e. herpes gestationis, jaundice of pregnancy otosclerosis, severe pruritus or porphyria.",lynestrenol,conditions of rare occurrence known to be affected by sex steroids
contradicted patient history,herpes,0.71589607,"pregnancy or suspected pregnancy. severe liver disease such as cholestatic jaundice or hepatitis (or a history of severe liver disease if the results of liver function tests have failed to return to normal), hepatic cell tumours,rotor syndrome and dubin-johnson syndrome. undiagnosed vaginal bleeding. conditions of rare occurrence known to be affected by sex steroids, or a history of these conditions (the condition may have occurred first or worsened during pregnancy or use of sex steroids); i.e. herpes gestationis, jaundice of pregnancy otosclerosis, severe pruritus or porphyria.",lynestrenol,conditions of rare occurrence known to be affected by sex steroids
contradicted drug,methoxuflurane,0.9423148,hypersensitivity to lymecycline or other tetracyclines. overt renal insufficiency. pregnancy and lactation. concomitant use with methoxuflurane or oral retinoids.,lymecycline,methoxuflurane or oral retinoids
contradicted drug,cyp3a4 inhibitors,0.9993444,"hypersensitivity. concurrent administration of strong cyp3a4 inhibitors (eg, ketoconazole). concurrent administration of strong cyp3a4 inducers (eg, rifampin). dementia-related psychosis.",lurasidone hydrochloride,dementia-related psychosis
contradicted drug,cyp3a4 inducers,0.94920444,"hypersensitivity. concurrent administration of strong cyp3a4 inhibitors (eg, ketoconazole). concurrent administration of strong cyp3a4 inducers (eg, rifampin). dementia-related psychosis.",lurasidone hydrochloride,dementia-related psychosis
contradicted drug,lubiprostone,0.9972917,lubiprostone is contraindicated in patients with known or suspected mechanical gastrointestinal obstruction.,lubiprostone,known or suspected mechanical gastrointestinal obstruction
contradicted drug,menaquinone - 7,0.99163914,contraindicated in patients with known hypersensitivity to menaquinone-7. use of menaquinone-7 is contraindicated with warfarin.,menaquinone-7,patients with known hypersensitivity to menaquinone-7
contradicted drug,menaquinone - 7,0.9058469,contraindicated in patients with known hypersensitivity to menaquinone-7. use of menaquinone-7 is contraindicated with warfarin.,menaquinone-7,patients with known hypersensitivity to menaquinone-7
contradicted drug,memantine hydrochloride,0.9887621,memantine hydrochloride is contraindicated in patients with known hypersensitivity to memantine hydrochloride or to any excipients used in the formulation.,memantine hydrochloride,hypersensitivity
contradicted drug,memantine hydrochloride,0.98566663,memantine hydrochloride is contraindicated in patients with known hypersensitivity to memantine hydrochloride or to any excipients used in the formulation.,memantine hydrochloride,hypersensitivity
contradicted drug,donepezil hydrochlorides,0.9364441,"memantine and donepezil hydrochlorides extended-release capsules are contraindicated in patients with known hypersensitivity to memantine hydrochloride, donepezil hydrochloride, piperidine derivatives, or to any excipients used in the formulation.",memantine + donepezil,patients with known hypersensitivity
contradicted drug,done,0.9986339,"memantine and donepezil hydrochlorides extended-release capsules are contraindicated in patients with known hypersensitivity to memantine hydrochloride, donepezil hydrochloride, piperidine derivatives, or to any excipients used in the formulation.",memantine + donepezil,patients with known hypersensitivity
contradicted drug,piper,0.90587187,"memantine and donepezil hydrochlorides extended-release capsules are contraindicated in patients with known hypersensitivity to memantine hydrochloride, donepezil hydrochloride, piperidine derivatives, or to any excipients used in the formulation.",memantine + donepezil,patients with known hypersensitivity
contradicted drug,meloxicam,0.972096,"meloxicam is contraindicated to patients hypersensitive to this drug. meloxicam should not be given to patients who have developed signs of asthma, nasal polyps, angioneurotic oedema or urticaria following the administration of aspirin or nsaids. meloxicam is contraindicated to patients with active peptic ulcer during the last six months or a history of recurrent peptic ulcer disease, severe hepatic failure, non-dialysed severe renal failure, gastrointestinal bleeding, cerebrovascular bleeding or other bleeding disorders.",meloxicam,patients with active peptic ulcer during the last six months
