generic_name,cases,head,singular_case,main_generic_name
sulfasalazine,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis,sulfasalazine
sulfasalazine,psoriatic arthritis,arthritis,psoriatic arthritis,sulfasalazine
sulfasalazine,rheumatoid arthritis,arthritis,rheumatoid arthritis,sulfasalazine
sulfasalazine,ulcerative colitis,ulcer,ulcerative colitis,sulfasalazine
sulfinpyrazone,gouty arthritis,arthritis,gouty arthritis,sulfinpyrazone
sulindac,ankylosing spondylitis,arthritis,ankylosing spondylitis,sulindac
sulindac,"gout, acute",arthritis,"gout, acute",sulindac
sulindac,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis,sulindac
sulindac,osteoarthritis,arthritis,osteoarthritis,sulindac
sulindac,pain,pain,pain,sulindac
sulindac,rheumatoid arthritis,arthritis,rheumatoid arthritis,sulindac
sumatriptan,cluster headaches,headache,cluster headaches,sumatriptan
sumatriptan,cyclic vomiting syndrome,cyclic vomiting syndrome,cyclic vomiting syndrome,sumatriptan
sumatriptan,migraine,migraine,migraine,sumatriptan
sumatriptan,new daily persistent headache,headache,new daily persistent headache,sumatriptan
sunitinib,renal cell carcinoma,kidney disease,renal cell carcinoma,sunitinib
suvorexant,insomnia,anxiety,insomnia,suvorexant
tadalafil,benign prostatic hyperplasia,lymphoma,benign prostatic hyperplasia,tadalafil
tadalafil,erectile dysfunction,erectile dysfunction,erectile dysfunction,tadalafil
tadalafil,pulmonary hypertension,lung,pulmonary hypertension,tadalafil
tafluprost,"glaucoma, open angle",glaucoma,"glaucoma, open angle",tafluprost
tafluprost,glaucoma/intraocular hypertension,glaucoma,glaucoma/intraocular hypertension,tafluprost
tafluprost,intraocular hypertension,hypertension,intraocular hypertension,tafluprost
tazarotene,acial wrinkles,acial wrinkles,acial wrinkles,tazarotene
tazarotene,acne,acne,acne,tazarotene
tazarotene,psoriasis,skin,psoriasis,tazarotene
tegaserod,"constipation, chronic",constipation,"constipation, chronic",tegaserod
tegaserod,irritable bowel syndrome,bowel function,irritable bowel syndrome,tegaserod
telmisartan,hypertension,hypertension,hypertension,telmisartan
telmisartan,hypertension,hypertension,hypertension,telmisartan
telmisartan,prevention of cardiovascular disease,prevention of cardiovascular disease,prevention of cardiovascular disease,telmisartan
telmisartan,prevention of cerebrovascular accident,nervous system,prevention of cerebrovascular accident,telmisartan
temazepam,insomnia,anxiety,insomnia,temazepam
temozolomide,anaplastic astrocytoma,anaplastic astrocytoma,anaplastic astrocytoma,temozolomide
temozolomide,anaplastic oligodendroglioma,anaplastic oligodendroglioma,anaplastic oligodendroglioma,temozolomide
temozolomide,glioblastoma multi,glioblastoma multi,glioblastoma multi,temozolomide
temozolomide,me,me,me,temozolomide
temozolomide,"melanoma, metastatic","melanoma, metastatic","melanoma, metastatic",temozolomide
terconazole,vaginal yeast infection,infection,vaginal yeast infection,terconazole
terconazole,vulvovaginal candidiasis,candidiasis,vulvovaginal candidiasis,terconazole
teriparatide,hypoparathyroidism,thyroidism,hypoparathyroidism,teriparatide
teriparatide,osteoporosis,arthritis,osteoporosis,teriparatide
theophylline,"asthma, acute",asthma,"asthma, acute",theophylline
theophylline,"asthma, maintenance",asthma,"asthma, maintenance",theophylline
thioridazine,schizophrenia,schizophrenia,schizophrenia,thioridazine
ticagrelor,acute coronary syndrome,acute coronary syndrome,acute coronary syndrome,ticagrelor
ticagrelor,prevention of atherothrombotic events,thrombosis,prevention of atherothrombotic events,ticagrelor
tigecycline,diverticulitis of gastrointestinal tract,gastroenteritis,diverticulitis of gastrointestinal tract,tigecycline
timolol maleate,hypertension,hypertension,hypertension,timolol maleate
tinidazole,bacterial vaginitis,bacterial,bacterial vaginitis,tinidazole
tinidazole,giardiasis,giardiasis,giardiasis,tinidazole
tinidazole,trichomoniasis,trichomoniasis,trichomoniasis,tinidazole
tioconazole,vaginal yeast infection,infection,vaginal yeast infection,tioconazole
tioconazole,vulvovaginal candidiasis,candidiasis,vulvovaginal candidiasis,tioconazole
tocilizumab,juvenile idiopathic arthritis,arthritis,juvenile idiopathic arthritis,tocilizumab
tocilizumab,rheumatoid arthritis,arthritis,rheumatoid arthritis,tocilizumab
tofacitinib,rheumatoid arthritis,arthritis,rheumatoid arthritis,tofacitinib
tolnaftate,tinea cruris,tinea cruris,tinea cruris,tolnaftate
tolnaftate,tinea versicol,tinea versicol,tinea versicol,tolnaftate
topiramate,bipolar disorder,bipolar disorder,bipolar disorder,topiramate
topiramate,borderline personality disorder,mental,borderline personality disorder,topiramate
topiramate,bulimia,bulimia,bulimia,topiramate
topiramate,diabetic peripheral neuropathy,neurosis,diabetic peripheral neuropathy,topiramate
topiramate,fibromyalgia,muscular,fibromyalgia,topiramate
topiramate,migraine prevention,migraine,migraine prevention,topiramate
topiramate,obesity,obesity,obesity,topiramate
topiramate,seizure prevention,seizure,seizure prevention,topiramate
topiramate,seizure,seizure,seizure,topiramate
topiramate,smoking cessation,smoking cessation,smoking cessation,topiramate
topiramate,tourette's syndrome,nervous system,tourette's syndrome,topiramate
topiramate,trigeminal neuralgia,nervous system,trigeminal neuralgia,topiramate
topiramate,vulvodynia,vulvodynia,vulvodynia,topiramate
torsemide,edema,edema,edema,torsemide
torsemide,hypertension,hypertension,hypertension,torsemide
torsemide,hypertension,hypertension,hypertension,torsemide
tranexamic acid,actor ix deficiency,actor ix deficiency,actor ix deficiency,tranexamic acid
tranexamic acid,bleeding disorder,bleeding disorder,bleeding disorder,tranexamic acid
tranexamic acid,melasma,melasma,melasma,tranexamic acid
tranexamic acid,menorrhagia,menorrhagia,menorrhagia,tranexamic acid
tranexamic acid,menstrual disorders,menstrual disorders,menstrual disorders,tranexamic acid
trastuzumab,breast cancer,lymphoma,breast cancer,trastuzumab
trastuzumab,"breast cancer, adjuvant",lymphoma,"breast cancer, adjuvant",trastuzumab
trastuzumab,"breast cancer, metastatic",lymphoma,"breast cancer, metastatic",trastuzumab
trastuzumab,salivary gland cancer,lymphoma,salivary gland cancer,trastuzumab
travoprost,"glaucoma, open angle",glaucoma,"glaucoma, open angle",travoprost
trifluoperazine,anxiety,anxiety,anxiety,trifluoperazine
trifluoperazine,schizophrenia,schizophrenia,schizophrenia,trifluoperazine
tropicamide,pupillary dilation,pupillary dilation,pupillary dilation,tropicamide
valacyclovir,chickenpox,chickenpox,chickenpox,valacyclovir
valacyclovir,cmv prophylaxis,cmv prophylaxis,cmv prophylaxis,valacyclovir
valacyclovir,cold sores,cold-cough-fever,cold sores,valacyclovir
valacyclovir,genital herpes simplex,infectious,genital herpes simplex,valacyclovir
valacyclovir,"herpes simplex, mucocutaneous/immunocompetent host",infectious,"herpes simplex, mucocutaneous/immunocompetent host",valacyclovir
valacyclovir,"herpes simplex, mucocutaneous/immunocompromised host",infectious,"herpes simplex, mucocutaneous/immunocompromised host",valacyclovir
valacyclovir,"herpes simplex, suppression",infectious,"herpes simplex, suppression",valacyclovir
valacyclovir,herpes zoste,herpes zoste,herpes zoste,valacyclovir
valacyclovir,herpes zoster,herpes zoster,herpes zoster,valacyclovir
valacyclovir,multiple sclerosis,sclerosis,multiple sclerosis,valacyclovir
valacyclovir,ramsay hunt syndrome,ramsay hunt syndrome,ramsay hunt syndrome,valacyclovir
valacyclovir,varicella-zoste,varicella-zoste,varicella-zoste,valacyclovir
valganciclovir,cmv prophylaxis,cmv prophylaxis,cmv prophylaxis,valganciclovir
valsartan,hypertension,hypertension,hypertension,valsartan
valsartan,hypertension,hypertension,hypertension,valsartan
valsartan,left ventricular dysfunction,heart diseases,left ventricular dysfunction,valsartan
vardenafil,erectile dysfunction,erectile dysfunction,erectile dysfunction,vardenafil
zafirlukast,"asthma, maintenance",asthma,"asthma, maintenance",zafirlukast
zaleplon,insomnia,anxiety,insomnia,zaleplon
zinc oxide,dermatologic lesion,dermatologic lesion,dermatologic lesion,zinc oxide
zinc oxide,diaper rash,rash,diaper rash,zinc oxide
zinc oxide,hemorrhoids,hemorrhoids,hemorrhoids,zinc oxide
ziprasidone,autism,autism,autism,ziprasidone
ziprasidone,bipolar disorder,bipolar disorder,bipolar disorder,ziprasidone
ziprasidone,body dysmorphic disorder,body dysmorphic disorder,body dysmorphic disorder,ziprasidone
ziprasidone,obsessive compulsive disorder,mental,obsessive compulsive disorder,ziprasidone
ziprasidone,paranoid disorder,paranoid disorder,paranoid disorder,ziprasidone
ziprasidone,schizoaffective disorder,schizoaffective disorder,schizoaffective disorder,ziprasidone
ziprasidone,schizophrenia,schizophrenia,schizophrenia,ziprasidone
ziprasidone,tourette's syndrome,nervous system,tourette's syndrome,ziprasidone
zolmitriptan,cluster headaches,headache,cluster headaches,zolmitriptan
zolmitriptan,migraine,migraine,migraine,zolmitriptan
zonisamide,benign essential trem,benign essential trem,benign essential trem,zonisamide
zonisamide,migraine prevention,migraine,migraine prevention,zonisamide
zonisamide,seizure,seizure,seizure,zonisamide
aceclofenac,"osteoarthritis, rheumatoid arthritis",arthritis,"osteoarthritis, rheumatoid arthritis",aceclofenac
curcuminoids [curcuma longa],rheumatoid arthritis,arthritis,rheumatoid arthritis,curcuminoids [curcuma longa]
"fishar [snake root, potassium, magnesium]",hypertension,hypertension,hypertension,"fishar [snake root, potassium, magnesium]"
amlodipine besilate,essential hypertension,hypertension,essential hypertension,amlodipine besilate
jogaraj guggulu,rheumatoid arthritis,arthritis,rheumatoid arthritis,jogaraj guggulu
artemether,malaria,malaria,malaria,artemether
atenolol + chlorthalidone,hypertension,hypertension,hypertension,atenolol + chlorthalidone
prasarani sandhan,rheumatoid arthritis,arthritis,rheumatoid arthritis,prasarani sandhan
beclometasone dipropionate + formoterol fumarate,asthma,asthma,asthma,beclometasone dipropionate + formoterol fumarate
azithromycin dihydrate (ophthalmic),bacterial conjunctivitis,conjunctivitis,bacterial conjunctivitis,azithromycin dihydrate (ophthalmic)
yohimbine hydrochloride,erectile dysfunction,erectile dysfunction,erectile dysfunction,yohimbine hydrochloride
valerian root,insomnia,anxiety,insomnia,valerian root
betamethasone + clotrimazole + gentamicin,corticosteroid,corticosteroid,corticosteroid,betamethasone + clotrimazole + gentamicin
brinzolamide + timolol,monotherapy,monotherapy,monotherapy,brinzolamide + timolol
bisoprolol fumarate + hydrochlorothiazide,hypertension,hypertension,hypertension,bisoprolol fumarate + hydrochlorothiazide
nux-vomica + black pepper + long pepper,rheumatoid arthritis,arthritis,rheumatoid arthritis,nux-vomica + black pepper + long pepper
habb-e-nishat,erectile dysfunction,erectile dysfunction,erectile dysfunction,habb-e-nishat
candesartan cilexetil + hydrochlorothiazide,hypertension,hypertension,hypertension,candesartan cilexetil + hydrochlorothiazide
canagliflozin hemihydrate,diabetes mellitus,diabetes,diabetes mellitus,canagliflozin hemihydrate
cefpodoxime proxetil + clavulanic acid,infections,infection,infections,cefpodoxime proxetil + clavulanic acid
cefotaxime,infections,infection,infections,cefotaxime
cefazolin sodium,infections,infection,infections,cefazolin sodium
carboxymethylcellulose sodium + glycerin,eye,eye,eye,carboxymethylcellulose sodium + glycerin
adapalene,acne vulgaris,acne vulgaris,acne vulgaris,adapalene
cetirizine hydrochloride,asthma,asthma,asthma,cetirizine hydrochloride
ciclesonide (inhalation aerosol),asthma,asthma,asthma,ciclesonide (inhalation aerosol)
chlorhexidine gluconate + isopropyl alcohol,pre-operative surgical hand disinfection,infection,pre-operative surgical hand disinfection,chlorhexidine gluconate + isopropyl alcohol
clobetasone butyrate,eczema and dermatitis,skin,eczema and dermatitis,clobetasone butyrate
clindamycin + tretinoin,acne vulgaris,acne vulgaris,acne vulgaris,clindamycin + tretinoin
dexamethasone + tobramycin,corticosteroid,corticosteroid,corticosteroid,dexamethasone + tobramycin
desoximetasone,corticosteroid,corticosteroid,corticosteroid,desoximetasone
dulaglutide,diabetes mellitus,diabetes,diabetes mellitus,dulaglutide
doxycycline hydrochloride,infections,infection,infections,doxycycline hydrochloride
empagliflozin,diabetes mellitus,diabetes,diabetes mellitus,empagliflozin
ertugliflozin,diabetes mellitus,diabetes,diabetes mellitus,ertugliflozin
ethyl alcohol + hydrogen peroxide + glycerol,pre-operative surgical hand disinfection,infection,pre-operative surgical hand disinfection,ethyl alcohol + hydrogen peroxide + glycerol
fluocinolone acetonide,eczema and dermatitis,skin,eczema and dermatitis,fluocinolone acetonide
fluocinolone acetonide + neomycin sulfate,eczema and dermatitis,skin,eczema and dermatitis,fluocinolone acetonide + neomycin sulfate
formoterol fumarate + glycopyrrolate + budesonide,asthma,asthma,asthma,formoterol fumarate + glycopyrrolate + budesonide
follicle stimulating hormone [urofollitropin],hcg,hcg,hcg,follicle stimulating hormone [urofollitropin]
gatifloxacin + dexamethasone,eye,eye,eye,gatifloxacin + dexamethasone
gatifloxacin (oral),infections,infection,infections,gatifloxacin (oral)
gatifloxacin (ophthalmic),bacterial conjunctivitis,conjunctivitis,bacterial conjunctivitis,gatifloxacin (ophthalmic)
glucose 19% + vamin 18 novum + intralipid 20%,parenteral nutrition,parenteral nutrition,parenteral nutrition,glucose 19% + vamin 18 novum + intralipid 20%
glucose 11% + vamin 18 novum + intralipid 20%,parenteral nutrition,parenteral nutrition,parenteral nutrition,glucose 11% + vamin 18 novum + intralipid 20%
human milk based amino acid,parenteral nutrition,parenteral nutrition,parenteral nutrition,human milk based amino acid
human menopausal gonadotrophin,hcg,hcg,hcg,human menopausal gonadotrophin
homatropine hydrobromide,eye,eye,eye,homatropine hydrobromide
indomethacin (oral),rheumatoid arthritis,arthritis,rheumatoid arthritis,indomethacin (oral)
indapamide + perindopril arginine,essential hypertension,hypertension,essential hypertension,indapamide + perindopril arginine
ipratropium bromide (inhaler),asthma,asthma,asthma,ipratropium bromide (inhaler)
insulin human [rdna] + isophane insulin human,diabetes insipidus,diabetes,diabetes insipidus,insulin human [rdna] + isophane insulin human
insulin human [long-acting],diabetes insipidus,diabetes,diabetes insipidus,insulin human [long-acting]
insulin human [fast-acting],diabetes insipidus,diabetes,diabetes insipidus,insulin human [fast-acting]
isopropyl alcohol,pre-operative surgical hand disinfection,infection,pre-operative surgical hand disinfection,isopropyl alcohol
ketotifen fumarate (ophthalmic),allergic conjunctivitis,conjunctivitis,allergic conjunctivitis,ketotifen fumarate (ophthalmic)
ketoconazole (shampoo),infections,infection,infections,ketoconazole (shampoo)
ispaghula husk + ispaghula seed + tinnevelly senna pods,constipation,constipation,constipation,ispaghula husk + ispaghula seed + tinnevelly senna pods
labetalol hydrochloride (injection),hypertension,hypertension,hypertension,labetalol hydrochloride (injection)
levofloxacin (ophthalmic),bacterial conjunctivitis,conjunctivitis,bacterial conjunctivitis,levofloxacin (ophthalmic)
losartan potassium + hydrochlorothiazide,hypertension,hypertension,hypertension,losartan potassium + hydrochlorothiazide
lornoxicam,rheumatoid arthritis,arthritis,rheumatoid arthritis,lornoxicam
lorlatinib,monotherapy,monotherapy,monotherapy,lorlatinib
menaquinone-7,rheumatoid arthritis,arthritis,rheumatoid arthritis,menaquinone-7
meloxicam,"osteoarthritis, rheumatoid arthritis",arthritis,"osteoarthritis, rheumatoid arthritis",meloxicam
moxifloxacin hydrochloride + xanthan gum,bacterial conjunctivitis,conjunctivitis,bacterial conjunctivitis,moxifloxacin hydrochloride + xanthan gum
moxifloxacin hydrochloride (ophthalmic),bacterial conjunctivitis,conjunctivitis,bacterial conjunctivitis,moxifloxacin hydrochloride (ophthalmic)
nebivolol + hydrochlorothiazide,essential hypertension,hypertension,essential hypertension,nebivolol + hydrochlorothiazide
naphazoline + pheniramine,allergic conjunctivitis,conjunctivitis,allergic conjunctivitis,naphazoline + pheniramine
pemirolast potassium,allergic conjunctivitis,conjunctivitis,allergic conjunctivitis,pemirolast potassium
pioglitazone,monotherapy,monotherapy,monotherapy,pioglitazone
polyethylene glycol + propylene glycol,eye,eye,eye,polyethylene glycol + propylene glycol
primaquine phosphate,malaria,malaria,malaria,primaquine phosphate
recombinant follicle stimulating hormone (rfsh),hcg,hcg,hcg,recombinant follicle stimulating hormone (rfsh)
racepinephrine,asthma,asthma,asthma,racepinephrine
salbutamol,asthma,asthma,asthma,salbutamol
sildenafil citrate,erectile dysfunction,erectile dysfunction,erectile dysfunction,sildenafil citrate
semaglutide (tablet),diabetes mellitus,diabetes,diabetes mellitus,semaglutide (tablet)
sodium picosulfate,constipation,constipation,constipation,sodium picosulfate
sulphadoxine + pyrimethamine,malaria,malaria,malaria,sulphadoxine + pyrimethamine
theophylline,asthma,asthma,asthma,theophylline
tetracycline hydrochloride (ophthalmic),bacterial conjunctivitis,conjunctivitis,bacterial conjunctivitis,tetracycline hydrochloride (ophthalmic)
torasemide,hypertension,hypertension,hypertension,torasemide
trifluridine,eye,eye,eye,trifluridine
tretinoin (topical),acne vulgaris,acne vulgaris,acne vulgaris,tretinoin (topical)
valsartan + hydrochlorothiazide,hypertension,hypertension,hypertension,valsartan + hydrochlorothiazide
undenatured type ii collagen + glucosamine sulfate + chondroitin sulfate,"osteoarthritis, rheumatoid arthritis",arthritis,"osteoarthritis, rheumatoid arthritis",undenatured type ii collagen + glucosamine sulfate + chondroitin sulfate
vildagliptin,monotherapy,monotherapy,monotherapy,vildagliptin
vilanterol trifenatate + fluticasone furoate,asthma,asthma,asthma,vilanterol trifenatate + fluticasone furoate
vilanterol + umeclidinium + fluticasone furoate,asthma,asthma,asthma,vilanterol + umeclidinium + fluticasone furoate
acyclovir (ophthalmic),simplex keratitis,simplex keratitis,simplex keratitis,acyclovir (ophthalmic)
activated charcoal,activated charcoal poisoning,activated charcoal poisoning,activated charcoal poisoning,activated charcoal
aclidinium bromide + formoterol fumarate,chronic obstructive pulmonary disease,lung,chronic obstructive pulmonary disease,aclidinium bromide + formoterol fumarate
acetylcysteine,clinical,clinical,clinical,acetylcysteine
acemetacin,joint disorders,joint disorders,joint disorders,acemetacin
aceclofenac,rheumatoid arthritis,arthritis,rheumatoid arthritis,aceclofenac
"bandish [oak galls, tannic acid]",dysentery,dysentery,dysentery,"bandish [oak galls, tannic acid]"
aushokarist [saraca indica],bleeding,bleeding,bleeding,aushokarist [saraca indica]
aswagandharista,nervous debility,anxiety,nervous debility,aswagandharista
ashokarista,ashok,ashok,ashok,ashokarista
aravindasav,malnutrition,malnutrition,malnutrition,aravindasav
aravindasav,immune deficiency,immune deficiency,immune deficiency,aravindasav
antacid [unani],ulcer,ulcer,ulcer,antacid [unani]
aniseed + indian dill + black cardamom + peppermint,digestive disorders,digestive disorders,digestive disorders,aniseed + indian dill + black cardamom + peppermint
andrographis paniculata,andrographis paniculata,andrographis paniculata,andrographis paniculata,andrographis paniculata
andrographis paniculata,viral fever,cold-cough-fever,viral fever,andrographis paniculata
andrographis paniculata,cold,cold-cough-fever,cold,andrographis paniculata
andrographis paniculata,sinusitis,sinusitis,sinusitis,andrographis paniculata
andrographis paniculata,infection,infection,infection,andrographis paniculata
andrographis paniculata,viral hepatitis,hepatitis,viral hepatitis,andrographis paniculata
alfuzosin hydrochloride,hyperplasia,lymphoma,hyperplasia,alfuzosin hydrochloride
agomelatine,major depressive disorder,major depressive disorder,major depressive disorder,agomelatine
aflibercept,colorectal cancer,lymphoma,colorectal cancer,aflibercept
adsorbed tetanus vaccine,tetanus infection,infection,tetanus infection,adsorbed tetanus vaccine
adrenaline,allergic,allergic,allergic,adrenaline
dasamularista,spermatorrhoe,spermatorrhoe,spermatorrhoe,dasamularista
curcuminoids [curcuma longa],arthritis,arthritis,arthritis,curcuminoids [curcuma longa]
cranberry [vaccinium macrocarpon],infection,infection,infection,cranberry [vaccinium macrocarpon]
coenzyme q10 [ubidecarenone],mitochondrial disorders,mitochondrial disorders,mitochondrial disorders,coenzyme q10 [ubidecarenone]
chirata [swertia chirata],worms,worms,worms,chirata [swertia chirata]
chebulic myrobalan + barberry,flatulence,flatulence,flatulence,chebulic myrobalan + barberry
carica papaya leaf extract,papaya,papaya,papaya,carica papaya leaf extract
camphor + thymol + menthol + eucalyptus oil,tooth,tooth,tooth,camphor + thymol + menthol + eucalyptus oil
camphor + thymol + menthol + eucalyptus oil,burns,burns,burns,camphor + thymol + menthol + eucalyptus oil
buzuri,hepatitis,hepatitis,hepatitis,buzuri
brahmi rasayan,rasayan memory deficiency,rasayan memory deficiency,rasayan memory deficiency,brahmi rasayan
brahmi rasayan,impaired,impaired,impaired,brahmi rasayan
amikacin,septicemia,septicemia,septicemia,amikacin
ambroxol hydrochloride,cough,cold-cough-fever,cough,ambroxol hydrochloride
ambrisentan,pulmonary arterial hypertension,lung,pulmonary arterial hypertension,ambrisentan
amantadine hydrochloride,parkinsonism,parkinsonism,parkinsonism,amantadine hydrochloride
alverine citrate,citrate irritable bowel syndrome,bowel function,citrate irritable bowel syndrome,alverine citrate
aluminium chloride + melaleuca alternifolia oil + geothermal water,alter,alter,alter,aluminium chloride + melaleuca alternifolia oil + geothermal water
alteplase,embolism,embolism,embolism,alteplase
ginkgo biloba,ginkgo biloba,ginkgo biloba,ginkgo biloba,ginkgo biloba
ginkgo biloba,sexual dysfunction,sexual dysfunction,sexual dysfunction,ginkgo biloba
garlitab,diabetes,diabetes,diabetes,garlitab
garlitab,rheumatoid arthritis,arthritis,rheumatoid arthritis,garlitab
garlitab,infection,infection,infection,garlitab
garlic oil,hypertension,hypertension,hypertension,garlic oil
flaxseed oil [linum usitatissimum],consti,consti,consti,flaxseed oil [linum usitatissimum]
fermented soy [lactobacillus delbrueckii],ulcer,ulcer,ulcer,fermented soy [lactobacillus delbrueckii]
evening primrose oil,premenstrual syndrome,premenstrual syndrome,premenstrual syndrome,evening primrose oil
evening primrose oil,symptoms,symptoms,symptoms,evening primrose oil
espand,sperm,sperm,sperm,espand
emblica officinalis + piper longum,officinalis,officinalis,officinalis,emblica officinalis + piper longum
emblica officinalis + piper longum,tuberculosis,tuberculosis,tuberculosis,emblica officinalis + piper longum
emblica officinalis + piper longum,asthma,asthma,asthma,emblica officinalis + piper longum
emblica officinalis + piper longum,bronchitis,bronchitis,bronchitis,emblica officinalis + piper longum
emblic myrobalan + sesame,dandr,dandr,dandr,emblic myrobalan + sesame
emblic myrobalan + chebulic + belleric,indigestion,gastroenteritis,indigestion,emblic myrobalan + chebulic + belleric
emblic myrobalan + chebulic + belleric,diabetes,diabetes,diabetes,emblic myrobalan + chebulic + belleric
ejaz,cough,cold-cough-fever,cough,ejaz
echinacea,echinacea,echinacea,echinacea,echinacea
echinacea,infections,infection,infections,echinacea
amlodipine besilate + valsartan,hypertension,hypertension,hypertension,amlodipine besilate + valsartan
amlodipine besilate + benazepril hydrochloride,hypertension,hypertension,hypertension,amlodipine besilate + benazepril hydrochloride
amlodipine besilate,hypertension,hypertension,hypertension,amlodipine besilate
amitriptyline hydrochloride + chlordiazepoxide,depression,anxiety,depression,amitriptyline hydrochloride + chlordiazepoxide
amitriptyline hydrochloride + chlordiazepoxide,anxiety,anxiety,anxiety,amitriptyline hydrochloride + chlordiazepoxide
kabid nawshadri,weakness,weakness,weakness,kabid nawshadri
kabid nawshadri,hepatitis,hepatitis,hepatitis,kabid nawshadri
jirakaddarista,digest,digest,digest,jirakaddarista
jinsin,anaemia,anaemia,anaemia,jinsin
jinsin,immunodeficiency,infection,immunodeficiency,jinsin
jeerakaddarishta carminative,reactive arthritis,arthritis,reactive arthritis,jeerakaddarishta carminative
jamani arka,dyspepsia,dyspepsia,dyspepsia,jamani arka
"jadwar [denudatum, saffron, henbane]",cold,cold-cough-fever,cold,"jadwar [denudatum, saffron, henbane]"
"jadwar [denudatum, saffron, henbane]",cough,cold-cough-fever,cough,"jadwar [denudatum, saffron, henbane]"
hingastak churna,peptic,peptic,peptic,hingastak churna
hingastak churna,ulcer,ulcer,ulcer,hingastak churna
herbal multivitamin,anaemia,anaemia,anaemia,herbal multivitamin
herbal gastric preparation,hyperacidity,hyperacidity,hyperacidity,herbal gastric preparation
herbal cough syrup [vasakarista],cough,cold-cough-fever,cough,herbal cough syrup [vasakarista]
herbal cough syrup [vasakarista],smokers,smokers,smokers,herbal cough syrup [vasakarista]
herbal cough syrup [vasakarista],hoarseness,hoarseness,hoarseness,herbal cough syrup [vasakarista]
artemether + lumefantrine,malaria,malaria,malaria,artemether + lumefantrine
artemether + lumefantrine,infections,infection,infections,artemether + lumefantrine
aripiprazole,schizoaffective disorder,schizoaffective disorder,schizoaffective disorder,aripiprazole
aprepitant,nausea,nausea,nausea,aprepitant
aprepitant,vomiting,vomiting,vomiting,aprepitant
apremilast,apremi,apremi,apremi,apremilast
apremilast,plaque,plaque,plaque,apremilast
apixaban,atrial fibrillation,heart diseases,atrial fibrillation,apixaban
antihemophilic factor [factor viii],anti,anti,anti,antihemophilic factor [factor viii]
nabayas louha herbal haematinic,anemia,anemia,anemia,nabayas louha herbal haematinic
monjistha [rubia cordifolia],oligomenorrhea,oligomenorrhea,oligomenorrhea,monjistha [rubia cordifolia]
menthol + camphor + methyl salicylate + oleoresin capsicum,pain,pain,pain,menthol + camphor + methyl salicylate + oleoresin capsicum
menthol + camphor + methyl salicylate + oleoresin capsicum,strains,strains,strains,menthol + camphor + methyl salicylate + oleoresin capsicum
marwareedi,general de,general de,general de,marwareedi
marwareedi,nervous debility,anxiety,nervous debility,marwareedi
marham kharish,in - scabies,in - scabies,in - scabies,marham kharish
marham kharish,pustular piles,pustular piles,pustular piles,marham kharish
malus sylvestris,malus sylvestris,malus sylvestris,malus sylvestris,malus sylvestris
mahadrakkharist [grape extract],pulmonary tuberculosis,lung,pulmonary tuberculosis,mahadrakkharist [grape extract]
lutein + zeaxanthin,cataracts,cataracts,cataracts,lutein + zeaxanthin
lutein + zeaxanthin,retinitis pigmentosa,retinitis pigmentosa,retinitis pigmentosa,lutein + zeaxanthin
liquorice + cascara sagrada + belladona,spermatorrhoea,spermatorrhoea,spermatorrhoea,liquorice + cascara sagrada + belladona
liquorice + cascara sagrada + belladona,micturations,micturations,micturations,liquorice + cascara sagrada + belladona
liquorice + cascara sagrada + belladona,emission,emission,emission,liquorice + cascara sagrada + belladona
liquorice + cascara sagrada + belladona,enuresis,enuresis,enuresis,liquorice + cascara sagrada + belladona
azelaic acid,acne vulgaris,acne vulgaris,acne vulgaris,azelaic acid
atropine sulfate,bowel syndrome,bowel function,bowel syndrome,atropine sulfate
atomoxetine hydrochloride,attention deficit hyperactivity disorder,attention deficit hyperactivity disorder,attention deficit hyperactivity disorder,atomoxetine hydrochloride
atenolol,angina pectoris,heart diseases,angina pectoris,atenolol
pumpkin [cucurbita pepo],hyperplasia,lymphoma,hyperplasia,pumpkin [cucurbita pepo]
psyllium [ispaghula husk] + senna extract,hemorrhoids,hemorrhoids,hemorrhoids,psyllium [ispaghula husk] + senna extract
probiotic combination [4 billion],diarrhoea,diarrhoea,diarrhoea,probiotic combination [4 billion]
probiotic combination [2.3 billion],infection,infection,infection,probiotic combination [2.3 billion]
peppermint oil,irritable,irritable,irritable,peppermint oil
peppermint oil,bowel syndrome,bowel function,bowel syndrome,peppermint oil
penitab,loss,loss,loss,penitab
penitab,memory,memory,memory,penitab
penitab,dementia,dementia,dementia,penitab
pechish,pechish,pechish,pechish,pechish
patrangasav,pain,pain,pain,patrangasav
beclomethasone dipropionate + chloramphenicol + clotrimazole + lidocaine,pain,pain,pain,beclomethasone dipropionate + chloramphenicol + clotrimazole + lidocaine
baloxavir marboxil,influenza,influenza,influenza,baloxavir marboxil
baclofen,spasticity,spasticity,spasticity,baclofen
bacillus clausii spores,diarrhoea,diarrhoea,diarrhoea,bacillus clausii spores
aztreonam,aztreonam,aztreonam,aztreonam,aztreonam
aztreonam,infections,infection,infections,aztreonam
azithromycin dihydrate (ophthalmic),conjunctivitis,conjunctivitis,conjunctivitis,azithromycin dihydrate (ophthalmic)
st. johns wort,depression,anxiety,depression,st. johns wort
st. johns wort,affective disorder,affective disorder,affective disorder,st. johns wort
