name,dosage_form,generic_name,strength,manufacturer,price
alflam,tablet,ibuprofen,400 mg,albion laboratories limited,1.42
alercon ds,ophthalmic solution,olopatadine hydrochloride,0.2%,acme laboratories ltd.,0.0
alerfast,tablet,fexofenadine hydrochloride,120 mg,biopharma laboratories ltd.,7.0
alerest,tablet,chlorpheniramine maleate,4 mg,veritas pharmaceuticals ltd.,0.29
alerfast,oral suspension,fexofenadine hydrochloride,30 mg/5 ml,biopharma laboratories ltd.,0.0
aldonist,tablet,eplerenone,25 mg,unimed unihealth pharmaceuticals ltd.,9.29
aldin ds,chewable tablet,albendazole,400 mg,techno drugs ltd.,4.0
alertadin,tablet,desloratadine,5 mg,beacon pharmaceuticals ltd.,2.51
aldex-ds,chewable tablet,albendazole,400 mg,gaco pharmaceuticals ltd.,4.02
aldes ds,chewable tablet,albendazole,400 mg,desh pharmaceuticals ltd.,4.0
aldaben,oral suspension,albendazole,200 mg/5 ml,ad-din pharmaceuticals ltd.,0.0
aldaben-ds,chewable tablet,albendazole,400 mg,ad-din pharmaceuticals ltd.,4.0
alcot,oral suspension,sulphamethoxazole + trimethoprim,(200 mg+40 mg)/5 ml,pacific pharmaceuticals ltd.,0.0
alcot,tablet,sulphamethoxazole + trimethoprim,800 mg+160 mg,pacific pharmaceuticals ltd.,2.0
aldocort,tablet,fludrocortisone acetate,0.10 mg,incepta pharmaceuticals ltd.,10.0
alda,oral suspension,albendazole,200 mg/5 ml,supreme pharmaceutical ltd.,0.0
alcot,tablet,sulphamethoxazole + trimethoprim,400 mg+80 mg,pacific pharmaceuticals ltd.,1.0
alcofen sr,capsule (sustained release),diclofenac sodium,100 mg,aexim pharmaceuticals ltd.,1.5
aldew,chewable tablet,albendazole,400 mg,doctor’s chemical works ltd.,4.0
alerfex,tablet,fexofenadine hydrochloride,120 mg,kumudini pharma ltd.,7.0
aldonist,tablet,eplerenone,50 mg,unimed unihealth pharmaceuticals ltd.,13.57
alerjess,tablet,chlorpheniramine maleate,4 mg,ad-din pharmaceuticals ltd.,0.3
alervil,syrup,pheniramine maleate,15 mg/5 ml,incepta pharmaceuticals ltd.,0.0
algirex,tablet,etoricoxib,90 mg,ibn sina pharmaceuticals ltd.,12.0
algecal d,tablet,calcium carbonate [algae source] + vitamin d3,500 mg+200 iu,opsonin pharma ltd.,11.0
aldex,oral suspension,albendazole,200 mg/5 ml,gaco pharmaceuticals ltd.,0.0
alinix,powder for suspension,nitazoxanide,100 mg/5 ml,healthcare pharmaceuticals ltd.,0.0
algita dx,tablet,calcium carbonate [algae source] + vitamin d3,600 mg+400 iu,labaid pharma ltd.,15.0
alerjess,syrup,chlorpheniramine maleate,2 mg/5 ml,ad-din pharmaceuticals ltd.,0.0
algex,chewable tablet,aluminium hydroxide + magnesium hydroxide,250 mg+400 mg,doctor’s chemical works ltd.,0.5
alkanon,tablet,nabumetone,500 mg,renata limited,15.0
alestin,tablet,ebastine,10 mg,novelta bestway pharma ltd.,6.0
alexa,sc injection,enoxaparin sodium,4000 anti-xa iu/0.4 ml,healthcare pharmaceuticals ltd.,0.0
algicid dx,oral suspension,sodium alginate + sodium bicarbonate + calcium carbonate,(500 mg+213 mg+325 mg)/10 ml,incepta pharmaceuticals ltd.,0.0
alconil,mouthwash,eucalyptol + menthol + methyl salicylate + thymol + sodium fluoride,0,ziska pharmaceuticals ltd.,0.0
allet,ophthalmic solution,olopatadine hydrochloride,0.1%,healthcare pharmaceuticals ltd.,0.0
albenda ds,chewable tablet,albendazole,400 mg,aexim pharmaceuticals ltd.,3.4
alatin,tablet,cetirizine hydrochloride,10 mg,concord pharmaceuticals ltd.,2.01
allertin,oral solution,bilastine,12.5 mg/5 ml,navana pharmaceuticals ltd.,0.0
alestor,tablet,allylestrenol,5 mg,incepta pharmaceuticals ltd.,8.0
alfumax er,tablet (extended release),alfuzosin hydrochloride,10 mg,unimed unihealth pharmaceuticals ltd.,10.0
allstar,sc injection,insulin device & needle,0,synovia pharma plc,0.0
allet ds,ophthalmic solution,olopatadine hydrochloride,0.2%,healthcare pharmaceuticals ltd.,0.0
allernil,tablet,cetirizine hydrochloride,10 mg,kemiko pharmaceuticals ltd.,2.51
allertin,tablet,bilastine,20 mg,navana pharmaceuticals ltd.,15.0
allernil,syrup,cetirizine hydrochloride,5 mg/5 ml,kemiko pharmaceuticals ltd.,0.0
allygest,tablet,allylestrenol,5 mg,nuvista pharma ltd.,8.0
allergan,oral solution,promethazine hydrochloride,5 mg/5 ml,cipla limited,0.0
allphen,oral solution,promethazine hydrochloride,5 mg/5 ml,medimet pharmaceuticals ltd.,0.0
allercet,syrup,cetirizine hydrochloride,5 mg/5 ml,marksman pharmaceuticals ltd.,0.0
allet max,ophthalmic solution,olopatadine hydrochloride,0.7%,healthcare pharmaceuticals ltd.,0.0
alleloc ds,ophthalmic solution,olopatadine hydrochloride,0.2%,navana pharmaceuticals ltd.,0.0
alleloc,ophthalmic solution,olopatadine hydrochloride,0.1%,navana pharmaceuticals ltd.,0.0
allbeevit-m,tablet,multivitamin & multimineral,0,medimet pharmaceuticals ltd.,1.5
allbeevit,tablet,vitamin b complex,0,medimet pharmaceuticals ltd.,0.52
allbeevit,syrup,vitamin b complex,0,medimet pharmaceuticals ltd.,0.0
allbeevit,im/iv injection,vitamin b complex,0,medimet pharmaceuticals ltd.,8.0
alkurin,oral solution,potassium citrate + citric acid,(1500 mg+250 mg)/5 ml,ibn sina pharmaceuticals ltd.,0.0
allbeevit,tablet,vitamin b complex,0,medimet pharmaceuticals ltd.,0.52
allerkit-e,ophthalmic solution,ketotifen fumarate,0.025%,monicopharma ltd.,0.0
allerkit,syrup,ketotifen fumarate,1 mg/5 ml,monicopharma ltd.,0.0
alkenib,tablet,lapatinib,250 mg,jenphar bangladesh ltd.,16.67
allercet,tablet,cetirizine hydrochloride,10 mg,marksman pharmaceuticals ltd.,2.5
alkazol,oral suspension,metronidazole,200 mg/5 ml,alkad laboratories,0.0
allertin odt,dispersible tablet,bilastine,10 mg,navana pharmaceuticals ltd.,13.0
alken,oral solution,potassium citrate + citric acid,(1500 mg+250 mg)/5 ml,al-madina pharmaceuticals ltd.,0.0
algicid plus,oral suspension,sodium alginate + sodium bicarbonate + calcium carbonate,(500 mg+267 mg+160 mg)/10 ml,incepta pharmaceuticals ltd.,0.0
aloten,tablet,amlodipine besilate + atenolol,5 mg+25 mg,kemiko pharmaceuticals ltd.,4.24
alona,tablet,aceclofenac,100 mg,kemiko pharmaceuticals ltd.,4.01
aloglip,tablet,alogliptin benzoate,6.25 mg,navana pharmaceuticals ltd.,8.0
aloran,tablet,desloratadine,5 mg,alco pharma ltd.,2.51
aloglip,tablet,alogliptin benzoate,12.5 mg,navana pharmaceuticals ltd.,12.0
aloglip,tablet,alogliptin benzoate,25 mg,navana pharmaceuticals ltd.,20.0
alodoben ds,chewable tablet,albendazole,400 mg,benham pharmaceuticals ltd.,5.0
alodia,tablet,alogliptin benzoate,12.5 mg,acme laboratories ltd.,12.0
alneed plus,capsule,iron + folic acid + vitamin b complex + vitamine c + zinc sulfate,0,incepta pharmaceuticals ltd.,3.5
alopin,tablet,amlodipine besilate,5 mg,silco pharmaceutical ltd.,4.0
alovit bz,tablet,vitamin b complex + zinc,0,al-madina pharmaceuticals ltd.,2.5
allbeevit,capsule,vitamin b complex,0,medimet pharmaceuticals ltd.,1.0
almoxil,capsule,amoxicillin trihydrate,250 mg,aexim pharmaceuticals ltd.,3.3
almoxil,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,aexim pharmaceuticals ltd.,0.0
almovate,ointment,clobetasol propionate,0.05%,albion laboratories limited,0.0
almoxil,capsule,amoxicillin trihydrate,500 mg,aexim pharmaceuticals ltd.,6.6
almin,chewable tablet,albendazole,400 mg,kumudini pharma ltd.,4.0
almigut,tablet,domperidone maleate,10 mg,al-madina pharmaceuticals ltd.,3.0
alkriz,capsule,crizotinib,250 mg,beacon pharmaceuticals ltd.,0.0
altrax,syrup,levamisole,40 mg/5 ml,alkad laboratories,0.0
alneed gold,capsule,iron polymaltose complex + folic acid + zinc + vitamin b-complex,0,incepta pharmaceuticals ltd.,6.0
altovas,tablet,atorvastatin calcium,20 mg,albion laboratories limited,18.0
almin,oral suspension,albendazole,200 mg/5 ml,kumudini pharma ltd.,0.0
alton,tablet (enteric coated),esomeprazole,40 mg,general pharmaceuticals ltd.,8.03
aloten forte,tablet,amlodipine besilate + atenolol,5 mg+50 mg,kemiko pharmaceuticals ltd.,4.51
alterin tr,capsule (timed release),diclofenac sodium,100 mg,euro pharma ltd.,3.0
altadin,ophthalmic solution,alcaftadine,0.25%,eskayef pharmaceuticals ltd.,0.0
alprax xr,tablet (extended release),alprazolam,1 mg,opsonin pharma ltd.,4.02
alton,tablet (enteric coated),esomeprazole,20 mg,general pharmaceuticals ltd.,5.02
alprax xr,tablet (extended release),alprazolam,2 mg,opsonin pharma ltd.,8.03
altorec,tablet,ketorolac tromethamine,10 mg,allied pharmaceuticals ltd.,0.0
alphin ds,chewable tablet,albendazole,400 mg,beximco pharmaceuticals ltd.,5.0
alzema,ointment,dithranol + boric acid + salicylic acid,0.1%+1%+2%,albion laboratories limited,0.0
alzolam,tablet,alprazolam,0.5 mg,sun pharmaceutical (bangladesh) ltd.,3.0
alpro,chewable tablet,albendazole,400 mg,pharmadesh laboratories ltd.,4.0
alprax,tablet,alprazolam,0.5 mg,opsonin pharma ltd.,3.0
alzed,chewable tablet,albendazole,400 mg,general pharmaceuticals ltd.,3.32
alvolex,syrup,salbutamol,2 mg/5 ml,silva pharmaceuticals ltd.,0.0
alvital,tablet,super antioxidant [vitamins & minerals],0,silva pharmaceuticals ltd.,4.02
alvit gold,tablet,multivitamin & multimineral [a-z gold preparation],0,albion laboratories limited,8.0
alvit gold,syrup,multivitamin & multimineral [a-z gold preparation],0,albion laboratories limited,0.0
alverate,tablet,alverine citrate,60 mg,ibn sina pharmaceuticals ltd.,5.0
alve,tablet,alverine citrate,60 mg,orion pharma ltd.,5.01
alzacare,capsule (extended release),memantine + donepezil,14 mg+10 mg,renata limited,25.0
alphapress xr,tablet (extended release),prazosin hydrochloride,5 mg,renata limited,17.0
alunib,tablet,brigatinib,90 mg,jenphar bangladesh ltd.,57.14
alunib,tablet,brigatinib,180 mg,jenphar bangladesh ltd.,0.0
alveofact,intratracheal suspension,phospholipids,45 mg/ml,"lyomark pharma, germany",0.0
alucil-s,chewable tablet,aluminium hydroxide + magnesium hydroxide + simethicone,400 mg+400 mg+30 mg,opsonin pharma ltd.,2.0
alzacare,capsule (extended release),memantine + donepezil,7 mg+10 mg,renata limited,20.0
altrum gold,tablet,multivitamin & multimineral [a-z gold preparation],0,ziska pharmaceuticals ltd.,7.0
alphanate,injection,antihemophilic factor [factor viii],250 iu/vial,grifols biologicals llc,0.0
alphanate,iv infusion,alphanate,250 iu/vial,grifols biologicals llc,0.0
alucil-s,oral suspension,aluminium hydroxide + magnesium hydroxide + simethicone,(400 mg+400 mg+30 mg)/5 ml,opsonin pharma ltd.,0.0
alphalok,tablet,prazosin hydrochloride,2 mg,opsonin pharma ltd.,6.0
alphalok,tablet,prazosin hydrochloride,1 mg,opsonin pharma ltd.,4.0
alpam,tablet,alprazolam,0.25 mg,asiatic laboratories ltd.,1.0
altrip,tablet,almotriptan,6.25 mg,nipro jmi pharma ltd.,25.08
almasil ms,chewable tablet,aluminium hydroxide + magnesium hydroxide + simethicone,400 mg+400 mg+30 mg,united pharmaceuticals ltd.,0.75
aluctin,capsule,flurazepam,30 mg,ambee pharmaceuticals ltd.,6.0
almasil ms,oral suspension,aluminium hydroxide + magnesium hydroxide + simethicone,(400 mg+400 mg+30 mg)/5 ml,united pharmaceuticals ltd.,0.0
allynol,tablet,allylestrenol,5 mg,popular pharmaceuticals ltd.,8.0
aluric,tablet,allopurinol,100 mg,sonear laboratories ltd.,4.1
alphalok xr,tablet (extended release),prazosin hydrochloride,2.5 mg,opsonin pharma ltd.,10.0
alpam,tablet,alprazolam,0.5 mg,asiatic laboratories ltd.,2.0
alpatin,ophthalmic solution,epinastine hydrochloride,0.05%,beximco pharmaceuticals ltd.,0.0
alphagan p,ophthalmic solution,brimonidine tartrate,0.15%,allergan pharmaceuticals international ltd.,0.0
alvenor,tablet,diosmin + hesperidin,450 mg+50 mg,beacon pharmaceuticals ltd.,11.0
altrum silver,tablet,multivitamin & multimineral [a-z silver preparation],0,ziska pharmaceuticals ltd.,7.0
alphapress xr,tablet (extended release),prazosin hydrochloride,2.5 mg,renata limited,12.0
alunib,tablet,brigatinib,30 mg,jenphar bangladesh ltd.,0.0
alimta,iv infusion,pemetrexed,500 mg/vial,eli lilly and company,0.0
alurol,tablet,allopurinol,100 mg,incepta pharmaceuticals ltd.,4.0
alphapress,tablet,prazosin hydrochloride,1 mg,renata limited,4.0
alzolam,tablet,alprazolam,0.25 mg,sun pharmaceutical (bangladesh) ltd.,1.5
alprax,tablet,alprazolam,0.25 mg,opsonin pharma ltd.,1.5
alterin,tablet,diclofenac sodium,50 mg,euro pharma ltd.,1.0
altovas,tablet,atorvastatin calcium,10 mg,albion laboratories limited,10.0
alneed,capsule,iron + folic acid + vitamin b complex + vitamin c,0,incepta pharmaceuticals ltd.,3.0
almitan,tablet,almotriptan,6.25 mg,opsonin pharma ltd.,25.0
alodia,tablet,alogliptin benzoate,25 mg,acme laboratories ltd.,22.0
alovit gold,tablet,multivitamin & multimineral [a-z gold preparation],0,al-madina pharmaceuticals ltd.,9.5
alverin,tablet,alverine citrate,60 mg,rangs pharmaceuticals ltd.,5.02
alphapress,tablet,prazosin hydrochloride,2 mg,renata limited,6.0
alphalok xr,tablet (extended release),prazosin hydrochloride,5 mg,opsonin pharma ltd.,15.0
ambolin,syrup,ambroxol hydrochloride,15 mg/5 ml,virgo pharmaceuticals ltd.,0.0
ambokof,pediatric drops,ambroxol hydrochloride,6 mg/ml,novelta bestway pharma ltd.,0.0
ambocus,pediatric drops,ambroxol hydrochloride,6 mg/ml,opso saline limited,0.0
alvita,tablet,"vitamin b1, b6 & b12",100 mg+200 mg+200 mcg,albion laboratories limited,5.0
amber,tablet,rosuvastatin calcium,5 mg,desh pharmaceuticals ltd.,10.0
alvenor,tablet,diosmin + hesperidin,900 mg+100 mg,beacon pharmaceuticals ltd.,20.0
ambeet,capsule (sustained release),ambroxol hydrochloride,75 mg,ethical drugs limited,5.0
ambeeclox,capsule,cloxacillin sodium,500 mg,ambee pharmaceuticals ltd.,5.96
almex,oral suspension,albendazole,200 mg/5 ml,square pharmaceuticals ltd.,23.0
amber,tablet,rosuvastatin calcium,10 mg,desh pharmaceuticals ltd.,20.0
ambeecal-d,tablet,calcium carbonate [elemental source] + vitamin d3,500 mg+200 iu,ambee pharmaceuticals ltd.,3.33
amaryl,tablet,glimepiride,2 mg,synovia pharma plc,12.94
amaryl m,tablet (prolonged release),glimepiride + metformin,1 mg+500 mg,synovia pharma plc,12.0
amarin,syrup,pheniramine maleate,15 mg/5 ml,opsonin pharma ltd.,0.0
amarin,tablet,pheniramine maleate,22.7 mg,opsonin pharma ltd.,0.47
am,tablet,azithromycin dihydrate,500 mg,reliance pharmaceuticals ltd.,30.0
amaryl m,tablet (prolonged release),glimepiride + metformin,2 mg+500 mg,synovia pharma plc,18.0
ambeecal,tablet,calcium carbonate [elemental source],500 mg,ambee pharmaceuticals ltd.,2.01
ambeet,syrup,ambroxol hydrochloride,15 mg/5 ml,ethical drugs limited,0.0
amaryl,tablet,glimepiride,1 mg,synovia pharma plc,6.92
ambeexin,capsule,amoxicillin trihydrate,250 mg,ambee pharmaceuticals ltd.,3.55
amantril,capsule,amantadine hydrochloride,100 mg,aci limited,10.0
am,powder for suspension,azithromycin dihydrate,200 mg/5 ml,reliance pharmaceuticals ltd.,0.0
ambocus,syrup,ambroxol hydrochloride,15 mg/5 ml,opso saline limited,0.0
amason,tablet,dexamethasone,0.5 mg,ambee pharmaceuticals ltd.,1.0
ambeexin,pediatric drops,amoxicillin trihydrate,125 mg/1.25 ml,ambee pharmaceuticals ltd.,0.0
alzolux ds,chewable tablet,albendazole,400 mg,pharmik laboratories ltd.,0.0
ambokof,syrup,ambroxol hydrochloride,15 mg/5 ml,novelta bestway pharma ltd.,0.0
alofen,tablet,aceclofenac,100 mg,orbit pharmaceuticals ltd.,0.0
amaryl,tablet,glimepiride,4 mg,synovia pharma plc,21.06
ambix,syrup,ambroxol hydrochloride,15 mg/5 ml,modern pharmaceuticals ltd.,0.0
amarin,im/iv injection,pheniramine maleate,45.5 mg/2 ml,opsonin pharma ltd.,7.48
ambeexin,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,ambee pharmaceuticals ltd.,0.0
amaryl,tablet,glimepiride,3 mg,synovia pharma plc,16.55
ambrotil,syrup,ambroxol hydrochloride,15 mg/5 ml,amico laboratories ltd.,0.0
ambrotus,syrup,ambroxol hydrochloride,15 mg/5 ml,labaid pharma ltd.,0.0
ambrox,syrup,ambroxol hydrochloride,15 mg/5 ml,square pharmaceuticals ltd.,0.0
ambrop,syrup,ambroxol hydrochloride,15 mg/5 ml,bengal drugs ltd.,0.0
ambrosia,syrup,ambroxol hydrochloride,15 mg/5 ml,silco pharmaceutical ltd.,0.0
ambronil,pediatric drops,ambroxol hydrochloride,6 mg/ml,orion pharma ltd.,0.0
ambronil,syrup,ambroxol hydrochloride,15 mg/5 ml,orion pharma ltd.,0.0
ambrisan,tablet,ambrisentan,5 mg,square pharmaceuticals ltd.,40.13
ambozin sr,capsule (sustained release),ambroxol hydrochloride,75 mg,rephco pharmaceuticals ltd.,5.0
ambrox,pediatric drops,ambroxol hydrochloride,6 mg/ml,square pharmaceuticals ltd.,0.0
ambrosol,syrup,ambroxol hydrochloride,15 mg/5 ml,popular pharmaceuticals ltd.,0.0
amboten,syrup,ambroxol hydrochloride,15 mg/5 ml,eskayef pharmaceuticals ltd.,0.0
ambronaaf,syrup,ambroxol hydrochloride,15 mg/5 ml,naafco pharma ltd.,0.0
ambosil,syrup,ambroxol hydrochloride,15 mg/5 ml,silva pharmaceuticals ltd.,0.0
amboxol,pediatric drops,ambroxol hydrochloride,6 mg/ml,kumudini pharma ltd.,0.0
ambrosol,capsule (sustained release),ambroxol hydrochloride,75 mg,popular pharmaceuticals ltd.,5.0
ambromax,syrup,ambroxol hydrochloride,15 mg/5 ml,goodman pharmaceuticals ltd.,0.0
ambolin,pediatric drops,ambroxol hydrochloride,6 mg/ml,virgo pharmaceuticals ltd.,0.0
ambolyt,syrup,ambroxol hydrochloride,15 mg/5 ml,incepta pharmaceuticals ltd.,0.0
amboral,pediatric drops,ambroxol hydrochloride,6 mg/ml,pharmadesh laboratories ltd.,0.0
amboral,syrup,ambroxol hydrochloride,15 mg/5 ml,pharmadesh laboratories ltd.,0.0
ambozin,syrup,ambroxol hydrochloride,15 mg/5 ml,rephco pharmaceuticals ltd.,0.0
ambolos,syrup,ambroxol hydrochloride,15 mg/5 ml,s.n. pharmaceutical ltd.,0.0
ambosil,pediatric drops,ambroxol hydrochloride,6 mg/ml,silva pharmaceuticals ltd.,0.0
amboxol,syrup,ambroxol hydrochloride,15 mg/5 ml,kumudini pharma ltd.,0.0
ambrodex,syrup,ambroxol hydrochloride,15 mg/5 ml,decent pharma laboratories ltd.,0.0
ambrocod,syrup,ambroxol hydrochloride,15 mg/5 ml,amulet pharmaceuticals ltd.,0.0
amfrad,capsule,cephradine,500 mg,amulet pharmaceuticals ltd.,12.54
ambroton,syrup,ambroxol hydrochloride,15 mg/5 ml,novatek pharmaceuticals ltd.,0.0
ambolyt,pediatric drops,ambroxol hydrochloride,6 mg/ml,incepta pharmaceuticals ltd.,0.0
amezol,tablet,metronidazole,400 mg,cosmic pharma ltd.,1.25
ameloss,tablet,donepezil hydrochloride,5 mg,incepta pharmaceuticals ltd.,10.0
amelex,tablet,flupentixol + melitracen,0.5 mg+10 mg,apollo pharmaceutical ltd.,0.0
amdova,tablet,amlodipine besilate + atorvastatin,5 mg+10 mg,beximco pharmaceuticals ltd.,11.0
ameloss m,capsule (extended release),memantine + donepezil,28 mg+10 mg,incepta pharmaceuticals ltd.,35.0
amdocal pro,tablet,bisoprolol fumarate + amlodipine besilate,2.5 mg+5 mg,beximco pharmaceuticals ltd.,6.0
amdoper,tablet,amlodipine besilate,5 mg,hallmark pharmaceuticals ltd.,3.0
amdocal plus,tablet,amlodipine besilate + atenolol,5 mg+50 mg,beximco pharmaceuticals ltd.,8.5
ametrol-vt,vaginal tablet,metronidazole + miconazole nitrate,100 mg+100 mg,ambee pharmaceuticals ltd.,11.04
amdocal,tablet,amlodipine besilate,10 mg,beximco pharmaceuticals ltd.,8.0
amdocal,tablet,amlodipine besilate,2.5 mg,beximco pharmaceuticals ltd.,3.0
amilax,tablet,flupentixol + melitracen,0.5 mg+10 mg,amico laboratories ltd.,3.2
amilin,tablet,amitriptyline hydrochloride,25 mg,opsonin pharma ltd.,1.75
amikin,im/iv injection,amikacin,100 mg/2 ml,incepta pharmaceuticals ltd.,16.0
ameloss m,capsule (extended release),memantine + donepezil,14 mg+10 mg,incepta pharmaceuticals ltd.,25.0
amit,tablet,amitriptyline hydrochloride,10 mg,general pharmaceuticals ltd.,0.85
amilac,iv infusion,"amino acid, d-sorbitol with electrolytes",5%,biopharma laboratories ltd.,0.0
amikast,tablet,montelukast sodium,5 mg,amico laboratories ltd.,0.0
amdocal,tablet,amlodipine besilate,5 mg,beximco pharmaceuticals ltd.,5.5
amisol,iv infusion,"amino acid, d-sorbitol with electrolytes",5%,popular pharmaceuticals ltd.,0.0
amirid,tablet,metronidazole,400 mg,veritas pharmaceuticals ltd.,1.7
amikast,tablet,montelukast sodium,10 mg,amico laboratories ltd.,0.0
amipride,tablet,amisulpride,50 mg,beacon pharmaceuticals ltd.,20.0
amiphin,iv injection,ceftriaxone sodium,2 gm/vial,al-madina pharmaceuticals ltd.,0.0
aminosteril n-hepa,iv infusion,amino acid,8%,fresenius kabi,0.0
amiron,tablet,mirtazapine,30 mg,orion pharma ltd.,15.0
amiron,tablet,mirtazapine,15 mg,orion pharma ltd.,10.0
amiodarone hameln,injection,amiodarone hydrochloride,150 mg/3 ml,hbm infusion. pharma s.r.o. slovak republic,0.0
aminosin plus,iv infusion,"amino acids, glucose & electrolytes",7%+10%,ibn sina pharmaceuticals ltd.,0.0
aminosin,iv infusion,"amino acid, d-sorbitol with electrolytes",5%,ibn sina pharmaceuticals ltd.,0.0
amdin plus,tablet,amlodipine besilate + atenolol,5 mg+50 mg,alco pharma ltd.,4.51
aminophylline,tablet,aminophylline,100 mg,bristol pharmaceuticals ltd.,0.95
amipride,tablet,amisulpride,200 mg,beacon pharmaceuticals ltd.,0.0
aminomix,iv infusion,"amino acid, d-sorbitol with electrolytes",10%,acme laboratories ltd.,0.0
aminophylline,tablet,aminophylline,100 mg,ambee pharmaceuticals ltd.,0.38
aminomax,iv infusion,"amino acid, d-sorbitol with electrolytes",5%,globe pharmaceuticals ltd.,0.0
aminomix,iv infusion,"amino acid, d-sorbitol with electrolytes",5%,acme laboratories ltd.,0.0
amiflox,tablet,ciprofloxacin,750 mg,amico laboratories ltd.,16.0
amimax,im/iv injection,amikacin,500 mg/2 ml,biopharma laboratories ltd.,48.0
amiflox,tablet,ciprofloxacin,250 mg,amico laboratories ltd.,6.0
amifex,tablet,fexofenadine hydrochloride,60 mg,amico laboratories ltd.,0.0
amifen,oral suspension,mefenamic acid,50 mg/5 ml,opsonin pharma ltd.,0.0
amidol,injection,iopamidol,370 mg/100 ml,incepta pharmaceuticals ltd.,0.0
amicoxib,tablet,etoricoxib,120 mg,amico laboratories ltd.,14.0
amidol,injection,iopamidol,300 mg/50 ml,incepta pharmaceuticals ltd.,0.0
amiclean,tablet,sodium thiosulfate,7.5 mg,amico laboratories ltd.,0.6
amidol,injection,iopamidol,370 mg/50 ml,incepta pharmaceuticals ltd.,0.0
aminophylline,iv injection,aminophylline,125 mg/5 ml,ambee pharmaceuticals ltd.,5.46
aminomax gold,iv infusion,"amino acids, glucose & electrolytes",7%+10%,globe pharmaceuticals ltd.,0.0
ambryl,pediatric drops,ambroxol hydrochloride,6 mg/ml,jenphar bangladesh ltd.,0.0
ambroxol sr,capsule (sustained release),ambroxol hydrochloride,75 mg,biopharma laboratories ltd.,5.01
amicard plus,tablet,amlodipine besilate + atenolol,5 mg+50 mg,aexim pharmaceuticals ltd.,8.0
amibac,im/iv injection,amikacin,100 mg/2 ml,popular pharmaceuticals ltd.,16.06
ambroxol,syrup,ambroxol hydrochloride,15 mg/5 ml,biopharma laboratories ltd.,0.0
amibac,im/iv injection,amikacin,500 mg/2 ml,popular pharmaceuticals ltd.,48.18
amdin,tablet,amlodipine besilate,10 mg,alco pharma ltd.,6.02
amicoxib,tablet,etoricoxib,90 mg,amico laboratories ltd.,12.0
amifen,tablet,mefenamic acid,500 mg,opsonin pharma ltd.,5.02
amfrad,capsule,cephradine,250 mg,amulet pharmaceuticals ltd.,6.25
ambuterol,oral solution,bambuterol hydrochloride,5 mg/5 ml,apc pharma ltd.,0.0
ambryl,syrup,ambroxol hydrochloride,15 mg/5 ml,jenphar bangladesh ltd.,0.0
amidol,injection,iopamidol,300 mg/100 ml,incepta pharmaceuticals ltd.,0.0
aminosol vit,iv infusion,"amino acid, d-sorbitol with electrolytes",5%,opso saline limited,0.0
aminosol gold,iv infusion,"amino acids, glucose & electrolytes",7%+10%,opso saline limited,0.0
amiphin,iv injection,ceftriaxone sodium,1 gm/vial,al-madina pharmaceuticals ltd.,0.0
aminosyn,iv infusion,"amino acid, d-sorbitol with electrolytes",10%,unimed unihealth pharmaceuticals ltd.,0.0
amisol gold,iv infusion,"amino acids, glucose & electrolytes",7%+10%,popular pharmaceuticals ltd.,0.0
amipride,tablet,amisulpride,100 mg,beacon pharmaceuticals ltd.,30.0
amilin plus,tablet,amitriptyline hydrochloride + chlordiazepoxide,12.5 mg+5 mg,opsonin pharma ltd.,7.0
amiflox ds,powder for suspension,ciprofloxacin,250 mg/5 ml,amico laboratories ltd.,0.0
amikin,im/iv injection,amikacin,500 mg/2 ml,incepta pharmaceuticals ltd.,48.0
amimax,im/iv injection,amikacin,100 mg/2 ml,biopharma laboratories ltd.,16.0
amdocal plus,tablet,amlodipine besilate + atenolol,5 mg+25 mg,beximco pharmaceuticals ltd.,6.5
amilin,tablet,amitriptyline hydrochloride,10 mg,opsonin pharma ltd.,0.85
ametil,tablet,prochlorperazine maleate,5 mg,aristopharma ltd.,0.46
amezol,oral suspension,metronidazole,200 mg/5 ml,cosmic pharma ltd.,0.0
amiflox,tablet,ciprofloxacin,500 mg,amico laboratories ltd.,10.0
ameloss m,capsule (extended release),memantine + donepezil,7 mg+10 mg,incepta pharmaceuticals ltd.,20.0
amlovas,tablet,amlodipine besilate,5 mg,popular pharmaceuticals ltd.,5.0
amlovas,tablet,amlodipine besilate,10 mg,popular pharmaceuticals ltd.,8.0
amiron,tablet,mirtazapine,7.5 mg,orion pharma ltd.,6.5
amela,cream,fluocinolone acetonide + hydroquinone + tretinoin,0.01%+4%+0.05%,ibn sina pharmaceuticals ltd.,0.0
amlotab,tablet,amlodipine besilate,10 mg,incepta pharmaceuticals ltd.,7.0
amloten,tablet,amlodipine besilate + atenolol,5 mg+50 mg,acme laboratories ltd.,7.0
amlosin plus,tablet,amlodipine besilate + atenolol,5 mg+25 mg,doctor’s chemical works ltd.,4.0
amlosun,tablet,amlodipine besilate,5 mg,sun pharmaceutical (bangladesh) ltd.,5.02
amlosartan,tablet,amlodipine besilate + valsartan,5 mg+80 mg,incepta pharmaceuticals ltd.,6.0
amlopin,tablet,amlodipine besilate,5 mg,acme laboratories ltd.,5.01
amlopin,tablet,amlodipine besilate,10 mg,acme laboratories ltd.,7.02
