generic_name,contraindications_description,contraindication_result
linagliptin + metformin hydrochloride,"although linagliptin undergoes minimal renal excretion, metformin hydrochloride is known to be substantially excreted by the kidney. the risk of metformin hydrochloride accumulation and lactic acidosis increases with the degree of renal impairment. therefore, this combination is contraindicated in patients with renal impairment. it is also contraindicated in acute or chronic metabolic acidosis (diabetic ketoacidosis) and in hypersensitivity to linagliptin or metformin hydrochloride.",acute or chronic metabolic acidosis
mebeverine hydrochloride,hypersensitivity to the drug or any other ingredients.,hypersensitivity to the drug or any other ingredients
mebendazole,"mebendazole is contraindicated in patients with known hypersensitivity to mebendazole, or to any component of the formulation.","hypersensitivity to mebendazole, or to any component"
measles and rubella,"allergic to any ingredient in the vaccine. suffering from acute diseases, severe chronic diseases, acute exacerbation of chronic diseases and fever. pregnant women. immune deficiency, immune dysfunction or receiving immunosuppressive therapy. suffering from encephalopathy, uncontrolled epilepsy and other progressive neurological diseases.","immune deficiency, immune dysfunction or receiving immunosuppressive therapy"
maprotiline hydrochloride,maprotiline hydrochloride tab lets are contraindicated in patients hypersensitive to maprotiline and in patients with known or suspected seizure disorders. it should not be given concomitantly with monoamine oxidase (mao) inhibitors. a minimum of 14 days should be allowed to elapse after discontinuation of mao inhibitors before treatment with maprotiline is initiated. effects should be monitored with gradual increase in dosage until optimum response is achieved. the drug is not recommended for use during the acute phase of myocardial infarction.,known or suspected seizure disorders
mannitol,"mannitol intravenous infusion is contraindicated in patients with pulmonary edema or congestive heart failure. it is also contraindicated during inadequate urine flow, dehydration or acidosis, intracranial bleeding and in patients with renal failure unless a test dose has produced a diuretic response.","inadequate urine flow, dehydration or acidosis"
magnesium sulfate heptahydrate,it is contraindicated in patients with heart block or myocardial damage.,heart block or myocardial damage
magnesium sulfate,"magnesium sulfate contra-indicated in the case of defect of the heart's electrical message pathways resulting in decreased function of the heart (heart block), severe damage to the muscular wall of the heart (myocardium) and significantly decreased kidney function.",defect of the heart's electrical message pathways
magnesium oxide,hypersensitivity and severe renal impairment.,hypersensitivity and severe renal impairment
magnesium hydroxide + liquid paraffin,acute gl conditions like abdominal pain.,acute gl conditions like abdominal pain.
magnesium hydroxide,magnesium hydroxide should not be administered where use of laxative is contraindicated. long term treatment of magnesium hydroxide is contraindicated in patients with renal failure.,patients with renal failure
magaldrate + simethicone,magaldrate is contraindicated in patients with known hypersensitivity to magnesium and aluminium. it is also contraindicated in patients with impaired renal functions.,patients with known hypersensitivity to magnesium and aluminium
magaldrate,magaldrate is contraindicated in patients with known hypersensitivity to magnesium and aluminium. it is also contraindicated in patients with impaired renal function,patients with known hypersensitivity to magnesium and aluminium
macrogol [polypropylene glycol] + electrolytes,"intestinal perforation or obstruction due to structural or functional disorder of the gut wall, ileus, severe inflammatory conditions of the intestinal tract, such ascrohn's disease and ulcerative colitis and toxic megacolon. hypersensitivity to the active substances.",hypersensitivity to the active substances
macitentan,no data available,no data available
lyophilized bacterial lysate,hypersensivity to the active substance or auxiliary.,hypersensivity to the active substance or auxiliary
lynestrenol,"pregnancy or suspected pregnancy. severe liver disease such as cholestatic jaundice or hepatitis (or a history of severe liver disease if the results of liver function tests have failed to return to normal), hepatic cell tumours,rotor syndrome and dubin-johnson syndrome. undiagnosed vaginal bleeding. conditions of rare occurrence known to be affected by sex steroids, or a history of these conditions (the condition may have occurred first or worsened during pregnancy or use of sex steroids); i.e. herpes gestationis, jaundice of pregnancy otosclerosis, severe pruritus or porphyria.",conditions of rare occurrence known to be affected by sex steroids
lymecycline,hypersensitivity to lymecycline or other tetracyclines. overt renal insufficiency. pregnancy and lactation. concomitant use with methoxuflurane or oral retinoids.,methoxuflurane or oral retinoids
lurasidone hydrochloride,"hypersensitivity. concurrent administration of strong cyp3a4 inhibitors (eg, ketoconazole). concurrent administration of strong cyp3a4 inducers (eg, rifampin). dementia-related psychosis.",dementia-related psychosis
luliconazole,none,none
lubiprostone,lubiprostone is contraindicated in patients with known or suspected mechanical gastrointestinal obstruction.,known or suspected mechanical gastrointestinal obstruction
mercaptopurine,pregnancy and lactation. prior resistance to mercaptopurine or thioguanine; severe liver disease; severe bone marrow suppression.,prior resistance to mercaptopurine or thioguanine
mepyramine maleate,no data available,no data available
menthol + thymol + eucalyptol + methyl salicylate,hypersensitivity,hypersensitivity
menthol + pramoxine hydrochloride,"hypersensitivity, deep or puncture wounds, animals bites, serious burns, large areas of the body","hypersensitivity, deep or puncture wounds"
meningococcal polysaccharide vaccine,hypersensitivity to the active substances or to any of the excipients.,hypersensitivity
meningococcal conjugate vaccine,hypersensitivity to the active substances or to any of the excipients of this preparation.,hypersensitivity
menaquinone-7,contraindicated in patients with known hypersensitivity to menaquinone-7. use of menaquinone-7 is contraindicated with warfarin.,patients with known hypersensitivity to menaquinone-7
memantine hydrochloride,memantine hydrochloride is contraindicated in patients with known hypersensitivity to memantine hydrochloride or to any excipients used in the formulation.,hypersensitivity
memantine + donepezil,"memantine and donepezil hydrochlorides extended-release capsules are contraindicated in patients with known hypersensitivity to memantine hydrochloride, donepezil hydrochloride, piperidine derivatives, or to any excipients used in the formulation.",patients with known hypersensitivity
meloxicam,"meloxicam is contraindicated to patients hypersensitive to this drug. meloxicam should not be given to patients who have developed signs of asthma, nasal polyps, angioneurotic oedema or urticaria following the administration of aspirin or nsaids. meloxicam is contraindicated to patients with active peptic ulcer during the last six months or a history of recurrent peptic ulcer disease, severe hepatic failure, non-dialysed severe renal failure, gastrointestinal bleeding, cerebrovascular bleeding or other bleeding disorders.",patients with active peptic ulcer during the last six months
melatonin,melatonin should not be used by patients who have autoimmune diseases.,autoimmune diseases
megestrol acetate,history of hypersensitivity to megestrol acetate or any component of the formulation. known or suspected pregnancy.,known or suspected pregnancy
mefloquine,"use of mefloquine is contraindicated in patients with a known hypersensitivity to mefloquine or related compounds (e.g. quinine and quinidine). it should not be prescribed for prophylaxis in patients with active depression, a recent history of depression, generalized anxiety disorder, psychosis, or schizophrenia or other major psychiatric disorders, or with a history of convulsions.",hypersensitivity to mefloquine or related compounds
mefenamic acid,"it is contraindicated in patients with known hypersensitivity to mefenamic acid. it should not be used in patients with peptic ulcer, inflammatory bowel diseases, hepatic or renal impairment. it is also contraindicated in patients, whom aspirin and/or other nsaid's have induced symptoms of bronchospasm, skin rashes etc.",patients with known hypersensitivity to mefenamic acid
medroxyprogesterone acetate (tablet),"medroxyprogesterone acetate is contraindicated in women with any of the following conditions: undiagnosed abnormal genital bleeding. known, suspected, or history of breast cancer. known or suspected estrogen- or progesterone-dependent neoplasia. active dvt, pe, or a history of these conditions active arterial thromboembolic disease (for example, stroke and mi), or a history of these conditions. known anaphylactic reaction or angioedema to medroxyprogesterone acetate known liver impairment or disease. known or suspected pregnancy.",undiagnosed abnormal genital bleeding
medroxyprogesterone acetate (injection),"known or suspected pregnancy, undiagnosed vaginal bleeding, known or suspected malignancy of breast ( when used for ovulation suppression or gynaecology indications), severe liver dysfunction, known hypersensitivity to medroxyprogesterone acetate or any component of the drug.",severe liver dysfunction
mecobalamin,hypersensitivity to any component of this product.,hypersensitivity
meclizine hydrochloride,meclizine is contraindicated in patients hypersensitive to meclizine or any of its excipeints.,meclizine
meclizine + pyridoxine,meclizine hydrochloride and pyridoxine hydrochloride is contraindicated in patients who are hypersensitive to these ingredients.,hypersensitive to these ingredients
mebhydrolin napadisylate,"hypersensitivity to any of the ingredients of mebhydrolin tablet or to mebhydrolin prostatic hypertrophy, narrow-angle glaucoma. first trimester of pregnancy.",hypersensitivity
metolazone,anuria; hepatic coma or pre-coma. pregnancy.,anuria; hepatic coma or pre-coma. pregnancy
metoclopramide hydrochloride,"metoclopramide is contraindicated: in patients with a history of tardive dyskinesia (td) or a dystonic reaction to metoclopramide. when stimulation of gastrointestinal motility might be dangerous (e.g., in the presence of gastrointestinal hemorrhage, mechanical obstruction, or perforation). in patients with pheochromocytoma or other catecholamine-releasing paragangliomas. reglan may cause a hypertensive/pheochromocytoma crisis, probably due to release of catecholamines from the tumor. in patients with epilepsy. reglan may increase the frequency and severity of seizures. in patients with hypersensitivity to metoclopramide. reactions have included laryngeal and glossal angioedema and bronchospasm.",in patients with a history of tardive dyskinesia
methylprednisolone sodium succcinate,methylprednisolone sterile powder is contraindicated: in systemic fungal infections and patients with known hypersensitivity to the product and its constituents. for intrathecal administration. reports of severe medical events have been associated with this route of administration. intramuscular corticosteroid preparations are contraindicated for idiopathic thrombocytopenic purpura.,in systemic fungal infections
methylprednisolone acetate,methylprednisolone acetate sterile aqueous suspension is contraindicated for intrathecal administration. it is also contraindicated in systemic fungal infections and patients with known hypersensitivity to the product and its constituents.,intrathecal administration
methylprednisolone,systemic fungal infections arid known hypersensitivity to components.,systemic fungal infections arid known hypersensitivity to components
methylphenidate hydrochloride,"methylphenidate is contraindicated in alcoholics, emotionally unstable patients, drug abusers, hypertension, cardiac arrhythmias, psychoses, epilepsy, thyro-toxicosis, glaucoma marked anxiety, severe depression and known sensitivity to methylphenidate.",methylphenidate
methylergonovine maleate,hypertension; toxemia; pregnancy; and hypersensitivity.,hypertension; toxemia; pregnancy; and hypersensitivity
methyldopa,"methyldopa is contraindicated in patients: with active hepatic disease, such as acute hepatitis and active cirrhosis with liver disorders previously associated with methyldopa therapy with hypersensitivity to any component of these products on therapy with monoamine oxidase (mao) inhibitors.","active hepatic disease, such as acute hepatitis and active cirrhosis"
methyl salicylate + menthol + camphor,hypersensitivity to salicylate or any of its ingredients.,hypersensitivity to salicylate or any of its ingredients
methyl salicylate + menthol,allergy to salicylate or sensitivity to any of the components. application to broken skin or raw surfaces is contraindicated.,application to broken skin or raw surfaces
methoxy polyethylene glycol-epoetin beta,methoxy polyethylene glycol epoetin beta is contraindicated in patients with: uncontrolled hypertension. known hypersensitivity to the active substance or any of the excipients.,uncontrolled hypertension
methoxsalen,"patient with idiosyncratic reactions to psoralen compounds patient possessing light sensitive disease including lupus erythematosus, porphyria, erythropoietic protoporphyria, variegate porphyria, xeroderma pigmentosum and albinism patient with melanoma or possessing a history of melanoma patient with invasive squamous cell carcinomas patient with aphakia",idiosyncratic reactions to psoralen compounds
methotrexate,"severe renal or hepatic impairment, pre-existing profound bone marrow suppression in patients with psoriasis or rheumatoid arthritis, alcoholic liver disease, aids, pre-existing blood dyscrasias, pregnancy (in patients with psoriasis or rheumatoid arthritis), breast-feeding.",breast-feeding
methocarbamol,methocarbamol is contraindicated in patients hypersensitive to methocarbamol or to any of the tablet components.,methocarbamol or to any of the tablet components
methimazole,methimazole is contraindicated in the presence of hypersensitivity to the drug or any of the other product components.,hypersensitivity to the drug or any of the other product components
methenamine hippurate,"methenamine hippurate tablets usp is contraindicated in patients with renal insufficiency, severe hepatic insufficiency, or severe dehydration. methenamine preparations should not be given to patients taking sulfonamides because some sulfonamides may form an insoluble precipitate with formaldehyde in the urine.",renal insufficiency
metformin hydrochloride,"hypersensitivity to the active substance or to any of the excipients. any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis). severe renal failure (gfr &lt;30 ml/min). acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock. acute or chronic disease, which may cause tissue hypoxia such as: cardiac or respiratory failure, recent myocardial infarction, shock, hepatic insufciency, acute alcohol intoxication, alcoholism.",hypersensitivity to the active substance
mesna,hypersensitivity to thiol-containing compounds.,hypersensitivity to thiol-containing compounds
mesalazine [5-aminosalicylic acid],hypersensitivity to salicylates or to any other component of the formulation.,hypersensitivity to salicylates or to any other component
meropenem trihydrate,meropenem is contraindicated in patients who have demonstrated hypersensitivity to this product.,hypersensitivity to this product
mitomycin c,"hypersensitivity. patient with platelet counts &lt;100,000/mm3, leukocyte counts &lt;4,000/mm3 or serum creatinine concentration &gt;1.7 mg/dl. patient with substantial prolongation of prothrombin time or bleeding time, coagulation disorders, increased bleeding tendency. pregnancy and lactation.",pregnancy and lactation
misoprostol,misoprostol is contraindicated to anyone with a history of allergy to prostaglandins and it is also contraindicated in pregnancy.,pregnancy
mirtazapine,hypersensitivity : mirtazapine is contraindicated in patients with a known hypersensitivity to mirtazapine or to any of the excipients. monoamine oxidase inhibitors : the concomitant use of mirtazapine and a monoamine oxidase (mao) inhibitor is contraindicated. mirtazapine should not be used within 14 days of initiating or discontinuing therapy with a monoamine oxidase inhibitor (maoi).,monoamine oxidase inhibitors
mirabegron,mirabegron is contraindicated in patients with hypersensitivity to the active substance or to any of the excipients and severe uncontrolled hypertension defined as systolic blood pressure 180 mm hg and/or diastolic blood pressure 110 mm hg.,severe uncontrolled hypertension
minoxidil,"patients with cardiac abnormalities children below 18 years of age patients using occlusive dressings or other medicines on the scalp patients with red, inflamed infection, or irritated or painful scalp (including psoriasis &amp; sunburn)","red, inflamed infection, or irritated or painful scalp"
minocycline hydrochloride,"minocycline is contraindicated in patients with hypersensitivity to tetracyclines, systemic lupus erythematosus, pregnancy, lactation, complete renal failure and children under 12 years.",hypersensitivity to tetracyclines
miltefosine,no data available,no data available
milnacipran hydrochloride,uncontrolled narrow-angle glaucoma. concomitant use with maoi or within 2 wk after withdrawal of maoi.,uncontrolled narrow-angle glaucoma
miglitol,"patient with diabetic ketoacidosis, inflammatory bowel disease, colonic ulceration, partial intestinal obstruction or predisposition to this condition, chronic intestinal diseases associated with marked disorders of digestion or absorption and co-existing conditions that may deteriorate as a result of increased intestinal gas formation.",increased intestinal gas formation
mifepristone + misoprostol,"administration of mifepristone is contraindicated in patients with any one of the following conditions: history of allergy or known hypersensitivity to mifepristone, misoprostol or other prostaglandin, confirmed or suspected ectopic pregnancy or undiagnosed adnexal mass (the treatment procedure will not be effective to terminate an ectopic pregnancy), iud in place, chronic adrenal failure, haemorrhagic disorders or concurrent anticoagulant therapy, inherited porphyria, if a patient does not have adequate access to medical facilities equipped to provide emergency treatment of incomplete process, blood transfusions and emergency resuscitation during the period from the first visit until discharged by the administering physician.",history of allergy or known hypersensitivity
mifepristone,"mifepristone must not be administered if there is doubt as to the existence or age of the pregnancy or if an extra-uterine pregnancy is suspected. an ultrasound scan and/or measurement of beta-hcg must be performed before administration. for first trimester abortions, mifepristone is contraindicated if the pregnancy is beyond 49 days of amenorrhoea when used with misoprostol, or beyond 63 days of amenorrhoea when used with gemeprost.mifepristone should never be prescribed in patients with chronic adrenal failure, known allergy to mifepristone or to any component of the product, severe asthma uncontrolled by corticosteroid therapy, porphyrias and renal failure, liver failure or malnutrition, or during breast feeding. mifepristone is a lipophilic compound and may theoretically be excreted in the mother\'s breast milk, however no data is available.",if the pregnancy is beyond 49 days of amenorrhoea
midazolam,"midazolam must not be given to patients with severe respiratory insufficiency, severe hepatic insufficiency, myasthenia gravis, sleep apnea syndrome and with known hypersensitivity to benzodiazepines or to any component of the product",hypersensitivity to benzodiazepines
micronised diosmin + hesperidin,chronic venous insufficiency and its complications should be diagnosed and management monitored by a physician. it is contraindicated for anyone having a hypersensitivity to any ingredient in the product.,anyone having a hypersensitivity to any ingredient in the product
miconazole nitrate + hydrocortisone,it is contraindicated in individuals who are hypersensitive to it or any of its components. should not be used in pregnant mother and lactating mother without physician's advice.,hypersensitive to it or any of its components
miconazole nitrate (topical),no contraindication is known.,no contraindication is known
miconazole nitrate (oral gel),miconazole is contraindicated in patients with known hypersensitivity to the active ingredient.,hypersensitivity to the active ingredient
metronidazole + neomycin sulphate + polymyxin b + nystatin,"contraindicated to the patients who are hypersensitive to metronidazole, neomycin sulphate, polymyxin b sulphate and nystatin.",hypersensitive to metronidazole
metronidazole + miconazole nitrate,hypersensitivity; hepatic impairment (oral gel). porphyria.,hypersensitivity; hepatic impairment
metronidazole,metronidazole is contraindicated in patients with a history of hypersensitivity to metronidazole or other nitroimidazole derivatives.,hypersensitivity
metoprolol tartrate,"av block, uncontrolled heart failure, severe bradycardia, sick-sinus syndrome, cardiogenic shock and severe peripheral arterial disease. known hypersensitivity to metoprolol or other b-blockers. metoprolol is also contra-indicated when myocardial infarction is complicated by significant bradycardia, first-degree heart block, systolic hypotension (&lt;100mmhg) and/or severe heart failure.",metoprolol
multivitamin [injection],"known hypersensitivity to any of the components, e.g. thiamine.",known hypersensitivity to any of the components
multivitamin [adult preparation],this preparation is contraindicated in patients hypersensitive to any component of the drug.,hypersensitive to any component of the drug
mucopolysaccharide polysulphate + salicylic acid,"hypersensitivity to any of the ingredients, aspirin or other non-steroidal anti-inflammatory drugs (including when taken by mouth) especially where associated with a history of asthma. not to be used on large areas of skin, broken, sensitive or infected skin, eczema or on mucous membranes. not to be used on children under 12 years of age. do not use during the first trimester, during late pregnancy or on the breast area during lactation.",not to be used on children under 12 years of age
moxonidine,"do not take moxonidine if you: are allergic (hypersensitive) to moxonidine or any of the other ingredients of this medicine have a slow heart rate or suffer from an abnormal heart rhythm or a change in the rate of the heart beat (called sick sinus syndrome or 2nd or 3rd degree av-block have, or have had, heart failure or other heart problems",are allergic (hypersensitive) to moxonidine
moxifloxacin hydrochloride + xanthan gum,no data available,no data available
moxifloxacin hydrochloride + dexamethasone,"hypersensitivity to quinolones. epithelial herpes simplex keratitis (dendritic keratitis), vaccinia, varicella &amp; other viral diseases of cornea &amp; conjunctiva. mycobacterial infection of the eye. fungal diseases of ocular structures. glaucoma &amp; diseases causing thinning of cornea or sclera.",diseases causing thinning of cornea or sclera.
moxifloxacin hydrochloride (tablet),it is contraindicated in patients with a history of hypersensitivity to moxifloxacin or other quinolones.,moxifloxacin or other quinolones
moxifloxacin hydrochloride (ophthalmic),"moxifloxacin hydrochloride ophthalmic solution is contraindicated in patients with a history of hypersensitivity to moxifloxacin, to other quinolones, or to any of the components in this medication.",history of hypersensitivity to moxifloxacin
moxifloxacin hydrochloride (injection),moxifloxacin is contraindicated in persons with known hypersensitivity to moxifloxacin or other quinolone antibacterials .,moxifloxacin or other quinolone antibacterials
morphine sulfate,"resp depression, obstructive airway disease, delayed gastric emptying, acute abdomen, heart failure secondary to chronic lung disease, known or suspected paralytic ileus, phaeochromocytoma. concurrent admin with maois or within 2 wk after treatment.",concurrent admin with maois or within 2 wk after treatment
montelukast sodium,montelukast is contraindicated in patients who are hypersensitive to any component of this product.,hypersensitive
monosulfiram,"known idiosyncratic response to its application. the solution should not be applied near a naked flame. because of the close chemical relationship between monosulfiram and disulfiram, it is advisable to abstain from alcohol before and for at least 48 hours after the application of monosulfiram",the solution should not be applied near a naked flame
monosemicarbazone adrenochrome,there are no known contraindications.,no known contraindications
monobasic sodium phosphate + dibasic sodium phosphate,"using more than one bottle in 24 hours can be harmful. do not use without asking a doctor: for more than 3 days if you have kidney disease if you have heart problems if you are dehydrated when abdominal pain, nausea, or vomiting are present.","when abdominal pain, nausea, or vomiting are present"
mometasone furoate + formoterol fumarate,"this combination is contraindicated in the primary treatment of status asthmaticus or other acute episodes of asthma where intensive measures are required. this combination is contraindicated in patients with known hypersensitivity to mometasone furoate, formoterol fumarate, or any of the ingredients in this combination.",status asthmaticus or other acute episodes of asthma where intensive measures are required
mometasone furoate (topical),the drug is contraindicated in individuals with a history of sensitivity reactions to mometasone or any of the components of the preparation.,sensitivity reactions to mometasone or any of the components of the preparation
mometasone furoate (nasal spray),hypersensitivity to any of the ingredients of this preparation contraindicates its use.,hypersensitivity to any of the ingredients
mometasone furoate (inhalation capsule),hypersensitivity to any of the ingredients of this preparation contraindicates its use. mometasone furoate therapy is contraindicated in the primary treatment of status asthmaticus or other acute episodes of asthma where intensive measures are required.,primary treatment of status asthmaticus or other acute episodes of asthma
molnupiravir,molnupiravir is contraindicated in patients with known hypersensitivity to molnupiravir.,hypersensitivity to molnupiravir
mizolastine,"mizolastine is contra-indicated in patients with clinically significant cardiac disease or a history of symptomatic arrhythmias and in patients with known or suspected qt prolongation, patients with electrolyte imbalance (particularly hypokalaemia), and in those with clinically significant bradycardia. it is also contra-indicated in patients taking other drugs that decrease its metabolism, patients with significantly impaired liver function, and in patients who are hypersensitive to the drug.",mizolastine
mycophenolic acid,mycophenolic acid delayed-release tablets and mycophenolate mofetil tablets and capsules should not be used interchangeably without physician supervision because the rate of absorption following the administration of these two products is not equivalent.,the rate of absorption following the administration of these two products is not equivalent
mycophenolate mofetil,"mycophenolic acid is contraindicated in patients with a hypersensitivity to mycophenolic acid, or to any of its excipients. mycophenolic acid is contraindicated during pregnancy due to its mutagenic and teratogenic potential. mycophenolic acid is contraindicated in women who are breastfeeding.",mutagenic and teratogenic potential
mupirocin,the drug is contraindicated in individuals with a history of hypersensitivity reactions to mupirocin or any of the components of the preparation.,hypersensitivity reactions
multivitamins & multiminerals [a-z prenatal preparation],this multivitamins &amp; multiminerals is contraindicated in patients with a known hypersensitivity to any of the ingredients.,hypersensitivity to any of the ingredients
multivitamin with l-lysine,the product is contraindicated in patients with a known hypersensitivity to any of the active ingredients of the product.,hypersensitivity to any of the active ingredients
multivitamin & normal saline,"known hypersensitivity to any of the components, e.g. thiamine.",known hypersensitivity to any of the components
multivitamin & multimineral essentials [for nursing mother],this product is contraindicated in patients with a known hypersensitivity to any of the ingredients.,hypersensitivity to any of the ingredients
multivitamin & multimineral [for nursing mother],this product is contraindicated in patients with a known hypersensitivity to any of the ingredients of this preparation.,hypersensitivity to any of the ingredients
multivitamin & multimineral [a-z teen girls preparation],this product is contraindicated in patients with a known hypersensitivity to any of the ingredients.,hypersensitivity to any of the ingredients
multivitamin & multimineral [a-z teen boys preparation],this product is contraindicated in patients with a known hypersensitivity to any of the ingredients.,hypersensitivity to any of the ingredients
multivitamin & multimineral [a-z syrup preparation],the product is contraindicated in patients with a known hypersensitivity to any of the ingredients of this product.,hypersensitivity to any of the ingredients
multivitamin & multimineral [a-z silver preparation],this product is contraindicated in patients with known hypersensitivity to any of the ingredients. do not take this product if taking other vitamin a supplements.,patients with known hypersensitivity to any of the ingredients
multivitamin & multimineral [a-z juniors syrup preparation],contraindicated in patients who are hypersensitive to any of its components.,hypersensitive to any of its components
multivitamin & multimineral [a-z junior infusion preparation],no data available,no data available
multivitamin & multimineral [a-z gold preparation],this product is contraindicated in patients with known hypersensitivity to any of the ingredients.,hypersensitivity to any of the ingredients
multivitamin & multimineral [a-z for infanrs & childrens],this preparation must not be given in the first 6 months of age. the children severely malnourished or sick and admitted in the hospital also should not be given in the first week of treatment.,children severely malnourished or sick and admitted in the hospital
multivitamin & multimineral,"this is contraindicated in patients hypersensitive to any of its components. this is not intended for treatment of severe specific deficiencies of vitamins or minerals. it is not recommended for patients undergoing treatment with levodopa as pyridoxine decreases the efficacy of levodopa. during the first trimester of pregnancy, larger doses of vitamin a (more than 10 tablets per day) may be teratogenic.",hypersensitive to any of its components
multivitamin & cod liver oil,this product is contraindicated in patients with a known hypersensitivity to any of the ingredients.,hypersensitivity to any of the ingredients
multivitamin & 5% dextrose,"known hypersensitivity to any of the components, e.g. thiamine.",known hypersensitivity to any of the components
multivitamin [pediatric preparation],supplemental vitamins should not be prescribed for patients with haemochromatosis or wilsons disease. hypersensitivity to any of the ingredients is contraindicated. excessive doses of vitamin a and d can lead to hypervitaminosis. when multivitamin preparations are prescribed allowance must be made for vitamins from other sources.,hypersensitivity to any of the ingredients
nelfinavir,nelfinavir is contraindicated in patients with clinically significant hypersensitivity to any of its components. co-administration of avifix is contraindicated with drugs that are highly dependent on cyp3a for clearance and for which elevated plasma concentrations are associated with serious and/or life-threatening adverse events,elevated plasma concentrations are associated with serious and/or life-threatening adverse events
nefopam hydrochloride,nefopam hydrochloride is contraindicated in patients with a history of convulsive disorders and should not be given to patients taking monoamine oxidase (mao) inhibitors. it is also should not be used in the treatment of myocardial infarction.,patients with a history of convulsive disorders
nebivolol hydrochloride,"nebivolol is contraindicated in patients with severe bradycardia, heart block greater than first degree, cardiogenic shock, decompensated cardiac failure, sick sinus syndrome (unless a permanent pacemaker is in place), or severe hepatic impairment (child-pugh &gt;b), and in patients who are hypersensitive to any component of this product.","severe bradycardia, heart block greater than first degree"
nebivolol + hydrochlorothiazide,"hypersensitivity to the active substances, liver function impairment. severe renal insufficiency (creatinine clearance &lt; 30 ml/min.), bradycardia, hypotension","hypersensitivity to the active substances, liver function impairment"
nateglinide,"iddm, diabetic ketoacidosis.","iddm, diabetic ketoacidosis"
natamycin,natamycin ophthalmic suspension is contraindicated in individuals with a history of hypersensitivity to any of its component.,history of hypersensitivity to any of its component
naproxen sodium + esomeprazole magnesium,known hypersensitivity to any component of this tablet or substituted benzimidazoles. history of asthmay urticaria or other allergic-type reactions after taking aspirin or other nsaids. use during the peri-operative period in the setting of coronary artery bypass graft (cabg) surgery.,history of asthmay urticaria or other allergic-type reactions
naproxen sodium,"naproxen is contraindicated in patients with known hypersensitivity to naproxen. it should not be given to patients who have experienced asthma, urticaria, or allergic-type reactions after taking aspirin or other nsaids. it is contraindicated for the treatment of perioperative pain in the setting of coronary artery bypass graft (cabg) surgery.",coronary artery bypass graft (cabg) surgery
naphazoline + zinc sulfate,"hypersensitivity to zinc sulphate, naphazoline and other ingredients. naphazoline &amp; zinc is contraindicated in patients suffering from narrow-angle glaucoma, dry eye and especially keratoconjunctivits sicca sjogren's syndrome. naphazoline &amp; zinc must not be used in infants.",zinc must not be used in infants
naphazoline + pheniramine,angle closure glaucoma.,angle closure glaucoma
nandrolone phenylpropionate,"contraindicated in pregnancy, known or suspected carcinoma of the prostate or breast in the male.",in pregnancy
nandrolone decanoate,"contraindicated in pregnancy, male breast carcinoma, prostatic carcinoma, the patients allergic to peanuts &amp; soya and hypersensitive to the active substance or to any of the excipients including arachis oil.","in pregnancy, male breast carcinoma, prostatic carcinoma"
naltrexone,patients concurrently dependent on opioids; acute hepatitis or hepatic failure; acute opioid withdrawal; patients on therapeutic opioid analgesics.,therapeutic opioid analgesics
naloxone hydrochloride,no data available,no data available
nalidixic acid,"nalidixic acid is contraindicated in the following cases- infants under 3 months, epilepsy, cns lesions.","infants under 3 months, epilepsy, cns lesions"
nalbuphine,known hypersensitivity to nalbuphine hydrochloride.,known hypersensitivity to nalbuphine hydrochloride.
naftifine hydrochloride,no data available,no data available
naftidrofuryl oxalate,hypersensitivity to the active substance or to any of the excipients. patients with a history of hyperoxaluria or recurrent calcium-containing kidney stones.,hypersensitivity
nabumetone,"nabumetone is contraindicated in patients with known hypersensitivity to nabumetone or its excipients. nabumetone should not be given to patients who have experienced asthma, urticaria, or allergictype reactions after taking aspirin or other nsaids. severe, rarely fatal, anaphylactic-like reactions to nsaids have been reported in such patients. nabumetone is contraindicated for the treatment of peri-operative pain in the setting of coronary artery bypass graft (cabg) surgery",hypersensitivity to nabumetone or its excipients
nab-paclitaxel [nanoparticle albumin-bound paclitaxel],"nab-paclitaxel should not be used in patients who have baseline neutrophilcounts of &lt;1,500 cells/mm. patients who experience a severe hypersensitivity reaction to nab-paclitaxel should not be rechallenged with the drug.",patients who experience a severe hypersensitivity reaction
nirmatrelvir + ritonavir,history of clinically significant hypersensitivity reactions to the active ingredients (nirmatrelvir or ritonavir) or any other components. co-administration with drugs highly dependent on cyp3a for clearance and for which elevated concentrations are associated with serious and/or life-threatening reactions. co-administration with potent cyp3a inducers where significantly reduced nirmatrelvir or ritonavir plasma concentrations may be associated with the potential for loss of virologic response and possible resistance.,elevated concentrations are associated with serious and/or life-threatening reactions
niraparib,hypersensitivity to the active substance or to any of the excipients &amp; breast-feeding.,hypersensitivity
nintedanib,"hypersensitivity to nintedanib, to peanut or soya, or to any of the excipients.",hypersensitivity
nimodipine,"use within 1 mth of mi or an episode of unstable angina. concomitant use with potent cyp3a4 inhibitors (e.g. clarithromycin, ritonavir, ketoconazole, nefazodone).",use within 1 mth of mi or an episode of unstable angina
nimesulide,"hypersensitivity; gi bleeding, active peptic ulcer disease; severe renal and heart failure; hepatic impairment or known liver disease; coagulation disorders; pregnancy; children &lt;12 yr.",pregnancy
nilotinib,it is contraindicated in patients with known hypersensitivity to pazopanib or any other components of this product.,hypersensitivity to pazopanib
